Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,13.32,13.32,13.32,13.32,278,0
2014-02-10,19:00:00,13.32,13.34,13.32,13.34,1806,0
2014-02-10,22:00:00,13.34,13.34,13.32,13.32,1822,0
2014-02-11,16:00:00,13.32,13.32,13.32,13.32,238,0
2014-02-11,22:00:00,13.458,13.458,13.458,13.458,1012,0
2014-02-12,17:00:00,13.401,13.5,13.401,13.5,1225,0
2014-02-12,18:00:00,13.322,13.322,13.322,13.322,406,0
2014-02-12,20:00:00,13.332,13.332,13.322,13.322,1514,0
2014-02-12,21:00:00,13.451,13.451,13.451,13.451,504,0
2014-02-12,22:00:00,13.342,13.342,13.342,13.342,204,0
2014-02-13,16:00:00,13.481,13.491,13.381,13.381,1306,0
2014-02-13,17:00:00,13.381,13.381,13.352,13.362,1756,0
2014-02-13,20:00:00,13.372,13.372,13.372,13.372,404,0
2014-02-13,22:00:00,13.372,13.381,13.372,13.381,3568,0
2014-02-14,16:00:00,13.55,13.55,13.362,13.431,2905,0
2014-02-14,17:00:00,13.391,13.391,13.391,13.391,252,0
2014-02-14,18:00:00,13.381,13.381,13.372,13.372,908,0
2014-02-14,19:00:00,13.381,13.411,13.372,13.411,3531,0
2014-02-18,17:00:00,13.481,13.481,13.481,13.481,808,0
2014-02-19,18:00:00,13.441,13.441,13.441,13.441,808,0
2014-02-19,20:00:00,13.441,13.441,13.431,13.431,1110,0
2014-02-19,21:00:00,13.401,13.401,13.401,13.401,11602,0
2014-02-19,22:00:00,13.421,13.431,13.421,13.431,302,0
2014-02-20,16:00:00,13.312,13.312,13.312,13.312,3910,0
2014-02-20,21:00:00,13.332,13.381,13.292,13.381,4974,0
2014-02-20,22:00:00,13.292,13.292,13.272,13.272,1008,0
2014-02-21,19:00:00,13.154,13.203,13.144,13.173,3834,0
2014-02-21,21:00:00,13.272,13.272,13.154,13.154,1806,0
2014-02-21,22:00:00,13.144,13.193,13.124,13.124,4742,0
2014-02-24,16:00:00,13.114,13.134,13.084,13.094,6154,0
2014-02-24,17:00:00,13.094,13.183,13.064,13.064,2926,0
2014-02-24,18:00:00,13.173,13.173,13.173,13.173,302,0
2014-02-24,21:00:00,13.124,13.134,13.025,13.025,3813,0
2014-02-24,22:00:00,13.025,13.025,13.015,13.015,2613,0
2014-02-25,20:00:00,13.084,13.084,13.084,13.084,302,0
2014-02-25,22:00:00,13.124,13.124,13.124,13.124,202,0
2014-02-26,20:00:00,13.193,13.193,13.183,13.193,2926,0
2014-02-26,21:00:00,13.203,13.203,13.173,13.203,2018,0
2014-02-26,22:00:00,13.213,13.233,13.213,13.223,8995,0
2014-02-27,18:00:00,13.183,13.193,13.183,13.193,504,0
2014-02-27,22:00:00,13.223,13.253,13.094,13.253,1916,0
2014-03-03,16:00:00,13.322,13.322,13.322,13.322,2434,0
2014-03-03,18:00:00,13.292,13.302,13.292,13.302,319,0
2014-03-04,17:00:00,13.342,13.342,13.342,13.342,492,0
2014-03-04,18:00:00,13.342,13.342,13.342,13.342,448,0
2014-03-04,19:00:00,13.342,13.342,13.342,13.342,504,0
2014-03-04,20:00:00,13.342,13.342,13.342,13.342,1160,0
2014-03-06,17:00:00,13.292,13.381,13.292,13.381,1312,0
