Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,22:00:00,20.07,20.07,20.07,20.07,500,0
2014-02-19,19:00:00,20.34,20.34,20.34,20.34,300,0
2014-02-26,18:00:00,20.2,20.45,19.97,20.35,800,0
2014-03-06,18:00:00,20.11,20.3,20.11,20.3,669,0
2014-03-06,19:00:00,20.62,20.62,20.62,20.62,100,0
2014-03-10,17:00:00,20.4,20.86,20.4,20.74,8000,0
2014-03-10,18:00:00,20.61,20.65,20.61,20.65,200,0
2014-03-11,15:00:00,20.5,21.09,20.45,20.64,8000,0
2014-03-11,16:00:00,20.68,20.69,20.6,20.6,400,0
2014-03-11,18:00:00,20.6,20.6,20.56,20.56,300,0
2014-03-12,15:00:00,20.4,20.84,20.36,20.49,10200,0
2014-03-12,16:00:00,20.68,20.68,20.68,20.68,200,0
2014-03-12,18:00:00,20.68,20.69,20.68,20.69,200,0
2014-03-13,17:00:00,20.41,20.63,20.41,20.63,1900,0
2014-03-13,18:00:00,20.56,20.56,20.56,20.56,400,0
2014-03-13,19:00:00,20.59,20.59,20.59,20.59,100,0
2014-03-20,16:00:00,20.58,20.59,20.58,20.59,500,0
2014-03-20,19:00:00,20.56,20.56,20.56,20.56,100,0
2014-03-21,17:00:00,20.55,20.55,20.55,20.55,1000,0
2014-03-25,18:00:00,20.34,20.48,20.34,20.48,500,0
2014-03-25,20:00:00,20.47,20.47,20.47,20.47,200,0
2014-03-25,21:00:00,20.47,20.47,20.47,20.47,100,0
2014-03-27,19:00:00,20.39,20.5,20.37,20.46,2800,0
2014-04-02,19:00:00,20.42,20.85,20.42,20.85,4800,0
2014-04-03,17:00:00,20.82,20.82,20.65,20.8,2000,0
2014-04-03,20:00:00,21,21,21,21,300,0
2014-04-03,22:00:00,20.89,20.89,20.84,20.84,400,0
2014-04-08,21:00:00,20.54,20.56,20.54,20.55,1000,0
2014-04-09,21:00:00,20.6,20.6,20.6,20.6,1350,0
2014-04-10,17:00:00,20.48,20.48,20.48,20.48,400,0
2014-04-25,17:00:00,19.65,19.65,19.65,19.65,600,0
2014-04-28,19:00:00,20.4,20.59,20.36,20.43,7800,0
2014-04-28,22:00:00,20.43,20.43,20.43,20.43,800,0
2014-05-01,19:00:00,20.61,20.61,20.55,20.56,600,0
2014-05-01,20:00:00,20.36,20.36,20.36,20.36,100,0
2014-05-01,22:00:00,20.5,20.65,20.48,20.5,6100,0
2014-05-02,20:00:00,20.49,20.66,20.49,20.52,6400,0
2014-05-02,22:00:00,20.53,20.53,20.53,20.53,100,0
2014-05-06,16:00:00,20.53,20.54,20.52,20.52,3800,0
2014-05-06,20:00:00,20.37,20.52,20.36,20.44,5406,0
2014-05-06,22:00:00,20.43,20.43,20.43,20.43,310,0
2014-05-07,16:00:00,20.32,20.59,20.32,20.53,3500,0
2014-05-07,20:00:00,20.39,20.55,20.37,20.46,8800,0
2014-05-07,21:00:00,20.46,20.47,20.46,20.47,936,0
