Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,34.27,34.29,34.19,34.29,4832,0
2014-02-10,17:00:00,34.2,34.25,34.17,34.19,4269,0
2014-02-10,18:00:00,34.2,34.2,34.18,34.18,702,0
2014-02-10,19:00:00,34.2,34.24,34.18,34.22,6856,0
2014-02-10,20:00:00,34.19,34.21,34.18,34.21,6972,0
2014-02-10,21:00:00,34.23,34.29,34.23,34.29,3748,0
2014-02-10,22:00:00,34.23,34.25,34.23,34.25,5390,0
2014-02-11,16:00:00,34.37,34.37,34.37,34.37,200,0
2014-02-11,17:00:00,34.5,34.65,34.5,34.61,10203,0
2014-02-11,18:00:00,34.63,34.74,34.63,34.73,4774,0
2014-02-11,19:00:00,34.73,34.76,34.69,34.76,3080,0
2014-02-11,20:00:00,34.77,34.79,34.77,34.78,1677,0
2014-02-11,21:00:00,34.8,34.8,34.77,34.77,6174,0
2014-02-11,22:00:00,34.79,34.87,34.79,34.83,58790,0
2014-02-12,17:00:00,34.91,34.91,34.81,34.82,4130,0
2014-02-12,18:00:00,34.87,34.87,34.86,34.86,1148,0
2014-02-12,19:00:00,34.79,34.85,34.79,34.84,1550,0
2014-02-12,20:00:00,34.84,34.92,34.83,34.88,3740,0
2014-02-12,21:00:00,34.9,34.93,34.83,34.84,1694,0
2014-02-12,22:00:00,34.85,34.87,34.79,34.84,106888,0
2014-02-13,17:00:00,34.72,34.72,34.71,34.72,30688,0
2014-02-13,18:00:00,34.82,34.83,34.82,34.83,1942,0
2014-02-13,19:00:00,34.8,34.86,34.8,34.86,587,0
2014-02-13,20:00:00,34.86,34.93,34.86,34.93,5389,0
2014-02-13,21:00:00,34.94,34.94,34.94,34.94,1090,0
2014-02-13,22:00:00,34.93,34.97,34.93,34.93,9127,0
2014-02-14,16:00:00,34.94,34.94,34.94,34.94,414,0
2014-02-14,17:00:00,35.03,35.11,35.03,35.11,3721,0
2014-02-14,18:00:00,35.09,35.11,35.09,35.11,6774,0
2014-02-14,19:00:00,35.11,35.11,35.11,35.11,492,0
2014-02-14,20:00:00,35.1,35.17,35.1,35.17,4035,0
2014-02-14,21:00:00,35.16,35.2,35.16,35.2,4301,0
2014-02-14,22:00:00,35.21,35.21,35.17,35.17,1174,0
2014-02-18,16:00:00,35.26,35.44,35.26,35.32,12820,0
2014-02-18,17:00:00,35.27,35.37,35.27,35.3,2208,0
2014-02-18,18:00:00,35.35,35.41,35.31,35.4,3398,0
2014-02-18,19:00:00,35.38,35.39,35.34,35.39,7004,0
2014-02-18,20:00:00,35.35,35.41,35.35,35.35,1860,0
2014-02-18,21:00:00,35.39,35.4,35.36,35.36,16837,0
2014-02-18,22:00:00,35.34,35.4,35.32,35.34,11926,0
2014-02-19,16:00:00,35.29,35.29,35.29,35.29,300,0
2014-02-19,17:00:00,35.39,35.41,35.36,35.41,3639,0
2014-02-19,18:00:00,35.41,35.41,35.36,35.37,10205,0
2014-02-19,19:00:00,35.27,35.28,35.26,35.26,694,0
2014-02-19,20:00:00,35.27,35.34,35.27,35.3,6346,0
2014-02-19,21:00:00,35.27,35.29,35.22,35.23,28678,0
2014-02-19,22:00:00,35.24,35.24,35.11,35.12,9160,0
2014-02-20,16:00:00,35.03,35.08,35.03,35.08,750,0
2014-02-20,17:00:00,35.09,35.24,35.09,35.22,3584,0
2014-02-20,18:00:00,35.23,35.24,35.19,35.2,4502,0
2014-02-20,19:00:00,35.24,35.24,35.24,35.24,3570,0
2014-02-20,20:00:00,35.28,35.28,35.26,35.28,2420,0
2014-02-20,21:00:00,35.25,35.29,35.25,35.27,11403,0
2014-02-20,22:00:00,35.29,35.33,35.28,35.29,4032,0
2014-02-21,16:00:00,35.3,35.42,35.3,35.42,12260,0
2014-02-21,17:00:00,35.42,35.5,35.4,35.47,36906,0
2014-02-21,18:00:00,35.45,35.49,35.41,35.45,13115,0
2014-02-21,19:00:00,35.41,35.46,35.41,35.41,5430,0
2014-02-21,20:00:00,35.42,35.42,35.42,35.42,400,0
2014-02-21,21:00:00,35.39,35.39,35.35,35.37,3595,0
2014-02-21,22:00:00,35.4,35.41,35.32,35.32,2892,0
2014-02-24,16:00:00,35.37,35.5,35.37,35.48,1904,0
2014-02-24,17:00:00,35.43,35.57,35.43,35.57,8289,0
2014-02-24,18:00:00,35.59,35.7,35.55,35.69,8503,0
2014-02-24,19:00:00,35.68,35.71,35.68,35.7,15692,0
2014-02-24,20:00:00,35.72,35.74,35.71,35.71,17900,0
2014-02-24,21:00:00,35.74,35.74,35.71,35.73,6587,0
2014-02-24,22:00:00,35.71,35.71,35.63,35.63,7523,0
2014-02-25,16:00:00,35.51,35.51,35.51,35.51,990,0
2014-02-25,17:00:00,35.47,35.48,35.45,35.45,3796,0
2014-02-25,18:00:00,35.59,35.64,35.57,35.57,17225,0
2014-02-25,19:00:00,35.55,35.58,35.52,35.58,2560,0
2014-02-25,20:00:00,35.55,35.55,35.53,35.53,1760,0
2014-02-25,21:00:00,35.51,35.54,35.51,35.51,1031,0
2014-02-25,22:00:00,35.48,35.49,35.45,35.45,2199,0
2014-02-26,16:00:00,35.42,35.42,35.42,35.42,1080,0
2014-02-26,17:00:00,35.36,35.48,35.36,35.46,2074,0
2014-02-26,18:00:00,35.44,35.46,35.44,35.46,4519,0
2014-02-26,19:00:00,35.45,35.46,35.39,35.39,6559,0
2014-02-26,20:00:00,35.38,35.44,35.38,35.44,5240,0
2014-02-26,21:00:00,35.35,35.35,35.29,35.29,2186,0
2014-02-26,22:00:00,35.34,35.34,35.31,35.33,4383,0
2014-02-27,16:00:00,35.26,35.26,35.26,35.26,600,0
2014-02-27,17:00:00,35.28,35.36,35.28,35.36,6305,0
2014-02-27,18:00:00,35.38,35.44,35.38,35.44,1682,0
2014-02-27,19:00:00,35.45,35.47,35.45,35.46,5832,0
2014-02-27,20:00:00,35.5,35.58,35.5,35.56,782,0
2014-02-27,21:00:00,35.54,35.57,35.51,35.53,53925,0
2014-02-27,22:00:00,35.53,35.58,35.51,35.54,5278,0
2014-02-28,16:00:00,35.61,35.71,35.61,35.71,2196,0
2014-02-28,17:00:00,35.66,35.78,35.66,35.74,14061,0
2014-02-28,18:00:00,35.67,35.68,35.67,35.67,665,0
2014-02-28,19:00:00,35.72,35.78,35.72,35.77,6185,0
2014-02-28,20:00:00,35.75,35.78,35.75,35.75,5946,0
2014-02-28,21:00:00,35.75,35.77,35.69,35.69,20497,0
2014-02-28,22:00:00,35.69,35.69,35.51,35.63,38880,0
2014-03-03,16:00:00,35.15,35.16,34.95,35.15,93115,0
2014-03-03,17:00:00,35.13,35.13,35.01,35.1,48840,0
2014-03-03,18:00:00,35.02,35.06,34.95,34.95,199182,0
2014-03-03,19:00:00,34.92,34.96,34.9,34.94,130177,0
2014-03-03,20:00:00,34.96,34.96,34.95,34.95,5901,0
2014-03-03,21:00:00,34.97,35,34.9,34.96,26320,0
2014-03-03,22:00:00,34.9,34.95,34.89,34.91,16598,0
2014-03-04,17:00:00,35.53,35.59,35.53,35.58,14204,0
2014-03-04,18:00:00,35.57,35.57,35.54,35.54,14279,0
2014-03-04,19:00:00,35.55,35.59,35.54,35.55,11425,0
2014-03-04,20:00:00,35.55,35.58,35.51,35.53,18067,0
2014-03-04,21:00:00,35.52,35.56,35.51,35.56,17351,0
2014-03-04,22:00:00,35.56,35.6,35.56,35.56,18611,0
2014-03-05,16:00:00,35.54,35.54,35.52,35.52,8000,0
2014-03-05,17:00:00,35.61,35.61,35.56,35.56,1288,0
2014-03-05,18:00:00,35.61,35.61,35.53,35.54,5222,0
2014-03-05,19:00:00,35.51,35.55,35.51,35.53,5024,0
2014-03-05,20:00:00,35.56,35.56,35.53,35.54,954,0
2014-03-05,21:00:00,35.53,35.55,35.53,35.54,3220,0
2014-03-05,22:00:00,35.52,35.56,35.5,35.56,5002,0
