Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-14,16:00:00,24.63,24.63,24.63,24.63,300,0
2014-02-28,21:00:00,25.13,25.14,25.05,25.05,18000,0
2014-02-28,22:00:00,25.03,25.05,25,25.03,55400,0
2014-03-06,18:00:00,25.26,25.26,25.2,25.2,2200,0
2014-03-07,20:00:00,25,25.02,24.99,25.02,4400,0
2014-03-07,22:00:00,24.97,24.97,24.97,24.97,100,0
2014-03-10,16:00:00,24.85,24.85,24.79,24.84,2300,0
2014-03-10,17:00:00,24.84,24.88,24.82,24.82,3800,0
2014-03-11,19:00:00,24.86,24.86,24.8,24.8,6000,0
2014-03-14,18:00:00,24.3,24.35,24.19,24.19,6900,0
2014-03-17,18:00:00,24.48,24.49,24.45,24.48,2600,0
2014-03-18,18:00:00,24.59,24.59,24.54,24.57,5600,0
2014-04-01,17:00:00,25.21,25.22,25.19,25.19,6400,0
2014-04-02,19:00:00,25.32,25.32,25.32,25.32,200,0
2014-04-02,20:00:00,25.32,25.32,25.32,25.32,100,0
2014-04-10,20:00:00,24.96,24.96,24.92,24.92,200,0
2014-04-10,21:00:00,24.91,24.91,24.9,24.9,300,0
2014-04-14,21:00:00,24.88,24.88,24.85,24.87,7100,0
2014-04-14,22:00:00,24.79,24.79,24.78,24.78,400,0
2014-04-15,21:00:00,24.78,24.78,24.74,24.74,1500,0
2014-04-21,21:00:00,25.23,25.25,25.23,25.25,969,0
2014-04-22,18:00:00,25.32,25.32,25.29,25.31,11700,0
2014-04-22,19:00:00,25.34,25.35,25.28,25.32,26800,0
2014-04-22,20:00:00,25.33,25.35,25.2,25.25,65500,0
2014-04-22,21:00:00,25.25,25.25,25.16,25.17,5500,0
2014-04-22,22:00:00,25.14,25.21,25.08,25.16,20200,0
2014-04-23,16:00:00,25.17,25.23,25.17,25.2,2800,0
2014-04-23,17:00:00,25.18,25.2,25.15,25.18,5200,0
2014-04-23,18:00:00,25.17,25.21,25.14,25.2,22700,0
2014-04-23,19:00:00,25.18,25.2,25.18,25.2,5600,0
2014-04-23,20:00:00,25.18,25.18,25.18,25.18,100,0
2014-04-23,21:00:00,25.2,25.24,25.18,25.24,5500,0
2014-04-23,22:00:00,25.22,25.26,25.21,25.21,30200,0
2014-04-24,16:00:00,25.23,25.23,25.11,25.14,7700,0
2014-04-24,17:00:00,25.1,25.22,25.09,25.14,24100,0
2014-04-24,18:00:00,25.14,25.25,25.14,25.24,26500,0
2014-04-24,19:00:00,25.22,25.25,25.19,25.24,18200,0
2014-04-24,20:00:00,25.22,25.25,25.18,25.2,8200,0
2014-04-24,21:00:00,25.17,25.21,25.16,25.18,17600,0
2014-04-24,22:00:00,25.22,25.23,25.17,25.17,34400,0
2014-04-25,16:00:00,25.08,25.09,25.04,25.06,11300,0
2014-04-25,17:00:00,25.08,25.11,25.01,25.01,22600,0
2014-04-25,18:00:00,24.99,25.06,24.97,25.03,32300,0
2014-04-25,19:00:00,25.04,25.1,25.04,25.09,42800,0
2014-04-25,20:00:00,25.03,25.07,25.03,25.06,5800,0
2014-04-25,21:00:00,25.03,25.07,25,25.01,45132,0
2014-04-25,22:00:00,25,25.07,25,25.05,22900,0
2014-04-28,16:00:00,25.1,25.1,25.05,25.07,6000,0
2014-04-28,17:00:00,25.1,25.19,25.09,25.14,4000,0
2014-04-28,18:00:00,25.15,25.15,25.09,25.09,13900,0
2014-04-28,19:00:00,25.08,25.18,25.05,25.16,25500,0
2014-04-28,20:00:00,25.1,25.1,24.95,24.95,1200,0
2014-04-28,22:00:00,25.11,25.19,25.08,25.11,26800,0
2014-04-29,16:00:00,25.23,25.3,25.23,25.29,1800,0
2014-04-29,17:00:00,25.29,25.29,25.26,25.28,900,0
2014-04-29,18:00:00,25.28,25.37,25.28,25.29,14600,0
2014-04-30,16:00:00,25.26,25.26,25.19,25.2,7800,0
2014-04-30,17:00:00,25.22,25.28,25.22,25.28,9700,0
2014-04-30,18:00:00,25.25,25.3,25.25,25.26,10400,0
2014-04-30,19:00:00,25.25,25.3,25.25,25.3,2000,0
2014-04-30,20:00:00,25.27,25.31,25.24,25.24,2300,0
2014-04-30,21:00:00,25.27,25.32,25.25,25.25,6700,0
2014-04-30,22:00:00,25.27,25.27,25.23,25.23,200,0
2014-05-01,17:00:00,25.32,25.32,25.32,25.32,300,0
2014-05-01,18:00:00,25.36,25.39,25.36,25.37,900,0
2014-05-01,19:00:00,25.39,25.4,25.38,25.38,500,0
2014-05-02,16:00:00,25.4,25.4,25.39,25.39,200,0
2014-05-02,22:00:00,25.38,25.38,25.34,25.34,600,0
2014-05-05,18:00:00,25.29,25.31,25.25,25.25,20900,0
2014-05-05,21:00:00,25.24,25.3,25.24,25.25,6100,0
2014-05-05,22:00:00,25.26,25.26,25.21,25.21,4512,0
2014-05-06,17:00:00,25.19,25.19,25.19,25.19,400,0
2014-05-06,18:00:00,25.22,25.23,25.17,25.17,2200,0
2014-05-06,21:00:00,25.22,25.22,25.16,25.19,5600,0
2014-05-06,22:00:00,25.18,25.18,25.13,25.16,2303,0
2014-05-07,19:00:00,25.26,25.26,25.2,25.2,1400,0
