Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,25.33,25.33,25.29,25.31,920,0
2014-02-10,17:00:00,25.3,25.34,25.3,25.3,2490,0
2014-02-10,18:00:00,25.3,25.32,25.3,25.3,16782,0
2014-02-10,19:00:00,25.3,25.3,25.29,25.3,11100,0
2014-02-10,20:00:00,25.3,25.31,25.3,25.31,1613,0
2014-02-10,21:00:00,25.3,25.31,25.3,25.3,9134,0
2014-02-10,22:00:00,25.3,25.3,25.3,25.3,6942,0
2014-02-11,17:00:00,25.45,25.48,25.45,25.45,3920,0
2014-02-11,18:00:00,25.49,25.53,25.49,25.53,2814,0
2014-02-11,19:00:00,25.54,25.55,25.53,25.54,3298,0
2014-02-11,20:00:00,25.53,25.54,25.53,25.53,3258,0
2014-02-11,21:00:00,25.53,25.54,25.53,25.53,4265,0
2014-02-11,22:00:00,25.53,25.54,25.5,25.5,36876,0
2014-02-12,16:00:00,25.6,25.61,25.6,25.61,27156,0
2014-02-12,17:00:00,25.6,25.63,25.57,25.57,302079,0
2014-02-12,18:00:00,25.58,25.58,25.55,25.55,2918,0
2014-02-12,19:00:00,25.56,25.6,25.56,25.6,3783,0
2014-02-12,20:00:00,25.57,25.58,25.57,25.57,1872,0
2014-02-12,21:00:00,25.57,25.59,25.55,25.55,6952,0
2014-02-12,22:00:00,25.57,25.57,25.56,25.56,3952,0
2014-02-13,17:00:00,25.42,25.45,25.42,25.45,7537,0
2014-02-13,18:00:00,25.44,25.45,25.42,25.42,3546,0
2014-02-13,19:00:00,25.43,25.44,25.43,25.43,2205,0
2014-02-13,20:00:00,25.43,25.46,25.43,25.45,2115,0
2014-02-13,21:00:00,25.45,25.45,25.43,25.45,5013,0
2014-02-13,22:00:00,25.44,25.46,25.43,25.43,6291,0
2014-02-14,16:00:00,25.47,25.47,25.47,25.47,500,0
2014-02-14,17:00:00,25.46,25.47,25.44,25.44,9073,0
2014-02-14,18:00:00,25.45,25.47,25.45,25.46,1350,0
2014-02-14,19:00:00,25.48,25.48,25.45,25.46,1117,0
2014-02-14,20:00:00,25.46,25.49,25.46,25.49,2628,0
2014-02-14,21:00:00,25.47,25.49,25.47,25.48,5160,0
2014-02-14,22:00:00,25.48,25.49,25.46,25.47,30832,0
2014-02-18,16:00:00,25.43,25.43,25.43,25.43,412,0
2014-02-18,17:00:00,25.41,25.44,25.41,25.44,1868,0
2014-02-18,18:00:00,25.43,25.46,25.43,25.43,3297,0
2014-02-18,19:00:00,25.45,25.46,25.44,25.44,19710,0
2014-02-18,20:00:00,25.44,25.44,25.42,25.42,7207,0
2014-02-18,21:00:00,25.43,25.44,25.43,25.43,17476,0
2014-02-18,22:00:00,25.43,25.44,25.42,25.42,25079,0
2014-02-19,17:00:00,25.43,25.47,25.43,25.44,21918,0
2014-02-19,18:00:00,25.44,25.44,25.44,25.44,4348,0
2014-02-19,19:00:00,25.41,25.41,25.41,25.41,1082,0
2014-02-19,20:00:00,25.41,25.41,25.39,25.39,658,0
2014-02-19,21:00:00,25.4,25.41,25.36,25.36,12833,0
2014-02-19,22:00:00,25.37,25.37,25.33,25.37,69953,0
2014-02-20,16:00:00,25.28,25.28,25.27,25.27,2292,0
2014-02-20,17:00:00,25.28,25.33,25.27,25.33,6939,0
2014-02-20,18:00:00,25.35,25.35,25.32,25.32,2700,0
2014-02-20,19:00:00,25.34,25.37,25.32,25.33,2600,0
