Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,37.68,37.73,37.67,37.68,13305,0
2014-02-10,17:00:00,37.67,37.69,37.6,37.61,920857,0
2014-02-10,18:00:00,37.61,37.61,37.55,37.57,27813,0
2014-02-10,19:00:00,37.57,37.57,37.45,37.52,34810,0
2014-02-10,20:00:00,37.54,37.54,37.46,37.46,180432,0
2014-02-10,21:00:00,37.47,37.5,37.44,37.46,50619,0
2014-02-10,22:00:00,37.45,37.47,37.43,37.46,58801,0
2014-02-11,16:00:00,37.11,37.55,37.02,37.55,10910,0
2014-02-11,17:00:00,37.6,37.67,37.57,37.67,27215,0
2014-02-11,18:00:00,37.69,37.69,37.63,37.63,30906,0
2014-02-11,19:00:00,37.66,37.72,37.66,37.69,18439,0
2014-02-11,20:00:00,37.72,37.74,37.69,37.72,29563,0
2014-02-11,21:00:00,37.71,37.82,37.71,37.81,33156,0
2014-02-11,22:00:00,37.81,37.83,37.8,37.83,52172,0
2014-02-12,16:00:00,37.93,37.94,37.82,37.86,24971,0
2014-02-12,17:00:00,37.88,38.08,37.87,38.05,24437,0
2014-02-12,18:00:00,38.03,38.07,37.98,37.99,116092,0
2014-02-12,19:00:00,37.96,38.02,37.94,38.02,29320,0
2014-02-12,20:00:00,38.02,38.02,37.89,37.89,37759,0
2014-02-12,21:00:00,37.9,37.91,37.85,37.87,51473,0
2014-02-12,22:00:00,37.88,37.89,37.83,37.84,165400,0
2014-02-13,16:00:00,37.86,37.91,37.84,37.91,20617,0
2014-02-13,17:00:00,37.89,38.01,37.87,37.96,21987,0
2014-02-13,18:00:00,37.96,38.05,37.95,38.03,36491,0
2014-02-13,19:00:00,38.02,38.09,38.02,38.09,50425,0
2014-02-13,20:00:00,38.09,38.14,38.09,38.13,87074,0
2014-02-13,21:00:00,38.12,38.14,38.08,38.11,69563,0
2014-02-13,22:00:00,38.12,38.15,38.09,38.15,186416,0
2014-02-14,16:00:00,38.26,38.33,38.22,38.27,13402,0
2014-02-14,17:00:00,38.3,38.32,38.27,38.29,218302,0
2014-02-14,18:00:00,38.31,38.31,38.26,38.29,51692,0
2014-02-14,19:00:00,38.33,38.38,38.28,38.36,72953,0
2014-02-14,20:00:00,38.38,38.39,38.29,38.31,120965,0
2014-02-14,21:00:00,38.3,38.35,38.29,38.32,41947,0
2014-02-14,22:00:00,38.31,38.33,38.28,38.28,152853,0
2014-02-18,16:00:00,38.71,38.75,38.69,38.73,104236,0
2014-02-18,17:00:00,38.76,38.85,38.75,38.85,46854,0
2014-02-18,18:00:00,38.83,38.89,38.82,38.86,39326,0
2014-02-18,19:00:00,38.85,38.9,38.84,38.9,88358,0
2014-02-18,20:00:00,38.9,38.94,38.89,38.94,46628,0
2014-02-18,21:00:00,38.92,39.03,38.92,39.01,43428,0
2014-02-18,22:00:00,39.01,39.03,38.99,38.99,142413,0
2014-02-19,16:00:00,39.12,39.17,39.09,39.13,43609,0
2014-02-19,17:00:00,39.13,39.23,39.12,39.23,37218,0
2014-02-19,18:00:00,39.21,39.25,39.16,39.16,24212,0
2014-02-19,19:00:00,39.15,39.2,39.13,39.19,42595,0
2014-02-19,20:00:00,39.18,39.3,39.18,39.3,55019,0
