Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,28.87,28.87,28.87,28.87,650,0
2014-02-10,17:00:00,28.77,28.77,28.68,28.68,1284,0
2014-02-10,18:00:00,28.75,28.75,28.7,28.71,2950,0
2014-02-10,19:00:00,28.74,28.74,28.74,28.74,210,0
2014-02-10,20:00:00,28.8,28.8,28.8,28.8,345,0
2014-02-10,21:00:00,28.82,28.84,28.81,28.81,4057,0
2014-02-10,22:00:00,28.83,28.83,28.79,28.8,1280,0
2014-02-11,16:00:00,29.28,29.37,29.25,29.37,5652,0
2014-02-11,17:00:00,29.33,29.33,29.21,29.21,913,0
2014-02-11,18:00:00,29.21,29.31,29.21,29.31,1100,0
2014-02-11,19:00:00,29.37,29.37,29.37,29.37,3300,0
2014-02-11,20:00:00,29.33,29.33,29.25,29.25,1717,0
2014-02-11,21:00:00,29.28,29.28,29.28,29.28,542,0
2014-02-11,22:00:00,29.35,29.35,29.31,29.31,5438,0
2014-02-12,16:00:00,29.58,29.65,29.58,29.62,2117,0
2014-02-12,17:00:00,29.62,29.63,29.62,29.63,1374,0
2014-02-12,18:00:00,29.75,29.81,29.74,29.74,3600,0
2014-02-12,19:00:00,29.7,29.81,29.7,29.81,800,0
2014-02-12,20:00:00,29.75,29.86,29.75,29.81,2165,0
2014-02-12,22:00:00,29.7,29.77,29.7,29.7,518,0
2014-02-13,16:00:00,29.13,29.13,29.13,29.13,922,0
2014-02-13,17:00:00,29.23,29.23,29.17,29.17,840,0
2014-02-13,18:00:00,29.19,29.19,29.18,29.18,300,0
2014-02-13,19:00:00,29.12,29.17,29.12,29.13,4300,0
2014-02-13,20:00:00,29.07,29.07,28.97,28.98,3119,0
2014-02-13,21:00:00,29.05,29.07,29.04,29.05,4906,0
2014-02-13,22:00:00,29.03,29.04,28.97,29.03,7005,0
2014-02-14,17:00:00,29.26,29.26,29.26,29.26,540,0
2014-02-14,18:00:00,29.29,29.29,29.29,29.29,500,0
2014-02-14,20:00:00,29.09,29.21,29.09,29.17,1242,0
2014-02-14,21:00:00,29.16,29.23,29.16,29.23,432,0
2014-02-18,16:00:00,28.96,28.96,28.88,28.88,2200,0
2014-02-18,17:00:00,28.89,28.9,28.84,28.86,2880,0
2014-02-18,18:00:00,28.8,28.84,28.77,28.77,3647,0
2014-02-18,19:00:00,28.7,28.7,28.65,28.7,3365,0
2014-02-18,20:00:00,28.65,28.7,28.61,28.7,1524,0
2014-02-18,21:00:00,28.73,28.82,28.73,28.81,3384,0
2014-02-18,22:00:00,28.76,28.85,28.76,28.81,2016,0
2014-02-19,16:00:00,28.43,28.51,28.43,28.5,2285,0
2014-02-19,17:00:00,28.59,28.61,28.59,28.61,300,0
2014-02-19,18:00:00,28.58,28.62,28.58,28.6,500,0
