Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,38.57,38.59,38.42,38.43,7591746,0
2014-02-10,17:00:00,38.43,38.44,38.14,38.19,11685803,0
2014-02-10,18:00:00,38.19,38.31,38.13,38.28,6931539,0
2014-02-10,19:00:00,38.28,38.32,38.25,38.27,3554262,0
2014-02-10,20:00:00,38.27,38.28,38.2,38.22,2937589,0
2014-02-10,21:00:00,38.22,38.27,38.2,38.24,5352147,0
2014-02-10,22:00:00,38.23,38.31,38.2,38.3,13605357,0
2014-02-11,16:00:00,38.51,38.75,38.5,38.7,14826060,0
2014-02-11,17:00:00,38.7,38.9,38.66,38.85,13264444,0
2014-02-11,18:00:00,38.85,39.09,38.8,39.06,10954345,0
2014-02-11,19:00:00,39.06,39.09,38.95,39.07,5903674,0
2014-02-11,20:00:00,39.06,39.15,39.06,39.12,5129591,0
2014-02-11,21:00:00,39.12,39.18,39.05,39.18,6093037,0
2014-02-11,22:00:00,39.18,39.22,39.08,39.13,21441325,0
2014-02-12,16:00:00,39.4,39.56,39.39,39.54,9103565,0
2014-02-12,17:00:00,39.54,39.58,39.27,39.31,13420384,0
2014-02-12,18:00:00,39.31,39.34,39.07,39.14,8086483,0
2014-02-12,19:00:00,39.14,39.18,39.02,39.11,7527504,0
2014-02-12,20:00:00,39.11,39.25,39.08,39.23,5097365,0
2014-02-12,21:00:00,39.23,39.24,39.05,39.13,4988808,0
2014-02-12,22:00:00,39.13,39.16,39.08,39.14,9099383,0
2014-02-13,16:00:00,38.57,38.75,38.57,38.73,7672134,0
2014-02-13,17:00:00,38.74,38.91,38.73,38.88,5265226,0
2014-02-13,18:00:00,38.88,38.99,38.85,38.94,5921997,0
2014-02-13,19:00:00,38.94,39,38.86,38.98,4068184,0
2014-02-13,20:00:00,38.98,39.16,38.97,39.15,6051390,0
2014-02-13,21:00:00,39.14,39.2,39.1,39.19,4770197,0
2014-02-13,22:00:00,39.19,39.21,39.12,39.18,9102357,0
2014-02-14,16:00:00,39.45,39.56,39.38,39.54,6177289,0
2014-02-14,17:00:00,39.54,39.77,39.46,39.65,13460945,0
2014-02-14,18:00:00,39.65,39.74,39.62,39.72,4342419,0
2014-02-14,19:00:00,39.72,39.75,39.65,39.67,5554733,0
2014-02-14,20:00:00,39.66,39.81,39.63,39.79,3825889,0
2014-02-14,21:00:00,39.8,39.87,39.78,39.84,5244078,0
2014-02-14,22:00:00,39.83,39.84,39.63,39.66,17059070,0
2014-02-18,16:00:00,39.64,39.72,39.49,39.54,8732090,0
2014-02-18,17:00:00,39.54,39.55,39.4,39.51,7763354,0
2014-02-18,18:00:00,39.51,39.61,39.49,39.53,4373988,0
2014-02-18,19:00:00,39.54,39.58,39.47,39.56,5544465,0
2014-02-18,20:00:00,39.56,39.58,39.43,39.45,5131717,0
2014-02-18,21:00:00,39.45,39.5,39.41,39.45,4526874,0
2014-02-18,22:00:00,39.44,39.51,39.27,39.29,18594638,0
2014-02-19,16:00:00,39.14,39.34,39.13,39.34,6489400,0
2014-02-19,17:00:00,39.33,39.46,39.27,39.33,8110730,0
2014-02-19,18:00:00,39.33,39.37,39.19,39.2,8607065,0
2014-02-19,19:00:00,39.2,39.2,38.98,39.1,12797509,0
2014-02-19,20:00:00,39.09,39.3,39.07,39.23,4974877,0
2014-02-19,21:00:00,39.23,39.35,39.11,39.18,7772412,0
2014-02-19,22:00:00,39.17,39.19,38.93,39.02,41297593,0
2014-02-20,16:00:00,38.98,39.08,38.74,38.8,11468805,0
2014-02-20,17:00:00,38.8,39.2,38.76,39.14,13411122,0
2014-02-20,18:00:00,39.14,39.17,39.01,39.07,6184719,0
2014-02-20,19:00:00,39.07,39.23,39.05,39.18,4589184,0
2014-02-20,20:00:00,39.18,39.24,39.14,39.17,4226924,0
2014-02-20,21:00:00,39.17,39.25,39.1,39.2,5393969,0
2014-02-20,22:00:00,39.2,39.23,39.13,39.16,10291398,0
2014-02-21,16:00:00,39.37,39.54,39.28,39.52,7601201,0
2014-02-21,17:00:00,39.52,39.59,39.36,39.44,8393616,0
2014-02-21,18:00:00,39.45,39.51,39.4,39.41,7028337,0
2014-02-21,19:00:00,39.41,39.49,39.37,39.44,7061445,0
2014-02-21,20:00:00,39.44,39.51,39.43,39.48,2708252,0
