Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,44.079,44.129,44.06,44.079,24580,0
2014-02-10,17:00:00,44.099,44.139,44.05,44.099,116348,0
2014-02-10,18:00:00,44.099,44.139,44.05,44.139,22289,0
2014-02-10,19:00:00,44.119,44.149,44.079,44.079,11789,0
2014-02-10,20:00:00,44.119,44.119,44.069,44.079,15262,0
2014-02-10,21:00:00,44.119,44.119,44.069,44.089,16154,0
2014-02-10,22:00:00,44.109,44.119,44.04,44.069,38728,0
2014-02-11,16:00:00,44.179,44.179,44.119,44.119,5472,0
2014-02-11,17:00:00,44.129,44.208,44.109,44.208,16404,0
2014-02-11,18:00:00,44.198,44.327,44.169,44.317,46781,0
2014-02-11,19:00:00,44.238,44.288,44.208,44.238,11622,0
2014-02-11,20:00:00,44.238,44.337,44.228,44.248,16362,0
2014-02-11,21:00:00,44.248,44.288,44.228,44.238,43671,0
2014-02-11,22:00:00,44.248,44.298,44.228,44.248,76567,0
2014-02-12,16:00:00,44.367,44.377,44.317,44.327,7308,0
2014-02-12,17:00:00,44.357,44.357,44.288,44.337,184097,0
2014-02-12,18:00:00,44.347,44.347,44.208,44.218,127168,0
2014-02-12,19:00:00,44.218,44.268,44.208,44.238,31733,0
2014-02-12,20:00:00,44.268,44.268,44.218,44.248,20491,0
2014-02-12,21:00:00,44.248,44.248,44.188,44.208,32145,0
2014-02-12,22:00:00,44.218,44.258,44.188,44.258,43182,0
2014-02-13,16:00:00,44.188,44.288,44.129,44.268,11826,0
2014-02-13,17:00:00,44.179,44.317,44.179,44.307,52460,0
2014-02-13,18:00:00,44.228,44.317,44.228,44.238,24875,0
2014-02-13,19:00:00,44.238,44.307,44.228,44.258,13087,0
2014-02-13,20:00:00,44.298,44.357,44.248,44.307,22058,0
2014-02-13,21:00:00,44.298,44.426,44.298,44.367,23988,0
2014-02-13,22:00:00,44.357,44.426,44.337,44.426,564774,0
2014-02-14,16:00:00,44.535,44.585,44.476,44.585,2867,0
2014-02-14,17:00:00,44.575,44.645,44.516,44.585,29399,0
2014-02-14,18:00:00,44.575,44.645,44.535,44.565,10731,0
2014-02-14,19:00:00,44.565,44.635,44.545,44.565,9897,0
2014-02-14,20:00:00,44.555,44.615,44.555,44.595,26017,0
2014-02-14,21:00:00,44.595,44.664,44.585,44.585,21893,0
2014-02-14,22:00:00,44.585,44.645,44.565,44.645,27443,0
2014-02-18,16:00:00,44.585,44.615,44.565,44.575,15831,0
2014-02-18,17:00:00,44.545,44.615,44.526,44.545,40451,0
2014-02-18,18:00:00,44.535,44.645,44.535,44.595,44475,0
2014-02-18,19:00:00,44.555,44.654,44.555,44.635,24493,0
2014-02-18,20:00:00,44.555,44.635,44.555,44.555,47632,0
2014-02-18,21:00:00,44.555,44.555,44.545,44.555,32872,0
2014-02-18,22:00:00,44.545,44.635,44.535,44.625,38393,0
2014-02-19,16:00:00,44.456,44.565,44.416,44.565,149805,0
2014-02-19,17:00:00,44.575,44.615,44.526,44.575,23693,0
2014-02-19,18:00:00,44.575,44.605,44.516,44.535,361446,0
2014-02-19,19:00:00,44.535,44.565,44.486,44.526,17123,0
2014-02-19,20:00:00,44.516,44.555,44.476,44.506,30918,0
2014-02-19,21:00:00,44.555,44.585,44.436,44.456,51850,0
2014-02-19,22:00:00,44.476,44.486,44.357,44.387,35946,0
2014-02-20,16:00:00,44.436,44.436,44.387,44.387,10803,0
2014-02-20,17:00:00,44.407,44.516,44.367,44.426,327405,0
2014-02-20,18:00:00,44.426,44.476,44.416,44.476,33485,0
