Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,34.42,34.43,34.3,34.33,37096,0
2014-02-10,17:00:00,34.35,34.38,34.33,34.37,21973,0
2014-02-10,18:00:00,34.35,34.38,34.25,34.36,91626,0
2014-02-10,19:00:00,34.36,34.38,34.3,34.35,16426,0
2014-02-10,20:00:00,34.35,34.37,34.3,34.35,36378,0
2014-02-10,21:00:00,34.37,34.39,34.28,34.32,28667,0
2014-02-10,22:00:00,34.37,34.4,34.3,34.4,48968,0
2014-02-11,16:00:00,34.43,34.43,34.23,34.32,32852,0
2014-02-11,17:00:00,34.22,34.41,34.22,34.31,13655,0
2014-02-11,18:00:00,34.32,34.44,34.3,34.43,32768,0
2014-02-11,19:00:00,34.41,34.48,34.4,34.42,32350,0
2014-02-11,20:00:00,34.48,34.5,34.42,34.45,18022,0
2014-02-11,21:00:00,34.48,34.5,34.46,34.48,23766,0
2014-02-11,22:00:00,34.48,34.54,34.45,34.5,63396,0
2014-02-12,16:00:00,34.57,34.65,34.42,34.52,32534,0
2014-02-12,17:00:00,34.52,34.54,34.4,34.46,39031,0
2014-02-12,18:00:00,34.42,34.47,34.32,34.41,39646,0
2014-02-12,19:00:00,34.38,34.43,34.31,34.33,39524,0
2014-02-12,20:00:00,34.35,34.52,34.35,34.48,57865,0
2014-02-12,21:00:00,34.45,34.49,34.36,34.45,60691,0
2014-02-12,22:00:00,34.43,34.47,34.32,34.45,49065,0
2014-02-13,16:00:00,34.23,34.4,34.23,34.35,25871,0
2014-02-13,17:00:00,34.26,34.42,34.26,34.4,15383,0
2014-02-13,18:00:00,34.4,34.46,34.34,34.42,95686,0
2014-02-13,19:00:00,34.38,34.53,34.36,34.52,20934,0
2014-02-13,20:00:00,34.45,34.62,34.44,34.62,13921,0
2014-02-13,21:00:00,34.64,34.67,34.59,34.67,12661,0
2014-02-13,22:00:00,34.67,34.69,34.57,34.69,19215,0
2014-02-14,16:00:00,34.57,34.68,34.47,34.58,8063,0
2014-02-14,17:00:00,34.54,34.68,34.5,34.53,20556,0
2014-02-14,18:00:00,34.47,34.54,34.47,34.5,10581,0
2014-02-14,19:00:00,34.5,34.56,34.48,34.48,26198,0
2014-02-14,20:00:00,34.5,34.53,34.48,34.51,47063,0
2014-02-14,21:00:00,34.5,34.6,34.45,34.5,144168,0
2014-02-14,22:00:00,34.5,34.55,34.4,34.45,131069,0
2014-02-18,16:00:00,34.73,34.74,34.56,34.64,82398,0
2014-02-18,17:00:00,34.56,34.69,34.56,34.56,106600,0
2014-02-18,18:00:00,34.61,34.66,34.57,34.64,22070,0
2014-02-18,19:00:00,34.67,34.7,34.63,34.68,16242,0
2014-02-18,20:00:00,34.67,34.7,34.57,34.57,51676,0
2014-02-18,21:00:00,34.59,34.64,34.56,34.59,23616,0
2014-02-18,22:00:00,34.59,34.68,34.58,34.67,22977,0
2014-02-19,16:00:00,34.81,34.86,34.8,34.84,18165,0
2014-02-19,17:00:00,34.87,34.97,34.79,34.87,110303,0
2014-02-19,18:00:00,34.89,34.89,34.73,34.84,17885,0
2014-02-19,19:00:00,34.84,34.84,34.76,34.83,18235,0
2014-02-19,20:00:00,34.82,34.93,34.82,34.93,23922,0
2014-02-19,21:00:00,34.87,34.89,34.72,34.72,22660,0
2014-02-19,22:00:00,34.79,34.81,34.58,34.6,58099,0
2014-02-20,16:00:00,34.59,34.85,34.59,34.64,15036,0
2014-02-20,17:00:00,34.63,34.71,34.59,34.63,79869,0
2014-02-20,18:00:00,34.69,34.71,34.59,34.67,38869,0
2014-02-20,19:00:00,34.73,34.77,34.67,34.72,38986,0
2014-02-20,20:00:00,34.71,34.71,34.68,34.7,19569,0
2014-02-20,21:00:00,34.7,34.71,34.69,34.69,11458,0
2014-02-20,22:00:00,34.65,34.72,34.6,34.64,90719,0
2014-02-21,16:00:00,34.85,34.85,34.69,34.71,53908,0
2014-02-21,17:00:00,34.72,34.72,34.55,34.56,70603,0
2014-02-21,18:00:00,34.59,34.67,34.57,34.57,13339,0
2014-02-21,19:00:00,34.65,34.66,34.62,34.65,2801,0
2014-02-21,20:00:00,34.65,34.69,34.62,34.68,17977,0
2014-02-21,21:00:00,34.68,34.68,34.58,34.63,72609,0
2014-02-21,22:00:00,34.64,34.7,34.61,34.68,51248,0
2014-02-24,16:00:00,34.72,34.82,34.68,34.77,38690,0
2014-02-24,17:00:00,34.76,34.83,34.7,34.75,19215,0
2014-02-24,18:00:00,34.72,34.8,34.7,34.74,22228,0
2014-02-24,19:00:00,34.73,34.87,34.73,34.79,16030,0
2014-02-24,20:00:00,34.74,34.77,34.7,34.7,9471,0
2014-02-24,21:00:00,34.7,34.79,34.7,34.72,14653,0
2014-02-24,22:00:00,34.72,34.79,34.7,34.78,30187,0
2014-02-25,16:00:00,34.65,34.85,34.65,34.75,25357,0
2014-02-25,17:00:00,34.79,34.8,34.69,34.75,24326,0
2014-02-25,18:00:00,34.81,34.84,34.72,34.76,24850,0
2014-02-25,19:00:00,34.76,34.78,34.73,34.76,21041,0
2014-02-25,20:00:00,34.75,34.78,34.72,34.75,26572,0
2014-02-25,21:00:00,34.75,34.76,34.7,34.75,15340,0
2014-02-25,22:00:00,34.74,34.89,34.72,34.87,24394,0
2014-02-26,16:00:00,34.85,35.01,34.69,34.73,11420,0
2014-02-26,17:00:00,34.74,34.82,34.73,34.76,115411,0
2014-02-26,18:00:00,34.76,34.8,34.71,34.79,13493,0
2014-02-26,19:00:00,34.79,34.83,34.76,34.83,22286,0
2014-02-26,20:00:00,34.8,34.84,34.72,34.78,27952,0
2014-02-26,21:00:00,34.78,34.78,34.62,34.73,38110,0
2014-02-26,22:00:00,34.71,34.73,34.57,34.61,58992,0
2014-02-27,16:00:00,34.55,34.7,34.55,34.67,5337,0
2014-02-27,17:00:00,34.65,34.68,34.53,34.62,72858,0
2014-02-27,18:00:00,34.58,34.67,34.54,34.6,78825,0
2014-02-27,19:00:00,34.58,34.59,34.53,34.57,15631,0
2014-02-27,20:00:00,34.61,34.74,34.53,34.74,21809,0
2014-02-27,21:00:00,34.76,34.83,34.66,34.73,39681,0
2014-02-27,22:00:00,34.8,34.84,34.66,34.82,15680,0
2014-02-28,16:00:00,34.72,34.93,34.72,34.79,26581,0
2014-02-28,17:00:00,34.77,34.89,34.77,34.84,23804,0
2014-02-28,18:00:00,34.83,34.95,34.83,34.86,43428,0
2014-02-28,19:00:00,34.89,34.89,34.84,34.88,13981,0
2014-02-28,20:00:00,34.87,34.91,34.86,34.91,15851,0
2014-02-28,21:00:00,34.87,34.94,34.85,34.86,32984,0
2014-02-28,22:00:00,34.85,34.91,34.7,34.85,29363,0
2014-03-03,16:00:00,34.25,34.62,34.21,34.62,40650,0
2014-03-03,17:00:00,34.49,34.5,34.3,34.4,39082,0
2014-03-03,18:00:00,34.4,34.48,34.3,34.35,23389,0
2014-03-03,19:00:00,34.35,34.46,34.25,34.43,67386,0
2014-03-03,20:00:00,34.45,34.49,34.43,34.44,16013,0
2014-03-03,21:00:00,34.43,34.47,34.35,34.46,26276,0
2014-03-03,22:00:00,34.44,34.5,34.34,34.47,23524,0
2014-03-04,16:00:00,34.66,34.77,34.48,34.58,29284,0
2014-03-04,17:00:00,34.58,34.62,34.48,34.61,25993,0
2014-03-04,18:00:00,34.6,34.63,34.49,34.55,25731,0
2014-03-04,19:00:00,34.56,34.6,34.47,34.47,30686,0
2014-03-04,20:00:00,34.49,34.56,34.47,34.53,14825,0
2014-03-04,21:00:00,34.55,34.57,34.51,34.51,46229,0
2014-03-04,22:00:00,34.57,34.58,34.37,34.38,452123,0
2014-03-05,16:00:00,34.25,34.29,34.1,34.13,24152,0
2014-03-05,17:00:00,34.18,34.29,34.14,34.22,43067,0
2014-03-05,18:00:00,34.2,34.34,34.17,34.24,63238,0
2014-03-05,19:00:00,34.27,34.36,34.2,34.34,18444,0
2014-03-05,20:00:00,34.33,34.42,34.27,34.39,19161,0
2014-03-05,21:00:00,34.41,34.44,34.34,34.35,71587,0
2014-03-05,22:00:00,34.37,34.53,34.31,34.48,133786,0
2014-03-06,16:00:00,34.55,34.69,34.55,34.63,33815,0
2014-03-06,17:00:00,34.58,34.65,34.56,34.6,34274,0
2014-03-06,18:00:00,34.58,34.6,34.51,34.59,22883,0
2014-03-06,19:00:00,34.6,34.7,34.59,34.64,65591,0
2014-03-06,20:00:00,34.64,34.69,34.59,34.59,22599,0
2014-03-06,21:00:00,34.59,34.65,34.54,34.55,38732,0
2014-03-06,22:00:00,34.55,34.65,34.48,34.55,45225,0
2014-03-07,16:00:00,34.67,34.7,34.57,34.57,21286,0
2014-03-07,17:00:00,34.6,34.64,34.55,34.6,16680,0
2014-03-07,18:00:00,34.6,34.6,34.49,34.59,47903,0
2014-03-07,19:00:00,34.57,34.65,34.55,34.56,22993,0
2014-03-07,20:00:00,34.56,34.59,34.5,34.51,32729,0
2014-03-07,21:00:00,34.52,34.64,34.5,34.57,17552,0
2014-03-07,22:00:00,34.56,34.72,34.5,34.72,43614,0
