Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,23.5669,23.5669,23.5669,23.5669,302,0
2014-02-10,18:00:00,23.4677,24.6485,23.3982,24.2714,14434,0
2014-02-10,19:00:00,24.4699,24.4699,24.1226,24.1226,202,0
2014-02-10,20:00:00,23.9142,23.9142,23.9142,23.9142,907,0
2014-02-10,22:00:00,24.1028,24.2516,24.1028,24.2516,533,0
2014-02-11,16:00:00,24.331,24.5195,23.9142,24.0829,4491,0
2014-02-11,17:00:00,23.944,24.5096,23.944,24.5096,1915,0
2014-02-11,18:00:00,24.4897,25.2637,24.4897,25.2637,5507,0
2014-02-11,19:00:00,25.2042,25.7103,24.8073,24.8073,6070,0
2014-02-11,20:00:00,24.5989,25.0454,24.5989,24.9065,1612,0
2014-02-11,22:00:00,25.363,25.482,24.9561,25.482,1709,0
2014-02-12,16:00:00,24.4004,24.6584,24.2814,24.6584,1408,0
2014-02-12,17:00:00,24.5096,24.5096,24.5096,24.5096,302,0
2014-02-12,18:00:00,24.7974,25.1645,24.7974,25.0057,2217,0
2014-02-12,19:00:00,24.6187,24.8073,24.6187,24.8073,1813,0
2014-02-12,20:00:00,24.4897,24.4897,24.4897,24.4897,1209,0
2014-02-12,21:00:00,24.6684,24.6684,24.6684,24.6684,302,0
2014-02-12,22:00:00,24.708,24.708,24.708,24.708,177,0
2014-02-13,17:00:00,24.6981,24.6981,24.5493,24.6882,2419,0
2014-02-13,19:00:00,24.5989,24.6684,23.7158,23.7158,5051,0
2014-02-13,20:00:00,24.1127,24.1623,24.0928,24.1623,3214,0
2014-02-13,21:00:00,24.1623,24.3111,24.1623,24.2417,4233,0
2014-02-13,22:00:00,24.1722,24.8073,24.1722,24.7279,4146,0
2014-02-14,16:00:00,23.3387,23.9341,23.0112,23.9341,1846,0
2014-02-14,17:00:00,24.3707,24.6584,24.1127,24.6584,935,0
2014-02-14,18:00:00,24.7378,24.7477,24.3508,24.3508,905,0
2014-02-14,20:00:00,24.3508,24.3508,24.3508,24.3508,151,0
2014-02-14,21:00:00,24.6882,24.7775,24.6882,24.7279,705,0
2014-02-18,16:00:00,24.7279,24.7279,23.9638,24.5592,7832,0
2014-02-18,17:00:00,24.6187,24.6187,24.5195,24.5195,1282,0
2014-02-18,18:00:00,24.6088,24.7775,24.6088,24.7775,302,0
2014-02-18,19:00:00,24.7874,24.8073,24.7874,24.8073,302,0
2014-02-18,20:00:00,24.718,24.718,24.3905,24.3905,1512,0
2014-02-18,21:00:00,24.7577,24.7974,24.7577,24.7974,806,0
2014-02-18,22:00:00,24.7974,24.8073,24.7577,24.8073,1915,0
2014-02-19,16:00:00,24.7676,25.8492,24.1028,24.7378,14178,0
2014-02-19,17:00:00,25.0553,25.0951,25.0553,25.0951,1557,0
2014-02-19,18:00:00,24.6287,24.708,24.6287,24.708,302,0
2014-02-19,19:00:00,24.3111,24.3111,24.0531,24.0631,3227,0
2014-02-19,20:00:00,24.5791,24.5791,24.5791,24.5791,1612,0
2014-02-19,21:00:00,24.4501,24.4501,24.4501,24.4501,101,0
2014-02-19,22:00:00,24.5989,24.5989,24.4997,24.5989,519,0
2014-02-20,18:00:00,24.7874,24.7874,24.7477,24.7477,403,0
2014-02-20,19:00:00,24.7378,24.7378,24.7279,24.7279,504,0
2014-02-20,22:00:00,24.589,24.589,24.589,24.589,251,0
2014-02-21,22:00:00,24.1127,24.1127,24.1127,24.1127,179,0
2014-02-24,16:00:00,24.0631,24.1226,23.9837,24.1226,1484,0
2014-02-24,17:00:00,23.7058,23.7058,23.6364,23.6364,705,0
2014-02-24,21:00:00,23.9539,24.1524,23.9539,24.1028,1385,0
2014-02-24,22:00:00,24.0035,24.0035,24.0035,24.0035,302,0
2014-02-25,21:00:00,24.3111,24.3111,24.3111,24.3111,403,0
2014-02-25,22:00:00,23.9638,24.3111,23.9638,24.2913,2411,0
2014-02-26,22:00:00,24.3111,24.7577,24.3111,24.4501,10940,0
2014-02-27,17:00:00,24.2218,24.2218,24.1127,24.1127,2318,0
2014-02-27,18:00:00,24.0035,24.0531,23.8051,24.0135,5240,0
2014-02-27,19:00:00,24.1623,24.1623,24.1226,24.1325,1613,0
2014-02-27,22:00:00,23.9936,23.9936,23.9936,23.9936,403,0
2014-02-28,16:00:00,24.2516,24.3111,23.8547,23.8547,705,0
2014-02-28,17:00:00,23.8547,23.8845,23.8547,23.8845,202,0
2014-02-28,18:00:00,23.8646,23.9142,23.7753,23.7753,5129,0
2014-02-28,20:00:00,23.815,23.815,23.5669,23.5669,3651,0
2014-02-28,21:00:00,23.4776,23.4776,23.4776,23.4776,403,0
2014-02-28,22:00:00,23.5371,23.6364,23.4875,23.6364,1890,0
2014-03-03,19:00:00,23.7455,23.7455,23.7455,23.7455,504,0
2014-03-03,21:00:00,23.5967,23.5967,23.5669,23.5669,4031,0
2014-03-04,16:00:00,23.5371,23.6761,23.5371,23.6761,504,0
2014-03-04,17:00:00,23.7654,23.7654,23.7654,23.7654,806,0
2014-03-04,19:00:00,23.9539,23.9539,23.9539,23.9539,101,0
2014-03-04,20:00:00,23.7058,23.7058,23.7058,23.7058,101,0
2014-03-04,21:00:00,23.944,23.944,23.944,23.944,101,0
2014-03-04,22:00:00,23.7753,23.7753,23.7753,23.7753,179,0
2014-03-05,16:00:00,24.2119,24.2119,22.9319,23.7158,9888,0
2014-03-05,17:00:00,23.5173,24.1028,23.5173,24.1028,13890,0
2014-03-05,18:00:00,24.0333,24.0333,24.0333,24.0333,403,0
