Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,20:00:00,25.349,25.349,25.349,25.349,2165,0
2014-02-13,22:00:00,25.378,25.388,25.378,25.388,651,0
2014-02-18,20:00:00,25.448,25.468,25.448,25.468,2727,0
2014-02-19,16:00:00,25.408,25.408,25.408,25.408,100,0
2014-02-19,17:00:00,25.428,25.428,25.418,25.418,783,0
2014-02-19,22:00:00,25.438,25.438,25.438,25.438,707,0
2014-02-25,20:00:00,25.552,25.552,25.552,25.552,507,0
2014-03-03,20:00:00,25.651,25.651,25.651,25.651,170,0
2014-03-05,20:00:00,25.641,25.651,25.641,25.651,3260,0
2014-03-07,20:00:00,25.502,25.502,25.502,25.502,2917,0
2014-03-10,20:00:00,25.502,25.502,25.502,25.502,158,0
2014-03-11,19:00:00,25.562,25.562,25.562,25.562,3034,0
2014-03-12,19:00:00,25.532,25.532,25.532,25.532,917,0
2014-03-13,19:00:00,25.631,25.631,25.631,25.631,351,0
2014-03-13,20:00:00,25.631,25.631,25.631,25.631,728,0
2014-03-14,18:00:00,25.591,25.591,25.591,25.591,703,0
2014-03-18,19:00:00,25.661,25.661,25.621,25.621,1381,0
2014-03-18,21:00:00,25.671,25.671,25.671,25.671,513,0
2014-03-19,19:00:00,25.621,25.621,25.621,25.621,704,0
2014-03-19,20:00:00,25.621,25.621,25.601,25.601,1911,0
2014-03-21,17:00:00,25.532,25.532,25.532,25.532,452,0
2014-03-21,19:00:00,25.581,25.581,25.581,25.581,100,0
2014-03-26,16:00:00,25.607,25.607,25.607,25.607,20,0
2014-03-26,18:00:00,25.607,25.607,25.607,25.607,10,0
2014-03-26,19:00:00,25.627,25.627,25.627,25.627,64,0
2014-03-26,20:00:00,25.696,25.696,25.696,25.696,1400,0
2014-03-28,15:00:00,25.746,25.746,25.746,25.746,100,0
2014-03-28,16:00:00,25.736,25.736,25.736,25.736,300,0
2014-03-28,17:00:00,25.736,25.736,25.726,25.726,200,0
2014-03-28,18:00:00,25.716,25.716,25.716,25.716,300,0
2014-03-28,19:00:00,25.716,25.716,25.716,25.716,505,0
2014-03-28,21:00:00,25.726,25.726,25.726,25.726,361,0
2014-03-31,16:00:00,25.716,25.716,25.716,25.716,100,0
2014-03-31,17:00:00,25.726,25.726,25.706,25.726,702,0
2014-03-31,20:00:00,25.736,25.736,25.736,25.736,1995,0
2014-04-02,20:00:00,25.646,25.646,25.646,25.646,7529,0
2014-04-03,18:00:00,25.676,25.676,25.676,25.676,700,0
2014-04-03,22:00:00,25.636,25.636,25.636,25.636,100,0
2014-04-04,20:00:00,25.666,25.666,25.666,25.666,220,0
2014-04-04,22:00:00,25.776,25.776,25.726,25.726,585,0
2014-04-09,21:00:00,25.806,25.806,25.806,25.806,812,0
2014-04-10,19:00:00,25.906,25.906,25.856,25.876,10804,0
2014-04-10,20:00:00,25.866,25.916,25.846,25.866,32709,0
2014-04-10,21:00:00,25.816,25.906,25.816,25.876,12911,0
2014-04-10,22:00:00,25.806,25.906,25.806,25.856,80082,0
2014-04-11,16:00:00,25.916,25.916,25.866,25.866,400,0
2014-04-11,17:00:00,25.866,25.916,25.846,25.856,74412,0
2014-04-11,18:00:00,25.866,25.886,25.846,25.866,33732,0
2014-04-11,19:00:00,25.866,25.896,25.856,25.866,8101,0
2014-04-11,20:00:00,25.866,25.876,25.846,25.856,26832,0
2014-04-11,21:00:00,25.856,25.896,25.826,25.846,42729,0
2014-04-11,22:00:00,25.856,25.876,25.806,25.806,29118,0
2014-04-14,16:00:00,25.896,25.896,25.846,25.846,200,0
