Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,24.23,24.6,24.23,24.59,6406608,0
2014-02-10,17:00:00,24.59,24.75,24.55,24.61,7310080,0
2014-02-10,18:00:00,24.61,24.74,24.58,24.71,4673927,0
2014-02-10,19:00:00,24.7,24.75,24.64,24.7,2779063,0
2014-02-10,20:00:00,24.7,24.75,24.66,24.75,2635617,0
2014-02-10,21:00:00,24.74,24.78,24.66,24.7,3097599,0
2014-02-10,22:00:00,24.7,24.71,24.58,24.7,15356653,0
2014-02-11,16:00:00,24.99,25.21,24.93,25.11,4993689,0
2014-02-11,17:00:00,25.11,25.58,25.06,25.57,11444521,0
2014-02-11,18:00:00,25.57,25.76,25.42,25.71,7601087,0
2014-02-11,19:00:00,25.71,25.73,25.44,25.44,6792486,0
2014-02-11,20:00:00,25.45,25.56,25.31,25.49,4078301,0
2014-02-11,21:00:00,25.49,25.66,25.46,25.63,3148001,0
2014-02-11,22:00:00,25.63,25.7,25.52,25.65,15055223,0
2014-02-12,16:00:00,25.64,25.65,25.24,25.4,5504864,0
2014-02-12,17:00:00,25.41,25.57,25.3,25.35,6120179,0
2014-02-12,18:00:00,25.35,25.35,25.07,25.15,4772798,0
2014-02-12,19:00:00,25.16,25.43,25.16,25.38,4084752,0
2014-02-12,20:00:00,25.38,25.43,25.15,25.18,2630398,0
2014-02-12,21:00:00,25.18,25.22,24.85,24.91,5952145,0
2014-02-12,22:00:00,24.92,24.96,24.72,24.77,18255962,0
2014-02-13,16:00:00,24.83,25.27,24.73,25.24,6267601,0
2014-02-13,17:00:00,25.23,25.44,25.23,25.33,4851656,0
2014-02-13,18:00:00,25.33,25.51,25.32,25.44,4250242,0
2014-02-13,19:00:00,25.44,25.59,25.36,25.57,4605199,0
2014-02-13,20:00:00,25.56,25.73,25.52,25.72,5224192,0
2014-02-13,21:00:00,25.72,25.83,25.67,25.83,5763909,0
2014-02-13,22:00:00,25.83,25.89,25.77,25.87,23306421,0
2014-02-14,16:00:00,26.42,26.62,26.27,26.52,8392463,0
2014-02-14,17:00:00,26.52,26.68,26.21,26.25,10461842,0
2014-02-14,18:00:00,26.25,26.44,26.11,26.17,5916296,0
2014-02-14,19:00:00,26.17,26.39,26.05,26.32,5782599,0
2014-02-14,20:00:00,26.31,26.39,26.25,26.35,3053146,0
2014-02-14,21:00:00,26.35,26.48,26.32,26.45,3780869,0
2014-02-14,22:00:00,26.44,26.47,26.28,26.35,7404744,0
2014-02-18,16:00:00,26.56,26.6,26.09,26.15,5763138,0
2014-02-18,17:00:00,26.15,26.56,26.15,26.38,6565157,0
2014-02-18,18:00:00,26.39,26.42,26.16,26.31,4421314,0
2014-02-18,19:00:00,26.32,26.44,26.26,26.4,1710782,0
2014-02-18,20:00:00,26.39,26.46,26.32,26.42,1576563,0
2014-02-18,21:00:00,26.41,26.54,26.38,26.53,2086952,0
2014-02-18,22:00:00,26.53,26.56,26.42,26.46,6277514,0
2014-02-19,16:00:00,26.28,26.46,26.18,26.46,3983331,0
2014-02-19,17:00:00,26.45,26.56,26.31,26.34,4337553,0
2014-02-19,18:00:00,26.34,26.34,26.12,26.12,3650695,0
2014-02-19,19:00:00,26.12,26.25,26.1,26.17,3524240,0
2014-02-19,20:00:00,26.18,26.36,26.16,26.25,2284193,0
2014-02-19,21:00:00,26.25,26.28,26.01,26.06,6231966,0
2014-02-19,22:00:00,26.06,26.08,25.56,25.63,20661972,0
2014-02-20,16:00:00,25.79,26.07,25.72,26.06,5141626,0
2014-02-20,17:00:00,26.06,26.32,25.9,26.32,5990452,0
2014-02-20,18:00:00,26.31,26.32,26.15,26.3,4270445,0
2014-02-20,19:00:00,26.29,26.4,26.23,26.29,3977233,0
2014-02-20,20:00:00,26.29,26.43,26.29,26.39,2749355,0
2014-02-20,21:00:00,26.39,26.54,26.32,26.48,4089029,0
2014-02-20,22:00:00,26.48,26.76,26.43,26.67,18794924,0
2014-02-21,16:00:00,26.71,26.85,26.45,26.71,4889324,0
2014-02-21,17:00:00,26.71,26.76,26.37,26.42,5855410,0
2014-02-21,18:00:00,26.42,26.48,26.25,26.48,4388294,0
2014-02-21,19:00:00,26.47,26.49,26.28,26.34,2076732,0
2014-02-21,20:00:00,26.34,26.72,26.33,26.6,4261753,0
2014-02-21,21:00:00,26.6,26.68,26.5,26.52,3534192,0
2014-02-21,22:00:00,26.53,26.69,26.52,26.53,7382782,0
2014-02-24,16:00:00,26.9,26.9,26.69,26.78,3502552,0
2014-02-24,17:00:00,26.78,26.96,26.76,26.85,5603420,0
2014-02-24,18:00:00,26.84,26.91,26.78,26.81,2823274,0
2014-02-24,19:00:00,26.81,26.88,26.8,26.85,1181479,0
2014-02-24,20:00:00,26.86,26.89,26.77,26.79,1181322,0
2014-02-24,21:00:00,26.78,26.85,26.7,26.8,3155445,0
2014-02-24,22:00:00,26.81,26.81,26.7,26.7,8478511,0
2014-02-25,16:00:00,26.67,26.78,26.57,26.6,3239785,0
2014-02-25,17:00:00,26.59,26.72,26.41,26.48,4385391,0
2014-02-25,18:00:00,26.48,26.64,26.47,26.57,2866890,0
2014-02-25,19:00:00,26.57,26.73,26.54,26.66,3444371,0
2014-02-25,20:00:00,26.67,26.78,26.65,26.73,2241793,0
2014-02-25,21:00:00,26.74,26.77,26.68,26.69,1669685,0
2014-02-25,22:00:00,26.69,26.73,26.3,26.33,14906997,0
2014-02-26,16:00:00,26.1,26.3,26.08,26.21,3999631,0
