Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.97,14.4,13.97,14.4,31582,0
2014-02-10,17:00:00,14.42,14.46,14.35,14.4,37583,0
2014-02-10,18:00:00,14.39,14.41,14.35,14.41,14421,0
2014-02-10,19:00:00,14.43,14.5,14.43,14.5,11267,0
2014-02-10,20:00:00,14.5,14.58,14.49,14.5,6089,0
2014-02-10,21:00:00,14.48,14.55,14.48,14.55,4604,0
2014-02-10,22:00:00,14.6,14.6,14.45,14.55,14042,0
2014-02-11,16:00:00,14.74,14.96,14.74,14.88,9810,0
2014-02-11,17:00:00,14.88,15.12,14.85,15.12,22381,0
2014-02-11,18:00:00,15.12,15.24,15.1,15.2,24367,0
2014-02-11,19:00:00,15.2,15.2,15.11,15.2,15230,0
2014-02-11,20:00:00,15.2,15.22,15.14,15.17,6599,0
2014-02-11,21:00:00,15.16,15.2,15.13,15.17,10803,0
2014-02-11,22:00:00,15.19,15.27,15.14,15.18,76693,0
2014-02-12,16:00:00,15.3,15.48,15.1,15.22,9962,0
2014-02-12,17:00:00,15.16,15.23,15.06,15.06,11522,0
2014-02-12,18:00:00,15.06,15.06,14.96,14.98,21605,0
2014-02-12,19:00:00,14.94,15.08,14.94,14.99,15205,0
2014-02-12,20:00:00,14.94,15.03,14.92,14.93,9925,0
2014-02-12,21:00:00,14.93,14.95,14.33,14.6,35309,0
2014-02-12,22:00:00,14.65,14.75,14.55,14.55,19509,0
2014-02-13,16:00:00,14.68,15.05,14.55,14.96,13239,0
2014-02-13,17:00:00,14.97,15.12,14.97,15.04,5454,0
2014-02-13,18:00:00,15.1,15.11,15.1,15.1,2000,0
2014-02-13,19:00:00,15.09,15.27,15.09,15.22,10725,0
2014-02-13,20:00:00,15.22,15.3,15.21,15.3,17218,0
2014-02-13,21:00:00,15.37,15.46,15.3,15.32,17934,0
2014-02-13,22:00:00,15.42,15.66,15.42,15.47,35444,0
2014-02-14,16:00:00,15.78,16.42,15.78,16.3,24535,0
2014-02-14,17:00:00,16.43,16.5,16.05,16.1,51642,0
2014-02-14,18:00:00,16.1,16.18,16.01,16.09,11976,0
2014-02-14,19:00:00,16,16.14,15.93,16.13,10376,0
2014-02-14,20:00:00,16.14,16.17,16.06,16.09,6003,0
2014-02-14,21:00:00,16.16,16.3,16.14,16.18,27279,0
2014-02-14,22:00:00,16.21,16.24,16.04,16.05,18346,0
2014-02-18,16:00:00,16.32,16.45,16.02,16.18,60830,0
2014-02-18,17:00:00,16.17,16.39,16.04,16.3,36119,0
2014-02-18,18:00:00,16.32,16.32,16.17,16.27,9298,0
2014-02-18,19:00:00,16.21,16.26,16.21,16.26,8332,0
2014-02-18,20:00:00,16.28,16.31,16.25,16.29,18349,0
2014-02-18,21:00:00,16.28,16.34,16.25,16.31,4522,0
2014-02-18,22:00:00,16.33,16.33,16.2,16.2,32703,0
2014-02-19,16:00:00,16.18,16.18,15.85,15.92,9868,0
2014-02-19,17:00:00,15.95,16.07,15.9,15.98,10407,0
2014-02-19,18:00:00,15.98,15.99,15.68,15.75,26564,0
2014-02-19,19:00:00,15.71,15.8,15.66,15.8,18650,0
2014-02-19,20:00:00,15.75,15.83,15.75,15.83,10335,0
2014-02-19,21:00:00,15.7,15.74,15.52,15.56,22203,0
2014-02-19,22:00:00,15.54,15.54,15.01,15.04,19037,0
2014-02-20,16:00:00,15.1,15.1,14.68,14.95,33601,0
2014-02-20,17:00:00,14.99,15.22,14.95,15.22,13104,0
2014-02-20,18:00:00,15.29,15.32,15.25,15.25,3809,0
2014-02-20,19:00:00,15.25,15.36,15.25,15.28,5321,0
2014-02-20,20:00:00,15.25,15.36,15.24,15.3,12230,0
2014-02-20,21:00:00,15.3,15.42,15.3,15.38,9105,0
2014-02-20,22:00:00,15.41,15.59,15.41,15.54,7883,0
2014-02-21,16:00:00,15.59,15.6,15.55,15.56,5978,0
2014-02-21,17:00:00,15.52,15.63,15.46,15.46,7785,0
2014-02-21,18:00:00,15.5,15.52,15.35,15.45,5645,0
2014-02-21,19:00:00,15.42,15.46,15.38,15.45,9532,0
2014-02-21,20:00:00,15.47,15.6,15.47,15.54,5607,0
2014-02-21,21:00:00,15.56,15.56,15.5,15.56,7590,0
2014-02-21,22:00:00,15.51,15.51,15.46,15.46,3405,0
2014-02-24,16:00:00,15.86,15.9,15.75,15.77,13483,0
2014-02-24,17:00:00,15.84,15.99,15.84,15.98,19376,0
2014-02-24,18:00:00,15.94,15.98,15.91,15.94,13163,0
2014-02-24,19:00:00,15.95,15.95,15.9,15.9,4911,0
2014-02-24,20:00:00,15.89,15.9,15.86,15.87,10296,0
2014-02-24,21:00:00,15.88,15.88,15.8,15.82,2505,0
2014-02-24,22:00:00,15.8,15.8,15.7,15.76,8472,0
2014-02-25,16:00:00,15.72,15.75,15.72,15.73,17900,0
2014-02-25,17:00:00,15.75,15.75,15.57,15.57,21072,0
2014-02-25,18:00:00,15.58,15.67,15.58,15.6,12090,0
2014-02-25,19:00:00,15.58,15.65,15.58,15.65,300,0
2014-02-25,20:00:00,15.63,15.7,15.62,15.62,4392,0
2014-02-25,21:00:00,15.61,15.61,15.59,15.59,6200,0
2014-02-25,22:00:00,15.62,15.94,15.44,15.57,8680,0
2014-02-26,16:00:00,15.43,15.43,15.37,15.38,6863,0
2014-02-26,17:00:00,15.36,15.36,15.15,15.16,26750,0
2014-02-26,18:00:00,15.11,15.13,14.84,14.84,35421,0
2014-02-26,19:00:00,14.88,15.08,14.88,15.08,6427,0
2014-02-26,20:00:00,15.03,15.2,15.03,15.2,11426,0
2014-02-26,21:00:00,15.09,15.1,15.03,15.1,6494,0
2014-02-26,22:00:00,15.15,15.32,15.13,15.32,16319,0
2014-02-27,16:00:00,15.18,15.36,15.18,15.36,2497,0
2014-02-27,17:00:00,15.42,15.55,15.42,15.5,27800,0
2014-02-27,18:00:00,15.49,15.49,15.49,15.49,2800,0
2014-02-27,19:00:00,15.55,15.55,15.4,15.4,11678,0
2014-02-27,20:00:00,15.38,15.38,15.38,15.38,1640,0
2014-02-27,21:00:00,15.18,15.18,15.18,15.18,1803,0
2014-02-27,22:00:00,15.14,15.22,15.01,15.22,20765,0
2014-02-28,16:00:00,15.32,15.37,15.32,15.37,350,0
2014-02-28,17:00:00,15.33,15.33,15.15,15.23,7050,0
2014-02-28,18:00:00,15.29,15.29,15.21,15.21,1003,0
2014-02-28,19:00:00,15.21,15.3,15.21,15.3,6447,0
2014-02-28,20:00:00,15.31,15.31,15.2,15.21,1368,0
2014-02-28,21:00:00,15.19,15.19,15.09,15.09,3497,0
2014-02-28,22:00:00,15.18,15.33,15.18,15.32,3620,0
2014-03-03,16:00:00,15.94,15.94,15.64,15.75,43826,0
2014-03-03,17:00:00,15.77,15.94,15.71,15.91,15920,0
2014-03-03,18:00:00,15.92,15.92,15.84,15.84,6785,0
2014-03-03,19:00:00,15.82,15.82,15.75,15.75,1600,0
2014-03-03,20:00:00,15.78,15.79,15.71,15.79,4000,0
2014-03-03,21:00:00,15.7,15.8,15.67,15.79,10780,0
2014-03-03,22:00:00,15.73,15.86,15.73,15.78,17185,0
2014-03-04,16:00:00,15.58,15.6,15.35,15.45,16192,0
2014-03-04,17:00:00,15.48,15.68,15.48,15.62,7060,0
2014-03-04,18:00:00,15.65,15.66,15.63,15.63,10322,0
2014-03-04,19:00:00,15.63,15.66,15.59,15.66,11820,0
2014-03-04,20:00:00,15.62,15.63,15.54,15.63,4000,0
2014-03-04,21:00:00,15.62,15.62,15.62,15.62,1014,0
2014-03-04,22:00:00,15.6,15.65,15.52,15.65,6458,0
2014-03-05,16:00:00,15.51,15.85,15.51,15.79,25904,0
2014-03-05,17:00:00,15.83,16.13,15.83,15.92,49237,0
2014-03-05,18:00:00,15.95,16.07,15.95,16.07,20605,0
2014-03-05,19:00:00,16.08,16.13,15.99,16.1,13558,0
2014-03-05,20:00:00,16.03,16.15,16.03,16.09,7082,0
2014-03-05,21:00:00,16.09,16.25,16.09,16.17,19214,0
2014-03-05,22:00:00,16.25,16.55,16.25,16.5,102639,0
2014-03-06,16:00:00,16.75,16.75,16.45,16.58,24756,0
2014-03-06,17:00:00,16.57,16.66,16.52,16.55,27233,0
2014-03-06,18:00:00,16.53,16.71,16.5,16.71,39907,0
