Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,46.86,46.86,46.86,46.86,100,0
2014-02-10,18:00:00,46.79,46.79,46.73,46.73,3947,0
2014-02-10,20:00:00,46.61,46.62,46.61,46.62,4500,0
2014-02-10,21:00:00,46.6,46.6,46.6,46.6,151,0
2014-02-11,16:00:00,46.61,46.61,46.61,46.61,1318,0
2014-02-11,17:00:00,46.76,46.81,46.76,46.81,400,0
2014-02-11,18:00:00,46.85,46.85,46.81,46.81,400,0
2014-02-11,19:00:00,46.81,46.84,46.81,46.84,300,0
2014-02-11,20:00:00,46.83,46.83,46.83,46.83,355,0
2014-02-11,22:00:00,46.81,46.82,46.75,46.75,2700,0
2014-02-12,16:00:00,47.05,47.05,47.05,47.05,800,0
2014-02-12,17:00:00,47.08,47.11,47,47.11,775,0
2014-02-12,18:00:00,47.1,47.11,47.1,47.11,300,0
2014-02-12,19:00:00,47,47,47,47,500,0
2014-02-12,20:00:00,47,47.03,46.88,46.88,15550,0
2014-02-12,21:00:00,46.94,46.94,46.94,46.94,650,0
2014-02-12,22:00:00,46.96,46.96,46.96,46.96,600,0
2014-02-13,16:00:00,46.8,46.8,46.8,46.8,474,0
2014-02-13,18:00:00,46.88,47.01,46.88,47.01,950,0
2014-02-13,19:00:00,47.08,47.08,47.08,47.08,100,0
2014-02-13,21:00:00,47.1,47.15,47.09,47.09,1141,0
2014-02-13,22:00:00,47.07,47.12,47.07,47.1,7400,0
2014-02-14,19:00:00,47.04,47.25,47.04,47.25,2857,0
2014-02-14,20:00:00,47.21,47.21,47.21,47.21,420,0
2014-02-14,21:00:00,47.27,47.28,47.27,47.28,4858,0
2014-02-14,22:00:00,47.29,47.29,47.21,47.24,965,0
2014-02-18,16:00:00,47.55,47.55,47.55,47.55,400,0
2014-02-18,17:00:00,47.68,47.68,47.68,47.68,200,0
2014-02-18,18:00:00,47.75,47.75,47.74,47.74,293,0
2014-02-18,20:00:00,47.83,47.83,47.83,47.83,200,0
2014-02-18,21:00:00,47.88,48.01,47.88,48,4925,0
2014-02-19,17:00:00,48.12,48.12,48.12,48.12,210,0
2014-02-19,18:00:00,48.11,48.11,48.11,48.11,700,0
2014-02-19,19:00:00,48.13,48.13,48.13,48.13,200,0
2014-02-19,20:00:00,48.13,48.13,48.13,48.13,200,0
2014-02-19,21:00:00,48.23,48.23,48.23,48.23,1200,0
2014-02-19,22:00:00,48.28,48.28,48.28,48.28,100,0
2014-02-20,21:00:00,48.07,48.18,48.07,48.18,1539,0
2014-02-21,16:00:00,48.15,48.15,48.04,48.04,323,0
2014-02-24,16:00:00,48.08,48.08,47.96,47.96,2700,0
2014-02-24,17:00:00,47.97,47.97,47.97,47.97,300,0
2014-02-24,21:00:00,48.09,48.2,48.09,48.2,1491,0
2014-02-25,21:00:00,47.92,47.92,47.83,47.83,2982,0
2014-02-26,16:00:00,47.94,47.94,47.94,47.94,110,0
2014-02-26,17:00:00,47.87,47.96,47.87,47.96,392,0
2014-02-26,20:00:00,48.01,48.01,48,48.01,800,0
2014-02-26,22:00:00,47.98,47.99,47.95,47.95,5307,0
2014-02-27,17:00:00,47.87,48.09,47.87,48.09,200,0
2014-02-27,21:00:00,47.82,47.82,47.82,47.82,4726,0
