Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,21:00:00,29.33,29.33,29.33,29.33,3955,0
2014-02-13,18:00:00,29.6799,29.6799,29.6799,29.6799,436,0
2014-02-14,18:00:00,29.8699,29.8699,29.7099,29.7099,597,0
2014-02-14,21:00:00,29.9698,29.9698,29.9698,29.9698,700,0
2014-02-18,21:00:00,30.2197,30.2197,30.2197,30.2197,214,0
2014-02-19,18:00:00,30.2597,30.2597,30.2597,30.2597,400,0
2014-02-19,21:00:00,30.1598,30.1598,30.1598,30.1598,500,0
2014-02-21,21:00:00,30.1898,30.1898,30.1898,30.1898,2401,0
2014-02-26,19:00:00,30.2197,30.2197,30.2197,30.2197,2439,0
2014-02-26,21:00:00,30.3497,30.3497,30.3497,30.3497,300,0
2014-02-27,17:00:00,30.2197,30.2197,30.2197,30.2197,700,0
2014-02-27,21:00:00,30.3897,30.3997,30.3797,30.3797,3143,0
2014-02-27,22:00:00,30.3797,30.3797,30.3797,30.3797,231,0
2014-02-28,16:00:00,30.5496,30.5496,30.5496,30.5496,900,0
2014-03-07,21:00:00,30.8595,30.8595,30.8595,30.8595,322,0
2014-03-10,21:00:00,30.6596,30.6596,30.6596,30.6596,759,0
2014-03-11,20:00:00,30.5396,30.5396,30.5396,30.5396,498,0
2014-03-12,20:00:00,30.3097,30.3097,30.3097,30.3097,151,0
2014-03-18,20:00:00,30.3197,30.3197,30.3197,30.3197,1801,0
2014-03-24,18:00:00,29.33,29.33,29.33,29.33,2295,0
2014-03-26,15:00:00,30.37,30.37,30.37,30.37,1,0
2014-03-26,17:00:00,30.11,30.11,30.11,30.11,1,0
2014-03-26,18:00:00,30.25,30.25,30.25,30.25,4,0
2014-03-26,20:00:00,30.12,30.12,30.04,30.04,212,0
2014-03-26,21:00:00,30.14,30.14,30.07,30.07,190,0
2014-04-01,16:00:00,30.83,30.83,30.83,30.83,15184,0
2014-04-01,17:00:00,30.83,31,30.83,31,874,0
2014-04-01,18:00:00,30.86,30.86,30.86,30.86,452,0
2014-04-01,19:00:00,31,31,31,31,2800,0
2014-04-01,21:00:00,30.87,30.87,30.8,30.8,6400,0
2014-04-01,22:00:00,30.77,30.78,30.74,30.77,38017,0
2014-04-04,17:00:00,31.3,31.3,31.27,31.27,660,0
2014-04-04,18:00:00,31.3,31.3,31.11,31.11,9849,0
2014-04-07,17:00:00,30.79,30.97,30.79,30.8,3079,0
2014-04-07,21:00:00,30.82,30.82,30.82,30.82,400,0
2014-04-08,16:00:00,30.35,30.35,30.34,30.34,1746,0
2014-04-08,19:00:00,30.48,30.48,30.43,30.43,200,0
2014-04-08,20:00:00,30.45,30.63,30.41,30.52,1000,0
2014-04-09,17:00:00,30.63,30.63,30.63,30.63,1980,0
2014-04-09,20:00:00,30.56,30.56,30.56,30.56,312,0
2014-04-10,21:00:00,30.19,30.21,30.09,30.11,8000,0
2014-04-11,17:00:00,29.84,30.08,29.84,30.06,5296,0
2014-04-11,18:00:00,30.08,30.08,30.08,30.08,300,0
2014-04-15,20:00:00,29.52,29.56,29.47,29.56,4500,0
2014-04-15,21:00:00,29.67,29.67,29.67,29.67,1800,0
2014-04-15,22:00:00,29.7,29.82,29.68,29.8,5500,0
2014-04-16,17:00:00,30.21,30.22,30.21,30.22,1950,0
2014-04-16,18:00:00,30.18,30.33,30.17,30.33,7200,0
2014-04-16,22:00:00,30.3,30.3,30.3,30.3,200,0
2014-04-17,18:00:00,30.53,30.53,30.4,30.43,4356,0
2014-04-21,17:00:00,30.5,30.58,30.5,30.58,1000,0
2014-04-21,18:00:00,30.55,30.63,30.55,30.6,1400,0
2014-04-21,19:00:00,30.57,30.58,30.54,30.57,600,0
2014-04-21,20:00:00,30.59,30.61,30.54,30.58,3000,0
2014-04-21,21:00:00,30.66,30.66,30.59,30.6,3900,0
