Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,23.55,23.55,23.36,23.39,5500,0
2014-02-10,17:00:00,23.38,23.38,23.21,23.21,19371,0
2014-02-10,18:00:00,23.26,23.32,23.25,23.26,9750,0
2014-02-10,19:00:00,23.32,23.34,23.3,23.33,13800,0
2014-02-10,20:00:00,23.34,23.34,23.26,23.3,8453,0
2014-02-10,21:00:00,23.33,23.34,23.27,23.27,18818,0
2014-02-10,22:00:00,23.31,23.34,23.26,23.31,26508,0
2014-02-11,16:00:00,23.42,23.44,23.24,23.42,12000,0
2014-02-11,17:00:00,23.43,23.53,23.39,23.53,23100,0
2014-02-11,18:00:00,23.53,23.59,23.45,23.59,134620,0
2014-02-11,19:00:00,23.59,23.65,23.55,23.63,105174,0
2014-02-11,20:00:00,23.66,23.7,23.66,23.68,52701,0
2014-02-11,21:00:00,23.68,23.75,23.67,23.75,93440,0
2014-02-11,22:00:00,23.75,23.78,23.68,23.72,128816,0
2014-02-12,16:00:00,23.74,23.92,23.74,23.91,23304,0
2014-02-12,17:00:00,23.92,23.93,23.76,23.82,32375,0
2014-02-12,18:00:00,23.83,23.83,23.71,23.76,1300,0
2014-02-12,19:00:00,23.68,23.76,23.66,23.73,600,0
2014-02-12,20:00:00,23.74,23.8,23.73,23.8,3538,0
2014-02-12,21:00:00,23.77,23.81,23.71,23.75,20310,0
2014-02-12,22:00:00,23.73,23.77,23.68,23.68,5474,0
2014-02-13,16:00:00,23.29,23.3,23.05,23.23,10126,0
2014-02-13,17:00:00,23.28,23.31,23.24,23.27,24820,0
2014-02-13,18:00:00,23.29,23.35,23.21,23.35,20337,0
2014-02-13,19:00:00,23.34,23.34,23.27,23.3,10600,0
2014-02-13,21:00:00,23.38,23.47,23.38,23.47,1965,0
2014-02-13,22:00:00,23.42,23.49,23.42,23.49,4800,0
2014-02-14,16:00:00,23.59,23.66,23.59,23.66,5330,0
2014-02-14,17:00:00,23.68,23.74,23.68,23.74,2200,0
2014-02-14,18:00:00,23.77,23.78,23.77,23.77,10288,0
2014-02-14,19:00:00,23.77,23.77,23.77,23.77,1102,0
2014-02-14,20:00:00,23.8,23.8,23.8,23.8,200,0
2014-02-14,21:00:00,23.81,23.86,23.81,23.86,7953,0
2014-02-14,22:00:00,23.82,23.84,23.77,23.77,2281,0
2014-02-18,16:00:00,23.8,23.97,23.76,23.81,18310,0
2014-02-18,17:00:00,23.78,23.81,23.76,23.79,5628,0
2014-02-18,18:00:00,23.83,23.83,23.81,23.82,9800,0
2014-02-18,19:00:00,23.83,23.83,23.81,23.81,4500,0
2014-02-18,20:00:00,23.79,23.8,23.75,23.77,12200,0
