Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-19,19:00:00,44.06,45.29,43.53,44.25,2100,0
2014-03-19,21:00:00,44.25,44.25,44.25,44.25,200,0
2014-03-20,15:00:00,44.33,44.33,44,44.04,500,0
2014-03-24,21:00:00,43.25,44.4,43.25,44.25,5400,0
2014-03-27,15:00:00,43.8,44.9,43.8,44.9,1700,0
2014-03-27,16:00:00,45,45,44.9,45,1100,0
2014-04-02,17:00:00,44.6,44.9,44.6,44.9,900,0
2014-04-02,18:00:00,45,45.45,45,45.43,1700,0
2014-04-04,17:00:00,45.65,45.71,44.5,45.5,2500,0
2014-04-04,19:00:00,45.79,45.81,45.79,45.81,200,0
2014-04-04,22:00:00,44.75,45.7,44.75,45.7,1400,0
2014-04-08,17:00:00,44.65,44.65,44.65,44.65,202,0
2014-04-08,18:00:00,44.6,45.8,44.6,45.8,2100,0
2014-04-08,19:00:00,45.7,45.7,45.7,45.7,100,0
2014-04-08,22:00:00,45.3,45.3,45.3,45.3,100,0
2014-04-09,18:00:00,45.7,45.7,45.7,45.7,100,0
2014-04-09,20:00:00,44.8,45.7,44.8,45.7,1900,0
2014-04-10,19:00:00,44.9,44.9,44.9,44.9,200,0
2014-04-11,17:00:00,44.9,44.9,44.9,44.9,200,0
2014-04-11,18:00:00,44.92,45.47,44.9,45.47,1800,0
2014-04-11,19:00:00,45.8,45.85,45.77,45.77,2170,0
2014-04-11,20:00:00,45.4,45.4,45.1,45.1,1500,0
2014-04-11,21:00:00,45.16,45.24,45.16,45.24,200,0
2014-04-11,22:00:00,45.44,45.78,45.2,45.7,2945,0
2014-04-14,19:00:00,45.22,45.8,45.22,45.71,3200,0
2014-04-16,17:00:00,45.05,45.05,45.05,45.05,200,0
2014-04-16,18:00:00,45.15,45.78,45.15,45.7,2200,0
2014-04-17,16:00:00,45.05,45.15,45.05,45.15,1200,0
2014-04-22,20:00:00,45.54,45.82,45.5,45.55,3100,0
2014-04-23,18:00:00,45.3,45.3,45.3,45.3,190,0
2014-04-23,19:00:00,45.32,45.49,45.32,45.46,1800,0
2014-04-25,17:00:00,45.4,45.4,45.38,45.38,200,0
2014-04-25,19:00:00,45.38,45.38,45.38,45.38,500,0
2014-05-05,22:00:00,45.35,45.35,45.28,45.34,600,0
