Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,44.38,44.38,44.38,44.38,200,0
2014-02-10,17:00:00,44.35,44.35,44.35,44.35,1000,0
2014-02-10,18:00:00,44.48,44.53,44.46,44.47,4080,0
2014-02-10,19:00:00,44.51,44.55,44.4,44.46,1550,0
2014-02-10,20:00:00,44.5,44.52,44.3,44.3,1070,0
2014-02-10,21:00:00,44.29,44.39,44.29,44.35,5582,0
2014-02-10,22:00:00,44.36,44.37,44.31,44.36,36650,0
2014-02-11,16:00:00,44.19,44.31,44.18,44.31,1750,0
2014-02-11,17:00:00,44.17,44.19,44.06,44.14,8925,0
2014-02-11,18:00:00,44.38,44.38,44.27,44.35,44682,0
2014-02-11,19:00:00,44.43,44.43,44.38,44.39,1779,0
2014-02-11,20:00:00,44.41,44.45,44.41,44.45,900,0
2014-02-11,21:00:00,44.42,44.48,44.42,44.45,18200,0
2014-02-11,22:00:00,44.46,44.47,44.39,44.43,37990,0
2014-02-12,16:00:00,44.36,44.36,44.3,44.3,786,0
2014-02-12,17:00:00,44.16,44.47,44.16,44.46,8356,0
2014-02-12,18:00:00,44.56,44.56,44.5,44.5,8395,0
2014-02-12,19:00:00,44.32,44.32,44.32,44.32,1100,0
2014-02-12,20:00:00,44.28,44.32,44.24,44.24,4400,0
2014-02-12,21:00:00,44.22,44.23,44.19,44.19,12600,0
2014-02-12,22:00:00,44.22,44.27,44.12,44.12,61092,0
2014-02-13,16:00:00,44.43,44.51,44.36,44.51,5795,0
2014-02-13,17:00:00,44.36,44.54,44.36,44.53,3684,0
2014-02-13,18:00:00,44.56,44.56,44.46,44.46,7194,0
2014-02-13,19:00:00,44.49,44.51,44.45,44.51,4191,0
2014-02-13,20:00:00,44.55,44.58,44.53,44.58,5110,0
2014-02-13,21:00:00,44.55,44.65,44.52,44.58,9710,0
2014-02-13,22:00:00,44.54,44.65,44.5,44.64,43055,0
2014-02-14,16:00:00,44.73,44.75,44.67,44.73,1500,0
2014-02-14,17:00:00,44.72,44.75,44.61,44.61,4164,0
2014-02-14,18:00:00,44.75,44.75,44.75,44.75,500,0
2014-02-14,19:00:00,44.82,44.87,44.8,44.87,1050,0
2014-02-14,20:00:00,44.87,44.87,44.8,44.82,5044,0
2014-02-14,21:00:00,44.8,45,44.77,44.99,33630,0
2014-02-14,22:00:00,44.96,44.97,44.83,44.85,4400,0
2014-02-18,16:00:00,45.03,45.15,45.02,45.13,6400,0
2014-02-18,17:00:00,45.18,45.28,45.01,45.28,14520,0
2014-02-18,18:00:00,45.28,45.43,45.22,45.42,14654,0
2014-02-18,19:00:00,45.37,45.37,45.21,45.3,4775,0
2014-02-18,20:00:00,45.34,45.44,45.34,45.42,9636,0
2014-02-18,21:00:00,45.49,45.65,45.44,45.61,4500,0
2014-02-18,22:00:00,45.63,46.13,45.6,45.61,53926,0
2014-02-19,16:00:00,45.52,45.68,45.52,45.65,1100,0
2014-02-19,17:00:00,45.6,45.65,45.42,45.53,8089,0
2014-02-19,18:00:00,45.53,45.53,45.49,45.49,3900,0
2014-02-19,19:00:00,45.46,45.61,45.46,45.61,21700,0
2014-02-19,20:00:00,45.62,45.62,45.59,45.62,26600,0
2014-02-19,21:00:00,45.79,45.79,45.75,45.79,1836,0
2014-02-19,22:00:00,45.85,45.85,45.71,45.77,7440,0
2014-02-20,16:00:00,45.72,45.8,45.59,45.59,75736,0
2014-02-20,17:00:00,45.63,45.82,45.61,45.8,9315,0
2014-02-20,18:00:00,45.79,45.79,45.71,45.72,8358,0
2014-02-20,19:00:00,45.71,45.82,45.7,45.82,3760,0
2014-02-20,20:00:00,45.83,45.89,45.77,45.83,4800,0
2014-02-20,21:00:00,45.87,46,45.84,46,61466,0
2014-02-20,22:00:00,46,46.02,45.96,45.99,14900,0
2014-02-21,16:00:00,45.76,45.76,45.7,45.75,3800,0
