Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,31.763,31.8528,31.6135,31.783,117595,0
2014-02-10,17:00:00,31.773,31.783,31.5736,31.6434,100575,0
2014-02-10,18:00:00,31.6434,31.6534,31.5337,31.5537,98623,0
2014-02-10,19:00:00,31.5537,31.5636,31.5238,31.5636,47847,0
2014-02-10,20:00:00,31.5636,31.6534,31.5537,31.6534,64267,0
2014-02-10,21:00:00,31.6534,31.783,31.6534,31.7431,109587,0
2014-02-10,22:00:00,31.7331,31.783,31.7331,31.773,90603,0
2014-02-11,16:00:00,31.7929,31.9425,31.7231,31.8428,76646,0
2014-02-11,17:00:00,31.8627,31.9026,31.753,31.7929,229108,0
2014-02-11,18:00:00,31.8029,32.0023,31.773,32.0023,87618,0
2014-02-11,19:00:00,32.0023,32.0721,31.9425,32.0621,38090,0
2014-02-11,20:00:00,32.0821,32.1618,32.0821,32.1319,131868,0
2014-02-11,21:00:00,32.1319,32.1718,32.102,32.1419,65004,0
2014-02-11,22:00:00,32.1419,32.1718,32.0621,32.0821,121201,0
2014-02-12,16:00:00,32.2017,32.4808,32.0821,32.3911,197188,0
2014-02-12,17:00:00,32.411,32.4709,32.1718,32.1917,171281,0
2014-02-12,18:00:00,32.1817,32.2117,32.0721,32.1219,82987,0
2014-02-12,19:00:00,32.1219,32.1817,32.102,32.1618,48761,0
2014-02-12,20:00:00,32.1618,32.2117,32.1319,32.1518,52841,0
2014-02-12,21:00:00,32.1419,32.1518,32.0023,32.0222,49318,0
2014-02-12,22:00:00,32.0322,32.1219,32.0222,32.1219,118382,0
2014-02-13,16:00:00,31.8627,31.9824,31.8029,31.8328,152995,0
2014-02-13,17:00:00,31.8328,31.9325,31.7929,31.8827,96969,0
2014-02-13,18:00:00,31.9126,32.0023,31.8727,31.9524,73561,0
2014-02-13,19:00:00,31.9724,32.0322,31.9624,32.0222,46703,0
2014-02-13,20:00:00,32.0322,32.1319,32.0322,32.1219,44865,0
2014-02-13,21:00:00,32.1319,32.2017,32.092,32.1817,66370,0
2014-02-13,22:00:00,32.1817,32.2216,32.1718,32.2117,98193,0
2014-02-14,16:00:00,32.1817,32.3014,32.1219,32.2615,207127,0
2014-02-14,17:00:00,32.2615,32.3712,32.1618,32.2117,346248,0
2014-02-14,18:00:00,32.2017,32.3014,32.1817,32.2715,101246,0
2014-02-14,19:00:00,32.2715,32.3213,32.2715,32.3114,43010,0
2014-02-14,20:00:00,32.3014,32.3413,32.2814,32.3313,37864,0
2014-02-14,21:00:00,32.3313,32.3712,32.3313,32.3712,64777,0
2014-02-14,22:00:00,32.3512,32.3811,32.3114,32.3612,103679,0
2014-02-18,16:00:00,32.4908,32.5406,32.3911,32.4409,222757,0
2014-02-18,17:00:00,32.411,32.431,32.2515,32.411,116184,0
2014-02-18,18:00:00,32.421,32.5307,32.3911,32.4609,96740,0
2014-02-18,19:00:00,32.4609,32.5207,32.4609,32.4808,40346,0
2014-02-18,20:00:00,32.4908,32.5107,32.3911,32.411,36081,0
2014-02-18,21:00:00,32.411,32.421,32.3811,32.411,23747,0
2014-02-18,22:00:00,32.411,32.4609,32.4011,32.4509,94328,0
2014-02-19,16:00:00,32.2416,32.3213,32.2017,32.2914,141487,0
2014-02-19,17:00:00,32.2814,32.3612,32.2117,32.2715,168277,0
2014-02-19,18:00:00,32.2814,32.2814,32.0422,32.0422,144716,0
2014-02-19,19:00:00,32.0322,32.0721,31.8129,31.9026,126653,0
2014-02-19,20:00:00,31.8926,32.0322,31.8827,31.9225,65998,0
2014-02-19,21:00:00,31.9126,31.9923,31.8528,31.8727,150771,0
2014-02-19,22:00:00,31.8926,31.8926,31.6035,31.6534,726291,0
2014-02-20,16:00:00,31.7331,31.8129,31.4241,31.4241,238365,0
2014-02-20,17:00:00,31.4241,31.7431,31.3742,31.7132,235966,0
2014-02-20,18:00:00,31.7231,31.773,31.6035,31.6334,214190,0
2014-02-20,19:00:00,31.6334,31.7331,31.6234,31.7331,81507,0
2014-02-20,20:00:00,31.7331,31.753,31.7032,31.7032,110735,0
2014-02-20,21:00:00,31.7132,31.7431,31.6932,31.7431,91324,0
2014-02-20,22:00:00,31.7431,31.8029,31.7431,31.7431,145895,0
2014-02-21,16:00:00,31.783,31.8926,31.7431,31.8228,148502,0
2014-02-21,17:00:00,31.8129,31.9126,31.773,31.9026,162794,0
2014-02-21,18:00:00,31.9026,31.9724,31.9026,31.9524,85102,0
2014-02-21,19:00:00,31.9524,32.0123,31.9524,31.9923,76002,0
2014-02-21,20:00:00,32.0023,32.0123,31.9524,31.9824,181074,0
2014-02-21,21:00:00,31.9824,31.9923,31.8428,31.9126,251327,0
2014-02-21,22:00:00,31.9026,31.9524,31.8926,31.9325,268982,0
2014-02-24,16:00:00,32.0322,32.3313,31.9524,32.2615,190496,0
2014-02-24,17:00:00,32.2715,32.3712,32.1219,32.3413,162751,0
2014-02-24,18:00:00,32.3313,32.4808,32.3014,32.4808,156681,0
2014-02-24,19:00:00,32.4808,32.5506,32.4808,32.5307,148034,0
2014-02-24,20:00:00,32.5207,32.5207,32.4409,32.4509,104181,0
2014-02-24,21:00:00,32.4509,32.5008,32.431,32.4908,505941,0
2014-02-24,22:00:00,32.4808,32.5107,32.411,32.411,547746,0
2014-02-25,16:00:00,32.4409,32.4409,32.2615,32.3413,171261,0
