Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,2.41,2.41,2.41,2.41,100,0
2014-02-10,17:00:00,2.47,2.47,2.47,2.47,200,0
2014-02-10,18:00:00,2.49,2.5,2.47,2.49,9170,0
2014-02-10,19:00:00,2.47,2.52,2.4,2.4,10250,0
2014-02-10,20:00:00,2.4,2.43,2.4,2.4,1900,0
2014-02-10,21:00:00,2.42,2.47,2.4,2.43,17452,0
2014-02-10,22:00:00,2.43,2.47,2.43,2.43,7200,0
2014-02-11,16:00:00,2.47,2.47,2.41,2.41,3200,0
2014-02-11,17:00:00,2.46,2.49,2.4,2.41,16234,0
2014-02-11,18:00:00,2.41,2.45,2.4,2.45,6300,0
2014-02-11,19:00:00,2.45,2.48,2.17,2.33,64500,0
2014-02-11,20:00:00,2.4,2.41,2.32,2.4,9694,0
2014-02-11,22:00:00,2.41,2.43,2.41,2.41,18900,0
2014-02-12,16:00:00,2.51,2.51,2.46,2.46,15015,0
2014-02-12,17:00:00,2.47,2.47,2.4,2.4,2900,0
2014-02-12,18:00:00,2.4,2.41,2.37,2.37,17208,0
2014-02-12,19:00:00,2.39,2.39,2.37,2.37,6700,0
2014-02-12,20:00:00,2.38,2.39,2.37,2.37,4050,0
2014-02-12,21:00:00,2.38,2.38,2.35,2.36,12280,0
2014-02-12,22:00:00,2.37,2.37,2.31,2.31,22646,0
2014-02-13,17:00:00,2.37,2.38,2.35,2.35,7636,0
2014-02-13,18:00:00,2.36,2.36,2.25,2.35,26320,0
2014-02-13,19:00:00,2.35,2.35,2.33,2.35,5256,0
2014-02-13,20:00:00,2.35,2.36,2.32,2.32,6800,0
2014-02-13,21:00:00,2.32,2.36,2.31,2.32,3200,0
2014-02-13,22:00:00,2.35,2.35,2.28,2.29,35643,0
2014-02-14,17:00:00,2.34,2.34,2.31,2.31,500,0
2014-02-14,18:00:00,2.3,2.3,2.3,2.3,300,0
2014-02-14,19:00:00,2.32,2.32,2.26,2.26,14400,0
2014-02-14,20:00:00,2.27,2.31,2.27,2.27,1400,0
2014-02-14,21:00:00,2.27,2.27,2.27,2.27,1500,0
2014-02-14,22:00:00,2.27,2.32,2.26,2.26,21444,0
2014-02-18,16:00:00,2.25,2.25,2.25,2.25,100,0
2014-02-18,17:00:00,2.31,2.47,2.31,2.47,29100,0
2014-02-18,18:00:00,2.46,2.5,2.35,2.35,30100,0
2014-02-18,19:00:00,2.4,2.41,2.35,2.41,1100,0
2014-02-18,20:00:00,2.39,2.4,2.27,2.33,24000,0
2014-02-18,21:00:00,2.35,2.4,2.35,2.39,9263,0
2014-02-18,22:00:00,2.4,2.4,2.28,2.35,53950,0
2014-02-19,16:00:00,2.41,2.41,2.38,2.4,15500,0
2014-02-19,17:00:00,2.4,2.49,2.4,2.48,42866,0
2014-02-19,18:00:00,2.48,2.48,2.39,2.39,12850,0
2014-02-19,19:00:00,2.37,2.37,2.36,2.37,800,0
2014-02-19,20:00:00,2.38,2.38,2.38,2.38,427,0
2014-02-19,21:00:00,2.38,2.38,2.38,2.38,1000,0
2014-02-19,22:00:00,2.38,2.49,2.38,2.46,22762,0
2014-02-20,16:00:00,2.44,2.45,2.44,2.45,12000,0
2014-02-20,17:00:00,2.43,2.43,2.36,2.39,4000,0
2014-02-20,18:00:00,2.39,2.4,2.39,2.4,2300,0
2014-02-20,19:00:00,2.4,2.43,2.4,2.42,4800,0
2014-02-20,20:00:00,2.4,2.57,2.4,2.55,191022,0
2014-02-20,21:00:00,2.54,2.56,2.41,2.49,54826,0
2014-02-20,22:00:00,2.5,2.5,2.46,2.49,25463,0
2014-02-21,16:00:00,2.44,2.45,2.19,2.45,39557,0
2014-02-21,17:00:00,2.44,2.44,2.43,2.44,3544,0
2014-02-21,18:00:00,2.43,2.43,2.36,2.39,18527,0
2014-02-21,19:00:00,2.41,2.41,2.37,2.37,1700,0
2014-02-21,20:00:00,2.39,2.42,2.39,2.4,5869,0
2014-02-21,21:00:00,2.37,2.38,2.35,2.35,8075,0
2014-02-21,22:00:00,2.35,2.36,2.32,2.35,8699,0
