Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,19:00:00,33.43,33.43,33.43,33.43,101,0
2014-02-11,20:00:00,33.805,33.805,33.805,33.805,202,0
2014-02-11,21:00:00,33.677,33.677,33.677,33.677,202,0
2014-02-13,19:00:00,34.063,34.063,34.043,34.043,7302,0
2014-02-14,16:00:00,33.904,33.924,33.904,33.924,880,0
2014-02-14,19:00:00,33.885,33.885,33.885,33.885,113,0
2014-02-18,16:00:00,33.835,33.835,33.835,33.835,202,0
2014-02-18,17:00:00,34.072,34.072,34.072,34.072,1865,0
2014-02-18,18:00:00,34.072,34.072,34.072,34.072,885,0
2014-02-18,19:00:00,34.043,34.043,34.043,34.043,1696,0
2014-02-20,16:00:00,33.608,33.608,33.608,33.608,303,0
2014-02-20,20:00:00,33.449,33.449,33.449,33.449,303,0
2014-02-21,19:00:00,33.449,33.449,33.449,33.449,202,0
2014-03-05,17:00:00,33.756,33.756,33.736,33.736,506,0
2014-03-05,18:00:00,33.786,33.786,33.786,33.786,101,0
2014-03-05,22:00:00,33.786,33.796,33.786,33.796,647,0
2014-03-06,22:00:00,33.746,33.746,33.746,33.746,101,0
2014-03-07,21:00:00,33.618,33.618,33.618,33.618,202,0
2014-03-11,21:00:00,33.499,33.499,33.499,33.499,405,0
2014-03-12,20:00:00,33.351,33.351,33.351,33.351,2697,0
2014-03-13,21:00:00,33.311,33.311,33.311,33.311,910,0
2014-03-14,15:00:00,33.311,33.489,33.311,33.311,506,0
2014-03-19,16:00:00,33.786,33.786,33.786,33.786,607,0
2014-03-20,16:00:00,33.499,33.499,33.499,33.499,303,0
2014-03-21,19:00:00,33.716,33.716,33.716,33.716,1669,0
2014-03-24,21:00:00,33.489,33.489,33.489,33.489,104,0
2014-03-26,16:00:00,33.558,33.558,33.558,33.558,235,0
2014-03-26,19:00:00,33.558,33.558,33.558,33.558,101,0
2014-03-31,22:00:00,34.023,34.023,34.023,34.023,101,0
2014-04-03,17:00:00,34.478,34.478,34.478,34.478,303,0
2014-04-04,19:00:00,34.735,34.735,34.735,34.735,341,0
2014-04-08,19:00:00,34.507,34.507,34.507,34.507,5022,0
2014-04-08,22:00:00,34.468,34.468,34.468,34.468,101,0
2014-04-09,16:00:00,32.69,32.69,32.69,32.69,400,0
2014-04-10,16:00:00,37.87,37.87,34.77,34.78,1360,0
2014-04-10,18:00:00,34.85,34.85,34.85,34.85,200,0
2014-04-14,19:00:00,34.88,34.88,34.88,34.88,800,0
2014-04-15,17:00:00,34.8,34.8,34.79,34.79,500,0
2014-04-16,19:00:00,35,35.15,35,35.15,2500,0
2014-04-21,16:00:00,35.28,35.28,35.25,35.25,968,0
2014-04-21,20:00:00,35.32,35.32,35.32,35.32,169,0
2014-04-21,22:00:00,35.39,35.39,35.39,35.39,1660,0
2014-04-22,21:00:00,35.36,35.37,35.35,35.37,836,0
2014-04-23,21:00:00,35.33,35.33,35.33,35.33,200,0
2014-04-24,19:00:00,35.13,35.13,35.13,35.13,729,0
2014-04-25,17:00:00,34.8,34.8,34.8,34.8,160,0
2014-04-28,19:00:00,35.05,35.05,35.01,35.01,800,0
2014-04-29,19:00:00,35.33,35.33,35.33,35.33,150,0
2014-04-30,22:00:00,35.26,35.26,35.26,35.26,921,0
2014-05-07,19:00:00,36.23,36.23,36.23,36.23,1782,0
