Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,52.207,52.307,52.207,52.307,1226,0
2014-02-10,18:00:00,52.287,52.287,52.287,52.287,762,0
2014-02-10,19:00:00,52.217,52.287,52.207,52.287,2412,0
2014-02-10,20:00:00,52.197,52.197,52.197,52.197,1847,0
2014-02-10,21:00:00,52.177,52.177,52.177,52.177,787,0
2014-02-10,22:00:00,52.187,52.277,52.187,52.277,1100,0
2014-02-11,16:00:00,52.287,52.287,52.277,52.277,3918,0
2014-02-11,17:00:00,52.307,52.307,52.257,52.257,517,0
2014-02-11,18:00:00,52.227,52.277,52.227,52.277,2112,0
2014-02-11,19:00:00,52.227,52.277,52.227,52.277,1072,0
2014-02-11,20:00:00,52.277,52.287,52.207,52.207,8448,0
2014-02-11,21:00:00,52.227,52.227,52.227,52.227,1628,0
2014-02-11,22:00:00,52.237,52.317,52.227,52.247,17714,0
2014-02-12,16:00:00,52.207,52.356,52.207,52.307,1337,0
2014-02-12,17:00:00,52.287,52.327,52.227,52.227,13747,0
2014-02-12,18:00:00,52.187,52.297,52.187,52.297,15558,0
2014-02-12,19:00:00,52.197,52.197,52.197,52.197,675,0
2014-02-12,20:00:00,52.197,52.197,52.197,52.197,903,0
2014-02-12,21:00:00,52.187,52.187,52.187,52.187,100,0
2014-02-12,22:00:00,52.217,52.227,52.217,52.227,1534,0
2014-02-13,16:00:00,52.247,52.257,52.207,52.207,15736,0
2014-02-13,17:00:00,52.257,52.257,52.217,52.217,1019,0
2014-02-13,18:00:00,52.247,52.247,52.247,52.247,943,0
2014-02-13,19:00:00,52.257,52.257,52.247,52.247,3289,0
2014-02-13,20:00:00,52.247,52.297,52.237,52.297,4882,0
2014-02-13,21:00:00,52.237,52.267,52.237,52.267,597,0
2014-02-13,22:00:00,52.227,52.227,52.227,52.227,1174,0
2014-02-14,16:00:00,52.317,52.317,52.317,52.317,300,0
2014-02-14,17:00:00,52.257,52.257,52.237,52.237,1403,0
2014-02-14,18:00:00,52.237,52.277,52.237,52.247,3044,0
2014-02-14,20:00:00,52.257,52.327,52.247,52.307,3944,0
2014-02-14,21:00:00,52.237,52.237,52.237,52.237,1709,0
2014-02-14,22:00:00,52.247,52.267,52.247,52.247,2253,0
2014-02-18,16:00:00,52.267,52.267,52.267,52.267,575,0
2014-02-18,17:00:00,52.336,52.366,52.327,52.336,3570,0
2014-02-18,18:00:00,52.336,52.346,52.336,52.346,2655,0
2014-02-18,19:00:00,52.346,52.346,52.297,52.307,2900,0
2014-02-18,20:00:00,52.336,52.336,52.336,52.336,3867,0
2014-02-18,21:00:00,52.297,52.317,52.297,52.297,2053,0
2014-02-18,22:00:00,52.317,52.346,52.297,52.346,6292,0
2014-02-19,16:00:00,52.376,52.376,52.336,52.346,1629,0
2014-02-19,17:00:00,52.327,52.336,52.327,52.327,5890,0
2014-02-19,18:00:00,52.307,52.356,52.307,52.336,2426,0
2014-02-19,19:00:00,52.336,52.376,52.336,52.336,15275,0
2014-02-19,20:00:00,52.356,52.356,52.356,52.356,1104,0
2014-02-19,21:00:00,52.327,52.327,52.307,52.307,2209,0
2014-02-19,22:00:00,52.287,52.366,52.287,52.366,3339,0
2014-02-20,16:00:00,52.327,52.366,52.327,52.366,351,0
2014-02-20,17:00:00,52.416,52.416,52.287,52.287,6514,0
2014-02-20,18:00:00,52.317,52.317,52.307,52.307,200,0
2014-02-20,19:00:00,52.297,52.297,52.297,52.297,2886,0
2014-02-20,20:00:00,52.346,52.346,52.336,52.336,4393,0
2014-02-20,21:00:00,52.346,52.346,52.307,52.327,3866,0
2014-02-20,22:00:00,52.346,52.346,52.346,52.346,712,0
