Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,13.709,13.709,13.709,13.709,406,0
2014-02-10,17:00:00,13.69,13.7,13.621,13.621,2434,0
2014-02-10,19:00:00,13.581,13.581,13.581,13.581,1015,0
2014-02-10,22:00:00,13.7,13.7,13.7,13.7,202,0
2014-02-11,16:00:00,13.798,13.828,13.798,13.808,2028,0
2014-02-11,17:00:00,13.798,13.828,13.798,13.828,1622,0
2014-02-11,19:00:00,13.828,13.838,13.828,13.838,648,0
2014-02-11,21:00:00,13.877,13.877,13.877,13.877,505,0
2014-02-11,22:00:00,13.936,14.143,13.936,14.143,4624,0
2014-02-12,17:00:00,14.182,14.192,14.182,14.192,2928,0
2014-02-12,22:00:00,14.103,14.113,14.053,14.093,3332,0
2014-02-13,17:00:00,14.024,14.024,14.024,14.024,1010,0
2014-02-13,19:00:00,14.044,14.053,14.044,14.053,202,0
2014-02-13,20:00:00,14.063,14.063,14.063,14.063,1010,0
2014-02-13,22:00:00,14.063,14.063,14.014,14.014,706,0
2014-02-14,21:00:00,14.034,14.034,14.014,14.014,616,0
2014-02-18,16:00:00,14.014,14.014,14.014,14.014,404,0
2014-02-18,17:00:00,14.014,14.014,14.014,14.014,1414,0
2014-02-18,18:00:00,14.044,14.083,14.044,14.083,1818,0
2014-02-18,19:00:00,14.063,14.063,14.063,14.063,2347,0
2014-02-18,20:00:00,14.093,14.093,14.093,14.093,202,0
2014-02-18,22:00:00,13.964,13.984,13.964,13.984,2211,0
2014-02-19,16:00:00,14.063,14.063,14.063,14.063,1389,0
2014-02-19,17:00:00,14.053,14.053,14.014,14.014,504,0
2014-02-19,18:00:00,13.984,13.984,13.964,13.964,546,0
2014-02-20,17:00:00,13.974,13.974,13.974,13.974,2090,0
2014-02-20,19:00:00,13.974,13.974,13.974,13.974,404,0
2014-02-20,20:00:00,13.954,13.954,13.865,13.865,6072,0
2014-02-20,22:00:00,13.905,14.073,13.905,14.073,1010,0
2014-02-21,18:00:00,13.964,13.964,13.935,13.935,1051,0
2014-02-21,20:00:00,13.935,13.935,13.845,13.855,4034,0
2014-02-21,21:00:00,13.855,13.885,13.845,13.885,2093,0
2014-02-21,22:00:00,13.845,13.855,13.845,13.855,706,0
2014-02-24,17:00:00,13.875,13.885,13.865,13.885,1343,0
2014-02-24,18:00:00,13.875,13.875,13.875,13.875,202,0
2014-02-24,20:00:00,13.865,13.885,13.865,13.885,908,0
2014-02-24,22:00:00,13.865,13.865,13.865,13.865,202,0
2014-02-25,17:00:00,13.865,13.865,13.865,13.865,5654,0
2014-02-26,18:00:00,13.865,13.865,13.865,13.865,364,0
2014-02-26,19:00:00,13.865,13.865,13.865,13.865,1868,0
2014-02-26,20:00:00,13.865,13.865,13.865,13.865,662,0
2014-02-27,16:00:00,13.964,13.964,13.885,13.885,1261,0
2014-02-27,20:00:00,13.885,13.885,13.885,13.885,404,0
2014-02-27,22:00:00,13.915,13.984,13.915,13.984,7724,0
2014-02-28,17:00:00,14.014,14.014,14.014,14.014,552,0
2014-02-28,22:00:00,14.044,14.053,14.044,14.044,302,0
2014-03-03,16:00:00,14.093,14.093,14.044,14.044,1730,0
2014-03-03,17:00:00,14.063,14.073,14.053,14.073,6260,0
2014-03-03,20:00:00,14.053,14.053,14.044,14.044,6008,0
2014-03-03,21:00:00,14.044,14.044,14.044,14.044,4544,0
2014-03-03,22:00:00,14.034,14.034,14.034,14.034,4055,0
2014-03-04,16:00:00,14.073,14.222,14.073,14.113,3332,0
2014-03-04,17:00:00,14.113,14.113,14.093,14.093,3433,0
2014-03-04,18:00:00,14.202,14.202,14.202,14.202,382,0
2014-03-04,19:00:00,14.202,14.222,14.103,14.192,3938,0
2014-03-05,16:00:00,14.242,14.242,14.242,14.242,504,0
2014-03-05,19:00:00,14.222,14.242,14.222,14.242,2120,0
2014-03-07,16:00:00,14.113,14.113,14.103,14.103,706,0
2014-03-07,17:00:00,14.053,14.063,14.034,14.063,2424,0
2014-03-07,20:00:00,14.004,14.034,14.004,14.034,1868,0
2014-03-07,21:00:00,14.014,14.014,14.014,14.014,137,0
2014-03-10,17:00:00,14.014,14.014,13.964,13.964,359,0
2014-03-10,19:00:00,14.133,14.133,14.133,14.133,706,0
2014-03-10,20:00:00,14.271,14.271,14.271,14.271,1110,0
2014-03-10,21:00:00,14.212,14.261,14.212,14.261,1312,0
2014-03-11,19:00:00,14.024,14.024,14.024,14.024,201,0
2014-03-11,21:00:00,14.093,14.093,14.093,14.093,100,0
2014-03-13,20:00:00,14.073,14.073,14.073,14.073,939,0
2014-03-13,21:00:00,14.043,14.053,14.003,14.003,4791,0
2014-03-14,15:00:00,14.162,14.162,14.162,14.162,370,0
2014-03-14,20:00:00,14.192,14.192,14.192,14.192,301,0
2014-03-14,21:00:00,14.182,14.182,14.182,14.182,100,0
2014-03-17,17:00:00,14.252,14.262,14.252,14.262,703,0
2014-03-17,18:00:00,14.232,14.312,14.232,14.232,603,0
2014-03-17,19:00:00,14.312,14.312,14.312,14.312,402,0
2014-03-17,20:00:00,14.321,14.321,14.232,14.321,1909,0
2014-03-17,21:00:00,14.321,14.321,14.312,14.321,904,0
2014-03-18,17:00:00,14.321,14.321,14.321,14.321,251,0
2014-03-19,20:00:00,14.321,14.321,14.321,14.321,1005,0
2014-03-19,21:00:00,14.162,14.182,14.162,14.162,1869,0
2014-03-20,19:00:00,14.112,14.122,14.112,14.122,1156,0
2014-03-21,15:00:00,14.122,14.132,14.122,14.132,2440,0
2014-03-21,18:00:00,14.013,14.112,13.943,13.943,4103,0
2014-03-21,19:00:00,13.983,13.983,13.983,13.983,115,0
2014-03-21,21:00:00,13.983,13.983,13.983,13.983,100,0
2014-03-24,16:00:00,14.013,14.013,14.013,14.013,703,0
2014-03-24,17:00:00,14.023,14.023,14.023,14.023,131,0
2014-03-24,19:00:00,14.043,14.073,14.033,14.073,7872,0
2014-03-24,20:00:00,14.122,14.132,14.122,14.132,4599,0
2014-03-24,21:00:00,14.073,14.073,13.973,13.973,5589,0
2014-03-26,17:00:00,14.023,14.023,14.023,14.023,401,0
2014-03-26,19:00:00,14.053,14.083,14.053,14.053,1391,0
2014-03-26,20:00:00,14.073,14.073,14.073,14.073,754,0
2014-03-26,21:00:00,14.063,14.063,14.063,14.063,100,0
2014-03-27,15:00:00,14.122,14.122,14.122,14.122,188,0
2014-03-27,16:00:00,14.063,14.063,13.983,13.983,6224,0
2014-03-27,18:00:00,14.013,14.073,13.993,14.073,1649,0
2014-03-27,19:00:00,14.083,14.083,14.083,14.083,200,0
2014-03-27,21:00:00,14.003,14.003,14.003,14.003,100,0
2014-03-28,18:00:00,13.993,13.993,13.993,13.993,1808,0
2014-04-01,16:00:00,14.093,14.093,14.093,14.093,100,0
2014-04-01,17:00:00,14.103,14.112,14.103,14.112,700,0
2014-04-01,18:00:00,14.122,14.132,14.112,14.122,11533,0
2014-04-01,19:00:00,14.122,14.192,14.103,14.152,5826,0
2014-04-01,20:00:00,14.202,14.202,14.202,14.202,879,0
2014-04-01,22:00:00,14.142,14.142,14.142,14.142,100,0
2014-04-02,17:00:00,14.411,14.411,14.232,14.232,3611,0
2014-04-02,20:00:00,14.232,14.232,14.232,14.232,2008,0
2014-04-03,21:00:00,14.371,14.371,14.262,14.312,1876,0
2014-04-04,19:00:00,14.341,14.341,14.341,14.341,4020,0
2014-04-04,21:00:00,14.361,14.371,14.351,14.351,700,0
2014-04-07,18:00:00,14.381,14.64,14.381,14.64,5035,0
2014-04-07,21:00:00,14.361,14.361,14.321,14.321,528,0
2014-04-08,17:00:00,14.252,14.282,14.252,14.282,500,0
2014-04-08,21:00:00,14.232,14.272,14.232,14.272,1004,0
2014-04-08,22:00:00,14.62,14.62,14.53,14.61,2112,0
2014-04-09,16:00:00,14.6,14.61,14.6,14.61,301,0
2014-04-09,17:00:00,14.61,14.968,14.61,14.929,7073,0
2014-04-09,20:00:00,14.73,14.73,14.73,14.73,1506,0
2014-04-09,21:00:00,14.68,14.68,14.65,14.67,2008,0
2014-04-09,22:00:00,14.54,14.67,14.54,14.63,5929,0
2014-04-10,22:00:00,14.491,14.59,14.481,14.53,4214,0
2014-04-11,17:00:00,14.6,14.6,14.41,14.41,700,0
2014-04-11,18:00:00,14.57,15.32,14.57,15.32,1200,0
2014-04-11,19:00:00,14.42,14.69,14.42,14.69,3346,0
2014-04-11,22:00:00,14.49,14.49,14.49,14.49,900,0
2014-04-14,16:00:00,14.35,14.37,14.35,14.37,700,0
2014-04-14,22:00:00,14.43,14.43,14.43,14.43,100,0
2014-04-15,18:00:00,14.35,14.35,14.35,14.35,400,0
2014-04-15,21:00:00,14.4,14.4,14.39,14.4,1100,0
2014-04-15,22:00:00,14.36,14.36,14.36,14.36,100,0
2014-04-16,17:00:00,14.4,14.4,14.4,14.4,1000,0
2014-04-16,18:00:00,14.39,14.7,14.35,14.7,3601,0
2014-04-16,19:00:00,14.51,14.51,14.35,14.35,1900,0
2014-04-16,21:00:00,14.99,14.99,14.99,14.99,100,0
2014-04-16,22:00:00,14.98,14.98,14.35,14.35,674,0
2014-04-17,20:00:00,14.35,14.64,14.35,14.36,3143,0
2014-04-21,17:00:00,14.57,14.57,14.57,14.57,200,0
2014-04-21,22:00:00,14.57,14.57,14.57,14.57,100,0
2014-04-22,17:00:00,14.42,14.56,14.42,14.56,700,0
2014-04-22,18:00:00,14.6,14.6,14.6,14.6,2000,0
2014-04-22,22:00:00,14.45,14.45,14.44,14.44,200,0
2014-04-23,19:00:00,14.6,14.6,14.6,14.6,2120,0
2014-04-23,20:00:00,14.88,14.88,14.88,14.88,341,0
2014-04-23,21:00:00,14.84,14.84,14.84,14.84,1674,0
2014-04-23,22:00:00,14.75,14.75,14.75,14.75,900,0
2014-04-24,16:00:00,15,15,15,15,414,0
2014-04-24,20:00:00,14.99,14.99,14.89,14.99,4880,0
2014-04-24,21:00:00,14.91,14.91,14.91,14.91,400,0
2014-04-24,22:00:00,14.98,14.98,14.89,14.91,5200,0
2014-04-25,18:00:00,14.83,14.83,14.8,14.83,1675,0
2014-04-25,19:00:00,14.8,14.8,14.8,14.8,150,0
2014-04-25,20:00:00,14.8,14.8,14.8,14.8,200,0
2014-04-25,21:00:00,14.8,14.8,14.78,14.8,2550,0
2014-04-28,16:00:00,14.98,14.98,14.98,14.98,100,0
2014-04-28,18:00:00,14.88,14.88,14.76,14.79,744,0
2014-04-28,19:00:00,14.94,14.94,14.76,14.89,500,0
2014-04-28,21:00:00,14.85,14.85,14.85,14.85,633,0
2014-04-28,22:00:00,14.85,14.85,14.85,14.85,100,0
2014-04-29,20:00:00,14.86,14.86,14.86,14.86,500,0
2014-04-29,21:00:00,14.9,14.9,14.9,14.9,200,0
2014-04-29,22:00:00,14.89,14.89,14.86,14.86,2288,0
2014-04-30,16:00:00,14.84,15,14.84,14.95,2327,0
2014-04-30,17:00:00,14.95,15.33,14.95,15.1,4558,0
2014-04-30,18:00:00,15.1,15.14,15.1,15.1,700,0
2014-04-30,19:00:00,15.1,15.14,15.07,15.1,2301,0
2014-04-30,20:00:00,15.05,15.06,15.01,15.06,406,0
2014-04-30,21:00:00,15.02,15.07,15.02,15.07,2200,0
2014-04-30,22:00:00,15.06,15.12,15.02,15.07,7007,0
2014-05-01,16:00:00,15.91,15.91,14.9,15.18,4172,0
2014-05-01,17:00:00,15.27,15.27,15.27,15.27,768,0
2014-05-01,18:00:00,15.25,16.52,15.24,15.93,9504,0
2014-05-01,19:00:00,15.15,15.57,15.15,15.49,2268,0
2014-05-01,22:00:00,15.28,15.48,15.18,15.18,1024,0
2014-05-02,16:00:00,15.38,15.38,15.26,15.33,6560,0
2014-05-02,17:00:00,15.35,15.59,15.35,15.59,4658,0
2014-05-02,18:00:00,15.43,15.56,15.41,15.41,10587,0
2014-05-02,19:00:00,15.58,15.59,15.58,15.58,1296,0
2014-05-02,20:00:00,15.5,15.5,15.41,15.49,18552,0
2014-05-02,21:00:00,15.49,15.49,15.49,15.49,1300,0
2014-05-02,22:00:00,15.45,15.45,15.45,15.45,3128,0
2014-05-05,16:00:00,15.7,15.7,15.6,15.6,400,0
2014-05-05,18:00:00,15.7,15.7,15.7,15.7,300,0
2014-05-05,20:00:00,15.63,15.66,15.63,15.66,1033,0
2014-05-05,21:00:00,15.66,15.66,15.66,15.66,200,0
2014-05-05,22:00:00,15.6,15.6,15.6,15.6,201,0
2014-05-06,17:00:00,15.75,15.91,15.75,15.91,530,0
2014-05-06,18:00:00,15.71,15.9,15.7,15.9,2500,0
2014-05-06,19:00:00,15.9,15.91,15.76,15.76,4944,0
2014-05-06,20:00:00,15.89,15.9,15.89,15.9,700,0
2014-05-07,16:00:00,15.89,15.9,15.89,15.9,2654,0
2014-05-07,17:00:00,15.9,16.22,15.9,16.1,9724,0
2014-05-07,18:00:00,16.14,16.14,16.14,16.14,600,0
2014-05-07,19:00:00,16.05,16.05,16.05,16.05,700,0
2014-05-07,20:00:00,16.14,16.14,15.98,15.98,4872,0
2014-05-07,21:00:00,15.94,16.02,15.94,16.02,1547,0
2014-05-07,22:00:00,16.1,16.1,16.05,16.05,1900,0
