Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,45.02,45.11,45.01,45.11,4322,0
2014-02-10,17:00:00,45.07,45.07,44.96,45.01,3795,0
2014-02-10,18:00:00,45,45.15,44.97,45.14,20528,0
2014-02-10,19:00:00,45.14,45.16,45.11,45.15,26792,0
2014-02-10,20:00:00,45.14,45.19,45.13,45.19,40332,0
2014-02-10,21:00:00,45.19,45.26,45.17,45.2,33079,0
2014-02-10,22:00:00,45.22,45.23,45.15,45.21,41497,0
2014-02-11,16:00:00,45.4,45.47,45.36,45.38,4400,0
2014-02-11,17:00:00,45.4,45.48,45.39,45.39,2936,0
2014-02-11,18:00:00,45.41,45.55,45.36,45.55,4537,0
2014-02-11,19:00:00,45.55,45.61,45.55,45.58,4449,0
2014-02-11,20:00:00,45.65,45.68,45.65,45.66,2440,0
2014-02-11,21:00:00,45.64,45.69,45.64,45.69,3860,0
2014-02-11,22:00:00,45.74,45.74,45.66,45.66,8560,0
2014-02-12,16:00:00,45.84,45.95,45.84,45.95,2292,0
2014-02-12,17:00:00,45.86,45.87,45.8,45.8,617,0
2014-02-12,18:00:00,45.78,45.78,45.67,45.67,1000,0
2014-02-12,19:00:00,45.77,45.78,45.77,45.78,475,0
2014-02-12,20:00:00,45.82,45.88,45.82,45.84,1827,0
2014-02-12,21:00:00,45.81,45.84,45.78,45.78,1500,0
2014-02-12,22:00:00,45.77,45.85,45.76,45.85,6860,0
2014-02-13,16:00:00,45.56,45.57,45.55,45.55,14797,0
2014-02-13,17:00:00,45.78,45.83,45.78,45.83,3369,0
2014-02-13,18:00:00,45.85,45.98,45.85,45.93,2547,0
2014-02-13,19:00:00,46.03,46.03,46.03,46.03,860,0
2014-02-13,20:00:00,46.12,46.13,46.11,46.13,1934,0
2014-02-13,21:00:00,46.19,46.2,46.16,46.2,5292,0
2014-02-13,22:00:00,46.18,46.18,46.14,46.16,2760,0
2014-02-14,17:00:00,46.26,46.32,46.26,46.26,2480,0
2014-02-14,18:00:00,46.27,46.27,46.25,46.25,514,0
2014-02-14,19:00:00,46.23,46.26,46.23,46.25,4170,0
2014-02-14,20:00:00,46.33,46.36,46.33,46.36,8440,0
2014-02-14,21:00:00,46.36,46.38,46.33,46.38,9366,0
2014-02-14,22:00:00,46.38,46.39,46.33,46.39,14567,0
2014-02-18,16:00:00,46.58,46.64,46.58,46.64,1080,0
2014-02-18,17:00:00,46.61,46.76,46.61,46.76,2112,0
2014-02-18,18:00:00,46.95,46.96,46.88,46.96,1792,0
2014-02-18,19:00:00,46.94,46.94,46.9,46.91,2028,0
2014-02-18,20:00:00,46.89,46.89,46.83,46.83,4049,0
2014-02-18,21:00:00,46.87,46.95,46.85,46.91,23966,0
2014-02-18,22:00:00,46.9,46.95,46.89,46.9,7443,0
2014-02-19,16:00:00,46.86,46.89,46.82,46.89,792,0
2014-02-19,17:00:00,46.91,46.91,46.91,46.91,1566,0
2014-02-19,18:00:00,47,47.04,46.91,46.91,7567,0
2014-02-19,19:00:00,46.88,46.88,46.74,46.82,8789,0
2014-02-19,20:00:00,46.86,46.86,46.86,46.86,200,0
2014-02-19,21:00:00,46.82,46.96,46.8,46.81,9211,0
2014-02-19,22:00:00,46.83,46.84,46.55,46.55,2555,0
2014-02-20,16:00:00,46.81,46.82,46.81,46.82,2100,0
2014-02-20,17:00:00,46.6,46.73,46.6,46.73,3200,0
2014-02-20,18:00:00,46.83,46.83,46.8,46.81,2458,0
2014-02-20,19:00:00,46.76,46.82,46.76,46.82,3184,0
2014-02-20,20:00:00,46.88,46.88,46.85,46.88,3958,0
2014-02-20,21:00:00,46.88,46.97,46.88,46.97,1827,0
2014-02-20,22:00:00,46.95,47,46.95,47,2020,0
2014-02-21,16:00:00,47.03,47.03,47.03,47.03,200,0
2014-02-21,17:00:00,47.03,47.06,47.03,47.06,723,0
2014-02-21,18:00:00,47.01,47.1,47.01,47.1,3624,0
2014-02-21,19:00:00,47.08,47.1,47.05,47.05,1193,0
2014-02-21,20:00:00,47.09,47.09,47.08,47.08,802,0
2014-02-21,21:00:00,47.11,47.11,47.08,47.09,4765,0
2014-02-21,22:00:00,47.08,47.08,46.99,47.02,4619,0
2014-02-24,16:00:00,47.06,47.06,47.06,47.06,600,0
2014-02-24,17:00:00,47.22,47.31,47.19,47.31,2366,0
2014-02-24,18:00:00,47.28,47.38,47.28,47.38,5661,0
2014-02-24,20:00:00,47.37,47.37,47.32,47.32,1662,0
2014-02-24,21:00:00,47.37,47.38,47.34,47.35,6772,0
2014-02-24,22:00:00,47.29,47.29,47.23,47.23,10915,0
2014-02-25,16:00:00,46.51,47.21,46.5,47.1,47067,0
2014-02-25,17:00:00,47.01,47.02,47,47,14500,0
2014-02-25,18:00:00,47.2,47.25,47.18,47.18,2492,0
2014-02-25,19:00:00,47.09,47.1,47.05,47.06,1764,0
2014-02-25,20:00:00,47.14,47.17,47.06,47.09,5173,0
2014-02-25,21:00:00,47.07,47.08,47,47.04,8714,0
2014-02-25,22:00:00,47.02,47.02,46.95,46.99,11600,0
2014-02-26,17:00:00,47.32,47.32,47.32,47.32,700,0
2014-02-26,19:00:00,47.33,47.4,47.33,47.4,23291,0
2014-02-26,20:00:00,47.38,47.38,47.38,47.38,2400,0
2014-02-26,21:00:00,47.2,47.2,47.14,47.19,14797,0
2014-02-26,22:00:00,47.21,47.24,47.15,47.22,3833,0
2014-02-27,16:00:00,47.22,47.22,47.14,47.14,2570,0
2014-02-27,17:00:00,47.18,47.22,47.01,47.2,4820,0
2014-02-27,18:00:00,47.25,47.28,47.25,47.27,1104,0
2014-02-27,19:00:00,47.31,47.31,47.25,47.25,4174,0
2014-02-27,20:00:00,47.34,47.34,47.34,47.34,300,0
2014-02-27,21:00:00,47.36,47.37,47.29,47.29,4867,0
2014-02-27,22:00:00,47.31,47.43,47.29,47.43,3448,0
2014-02-28,16:00:00,47.52,47.52,47.52,47.52,570,0
2014-02-28,17:00:00,47.53,47.54,47.46,47.48,5458,0
2014-02-28,18:00:00,47.5,47.5,47.5,47.5,1000,0
2014-02-28,19:00:00,47.51,47.53,47.5,47.5,2063,0
2014-02-28,20:00:00,47.57,47.57,47.52,47.52,883,0
2014-02-28,21:00:00,47.47,47.47,47.28,47.28,9539,0
2014-02-28,22:00:00,47.08,47.28,47.05,47.28,3346,0
2014-03-03,16:00:00,46.74,47.02,46.73,47.02,1035,0
2014-03-03,17:00:00,47,47,46.89,46.89,3056,0
2014-03-03,18:00:00,46.78,46.78,46.78,46.78,212,0
2014-03-03,19:00:00,46.71,46.79,46.71,46.79,1155,0
2014-03-03,20:00:00,46.95,47.01,46.95,47.01,1030,0
2014-03-03,21:00:00,47.07,47.1,46.99,47.1,6903,0
2014-03-03,22:00:00,47.06,47.06,46.94,46.99,6219,0
2014-03-04,16:00:00,47.3,47.67,47.3,47.67,3496,0
2014-03-04,18:00:00,47.76,47.76,47.74,47.74,3752,0
2014-03-04,19:00:00,47.8,47.8,47.76,47.79,2758,0
2014-03-04,20:00:00,47.82,47.82,47.76,47.76,707,0
2014-03-04,21:00:00,47.73,47.78,47.71,47.74,3197,0
2014-03-04,22:00:00,47.81,47.9,47.81,47.83,4915,0
2014-03-05,16:00:00,47.88,47.94,47.86,47.86,3576,0
2014-03-05,17:00:00,47.92,47.98,47.88,47.93,6982,0
2014-03-05,18:00:00,47.99,48,47.9,47.95,12600,0
2014-03-05,19:00:00,47.95,48.03,47.94,48.01,9600,0
2014-03-05,20:00:00,48,48.07,47.98,47.99,13162,0
2014-03-05,21:00:00,48,48.04,47.98,48,18371,0
2014-03-05,22:00:00,48.01,48.12,47.95,48.12,12872,0
2014-03-06,16:00:00,48.16,48.16,48.1,48.14,2900,0
2014-03-06,17:00:00,48.14,48.14,48.04,48.13,9649,0
2014-03-06,18:00:00,48.14,48.19,48.14,48.19,1274,0
2014-03-06,19:00:00,48.17,48.18,48.17,48.18,1200,0
2014-03-06,20:00:00,48.18,48.18,48.02,48.02,2672,0
2014-03-06,21:00:00,48.07,48.07,48.03,48.04,3700,0
2014-03-06,22:00:00,48.09,48.09,48.02,48.07,2848,0
2014-03-07,16:00:00,47.98,47.98,47.86,47.86,842,0
2014-03-07,17:00:00,48.01,48.02,47.96,47.96,1668,0
2014-03-07,19:00:00,47.94,47.97,47.94,47.97,3308,0
2014-03-07,20:00:00,47.86,47.86,47.86,47.86,1100,0
2014-03-07,21:00:00,47.91,47.91,47.89,47.91,4760,0
2014-03-07,22:00:00,47.99,48,47.91,47.98,3158,0
2014-03-10,16:00:00,47.82,47.82,47.67,47.67,2260,0
2014-03-10,18:00:00,47.8,47.8,47.74,47.78,2689,0
2014-03-10,19:00:00,47.69,47.69,47.69,47.69,476,0
2014-03-10,20:00:00,47.77,47.79,47.77,47.79,8076,0
2014-03-10,21:00:00,47.82,47.87,47.82,47.87,1495,0
2014-03-11,15:00:00,47.98,47.98,47.98,47.98,900,0
2014-03-11,16:00:00,47.92,48.06,47.92,48.06,1290,0
2014-03-11,17:00:00,48.05,48.05,47.98,47.98,1472,0
2014-03-11,18:00:00,47.83,47.85,47.7,47.85,13883,0
2014-03-11,19:00:00,47.76,47.81,47.76,47.81,3310,0
2014-03-11,20:00:00,47.82,47.82,47.59,47.61,3948,0
2014-03-11,21:00:00,47.56,47.66,47.52,47.66,3856,0
2014-03-12,15:00:00,47.45,47.45,47.38,47.38,334,0
2014-03-12,16:00:00,47.55,47.8,47.55,47.8,1419,0
2014-03-12,17:00:00,47.77,47.87,47.74,47.74,2563,0
2014-03-12,18:00:00,47.69,47.77,47.69,47.77,4477,0
2014-03-12,19:00:00,47.82,47.82,47.75,47.75,6971,0
2014-03-12,20:00:00,47.75,47.76,47.74,47.74,23385,0
2014-03-12,21:00:00,47.74,47.83,47.74,47.83,1098,0
2014-03-13,15:00:00,47.92,47.92,47.92,47.92,480,0
2014-03-13,16:00:00,47.85,47.85,47.85,47.85,1750,0
2014-03-13,18:00:00,47.7,47.7,47.42,47.45,1487,0
2014-03-13,19:00:00,47.29,47.39,47.29,47.32,1497,0
2014-03-13,20:00:00,47.34,47.34,47.34,47.34,3376,0
2014-03-13,21:00:00,47.2,47.29,47.16,47.29,6349,0
2014-03-14,15:00:00,47.01,47.37,46.91,47.37,5290,0
2014-03-14,16:00:00,47.47,47.47,47.4,47.4,316,0
2014-03-14,17:00:00,47.42,47.59,47.42,47.59,3227,0
2014-03-14,18:00:00,47.51,47.51,47.51,47.51,500,0
2014-03-14,19:00:00,47.51,47.52,47.51,47.52,1300,0
2014-03-14,20:00:00,47.56,47.56,47.44,47.51,6248,0
2014-03-14,21:00:00,47.43,47.43,47.43,47.43,1500,0
