Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,25.39,25.39,25.39,25.39,100,0
2014-02-10,20:00:00,25.32,25.32,25.32,25.32,200,0
2014-02-10,21:00:00,25.33,25.33,25.16,25.16,600,0
2014-02-12,17:00:00,25.6,25.6,25.6,25.6,400,0
2014-02-12,18:00:00,25.63,25.64,25.63,25.64,200,0
2014-02-13,18:00:00,25.28,25.28,25.28,25.28,2000,0
2014-02-13,19:00:00,25.37,25.37,25.32,25.32,200,0
2014-02-13,20:00:00,25.3,25.3,25.3,25.3,1000,0
2014-02-14,20:00:00,25.48,25.48,25.48,25.48,100,0
2014-02-18,17:00:00,26,26.02,26,26.02,300,0
2014-02-18,21:00:00,25.73,25.73,25.73,25.73,1000,0
2014-02-18,22:00:00,25.88,25.88,25.88,25.88,500,0
2014-02-19,19:00:00,25.81,25.81,25.81,25.81,160,0
2014-02-20,16:00:00,25.69,25.69,25.69,25.69,200,0
2014-02-21,19:00:00,25.6,25.6,25.6,25.6,4000,0
2014-02-26,16:00:00,25.51,25.51,25.51,25.51,600,0
2014-02-26,17:00:00,25.43,25.43,25.43,25.43,100,0
2014-02-26,19:00:00,25.4,25.42,25.4,25.42,250,0
2014-02-27,18:00:00,25.6,25.6,25.6,25.6,400,0
2014-02-28,18:00:00,26.19,26.19,26.19,26.19,342,0
2014-02-28,21:00:00,26.15,26.15,26.14,26.14,1325,0
2014-02-28,22:00:00,26.15,26.16,26.15,26.16,1500,0
2014-03-04,16:00:00,26.6,26.6,26.6,26.6,196,0
2014-03-04,17:00:00,26.69,26.89,26.69,26.89,700,0
2014-03-04,19:00:00,26.85,26.98,26.85,26.98,280,0
2014-03-04,20:00:00,27,27,27,27,500,0
2014-03-04,21:00:00,26.99,26.99,26.99,26.99,1000,0
2014-03-05,22:00:00,27,27,26.98,26.98,800,0
2014-03-06,17:00:00,27.66,27.66,27.66,27.66,1600,0
2014-03-06,22:00:00,27.63,27.63,27.63,27.63,200,0
2014-03-07,18:00:00,27.3,27.3,27.3,27.3,400,0
2014-03-10,18:00:00,27.21,27.21,27.21,27.21,1500,0
2014-03-11,18:00:00,27.78,27.78,27.78,27.78,500,0
2014-03-11,21:00:00,27.49,27.55,27.49,27.55,300,0
2014-03-12,17:00:00,28.02,28.05,28.02,28.05,1800,0
2014-03-12,18:00:00,27.89,27.89,27.89,27.89,200,0
2014-03-13,15:00:00,28.18,28.18,28.18,28.18,700,0
2014-03-13,16:00:00,28.21,28.25,28.21,28.25,400,0
2014-03-13,18:00:00,28.22,28.22,28.22,28.22,100,0
2014-03-13,20:00:00,30,30,28.15,28.15,800,0
2014-03-13,21:00:00,28.06,28.06,28.06,28.06,100,0
2014-03-14,15:00:00,28.13,28.13,28.13,28.13,300,0
2014-03-14,17:00:00,28.22,28.22,28.22,28.22,400,0
2014-03-17,15:00:00,28.44,28.44,28.33,28.39,7456,0
2014-03-17,16:00:00,28.36,28.41,28.25,28.4,8500,0
2014-03-17,17:00:00,28.39,28.42,28.37,28.39,3340,0
2014-03-17,18:00:00,28.4,30.26,28.35,28.36,3700,0
2014-03-17,19:00:00,28.31,28.36,28.31,28.36,500,0
2014-03-17,20:00:00,28.42,28.42,28.4,28.4,1300,0
2014-03-17,21:00:00,28.43,28.43,28.43,28.43,500,0
2014-03-18,15:00:00,28.78,28.85,28.78,28.82,4652,0
2014-03-18,16:00:00,28.84,28.92,28.84,28.92,1900,0
2014-03-18,17:00:00,28.84,28.84,28.83,28.83,300,0
2014-03-18,18:00:00,28.84,28.84,28.83,28.83,200,0
2014-03-18,19:00:00,28.96,28.96,28.91,28.91,1460,0
2014-03-18,20:00:00,28.96,28.96,28.94,28.94,850,0
2014-03-18,21:00:00,28.97,28.97,28.95,28.97,850,0
2014-03-19,15:00:00,28.58,28.65,28.57,28.61,2900,0
2014-03-19,16:00:00,28.7,28.7,28.59,28.67,3025,0
2014-03-19,18:00:00,29,29,29,29,500,0
2014-03-19,19:00:00,29.05,29.11,29.03,29.11,700,0
2014-03-19,20:00:00,29.25,29.25,29.09,29.13,3200,0
2014-03-19,21:00:00,29.01,29.01,29,29,1200,0
2014-03-20,16:00:00,28.46,28.48,28.4,28.48,500,0
2014-03-20,17:00:00,28.25,28.26,28.25,28.26,700,0
2014-03-20,18:00:00,28.22,28.28,28.17,28.27,900,0
2014-03-20,21:00:00,28.2,28.21,28.18,28.21,1500,0
2014-03-21,15:00:00,28.54,28.58,28.51,28.58,2500,0
2014-03-21,17:00:00,28.58,28.58,28.53,28.53,900,0
2014-03-21,18:00:00,28.58,28.58,28.58,28.58,300,0
2014-03-21,19:00:00,28.55,28.55,28.55,28.55,300,0
2014-03-21,20:00:00,28.63,28.63,28.63,28.63,855,0
2014-03-21,21:00:00,28.65,28.65,28.65,28.65,600,0
2014-03-24,21:00:00,28.76,28.76,28.76,28.76,563,0
2014-03-25,15:00:00,29.03,29.1,29.03,29.09,1150,0
2014-03-25,16:00:00,29.04,29.04,29.04,29.04,100,0
2014-03-25,17:00:00,29.06,29.06,29.04,29.06,1300,0
2014-03-25,18:00:00,28.79,28.79,28.7,28.7,400,0
