Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,36.16,36.23,36.13,36.23,16083,0
2014-02-10,17:00:00,36.19,36.25,36.11,36.15,50557,0
2014-02-10,18:00:00,36.15,36.29,36.12,36.25,42471,0
2014-02-10,19:00:00,36.24,36.26,36.2,36.25,132767,0
2014-02-10,20:00:00,36.24,36.28,36.22,36.24,93809,0
2014-02-10,21:00:00,36.26,36.35,36.25,36.32,124018,0
2014-02-10,22:00:00,36.32,36.33,36.27,36.33,91099,0
2014-02-11,16:00:00,36.37,36.51,36.37,36.46,23719,0
2014-02-11,17:00:00,36.45,36.52,36.39,36.46,54368,0
2014-02-11,18:00:00,36.48,36.62,36.42,36.62,18378,0
2014-02-11,19:00:00,36.62,36.67,36.58,36.65,57663,0
2014-02-11,20:00:00,36.66,36.77,36.66,36.71,57544,0
2014-02-11,21:00:00,36.71,36.74,36.69,36.73,25024,0
2014-02-11,22:00:00,36.75,36.79,36.7,36.72,69476,0
2014-02-12,16:00:00,36.84,36.97,36.84,36.96,30407,0
2014-02-12,17:00:00,36.98,36.98,36.81,36.81,44568,0
2014-02-12,18:00:00,36.81,36.89,36.78,36.81,41085,0
2014-02-12,19:00:00,36.8,36.87,36.79,36.86,40055,0
2014-02-12,20:00:00,36.85,36.93,36.85,36.9,35654,0
2014-02-12,21:00:00,36.92,36.94,36.83,36.85,213695,0
2014-02-12,22:00:00,36.85,36.91,36.82,36.91,83815,0
2014-02-13,16:00:00,36.66,36.83,36.57,36.83,9341,0
2014-02-13,17:00:00,36.85,37.08,36.85,37.08,31493,0
2014-02-13,18:00:00,37.1,37.14,37.05,37.07,85292,0
2014-02-13,19:00:00,37.07,37.15,37.06,37.14,39536,0
2014-02-13,20:00:00,37.14,37.27,37.14,37.26,42863,0
2014-02-13,21:00:00,37.28,37.3,37.22,37.26,26352,0
2014-02-13,22:00:00,37.25,37.27,37.22,37.26,158661,0
2014-02-14,16:00:00,37.32,37.32,37.18,37.22,20485,0
2014-02-14,17:00:00,37.25,37.38,37.19,37.27,20733,0
2014-02-14,18:00:00,37.25,37.32,37.25,37.3,16224,0
2014-02-14,19:00:00,37.28,37.32,37.26,37.3,36788,0
2014-02-14,20:00:00,37.3,37.37,37.29,37.36,12395,0
2014-02-14,21:00:00,37.36,37.42,37.35,37.41,47442,0
2014-02-14,22:00:00,37.4,37.41,37.33,37.37,78921,0
2014-02-18,16:00:00,37.49,37.61,37.47,37.51,34247,0
2014-02-18,17:00:00,37.51,37.65,37.44,37.65,49311,0
2014-02-18,18:00:00,37.66,37.71,37.63,37.63,57783,0
2014-02-18,19:00:00,37.63,37.69,37.63,37.68,44580,0
2014-02-18,20:00:00,37.69,37.69,37.62,37.65,34833,0
2014-02-18,21:00:00,37.67,37.69,37.64,37.67,69128,0
2014-02-18,22:00:00,37.67,37.69,37.64,37.65,77886,0
2014-02-19,16:00:00,37.66,37.72,37.61,37.65,48226,0
2014-02-19,17:00:00,37.6,37.78,37.59,37.74,42708,0
2014-02-19,18:00:00,37.74,37.78,37.7,37.7,406377,0
2014-02-19,19:00:00,37.63,37.64,37.55,37.59,12972,0
2014-02-19,20:00:00,37.6,37.66,37.59,37.62,14178,0
2014-02-19,21:00:00,37.6,37.7,37.53,37.57,135673,0
2014-02-19,22:00:00,37.57,37.58,37.37,37.41,124451,0
2014-02-20,16:00:00,37.5,37.54,37.37,37.37,13088,0
2014-02-20,17:00:00,37.35,37.6,37.33,37.56,24531,0
2014-02-20,18:00:00,37.57,37.59,37.49,37.51,10469,0
2014-02-20,19:00:00,37.51,37.59,37.5,37.55,42570,0
2014-02-20,20:00:00,37.56,37.59,37.54,37.56,29385,0
2014-02-20,21:00:00,37.54,37.62,37.52,37.61,34578,0
2014-02-20,22:00:00,37.63,37.67,37.61,37.65,65460,0
2014-02-21,16:00:00,37.74,37.82,37.66,37.78,16413,0
2014-02-21,17:00:00,37.82,37.9,37.78,37.88,86972,0
2014-02-21,18:00:00,37.88,37.93,37.85,37.91,50591,0
2014-02-21,19:00:00,37.91,37.95,37.86,37.9,59903,0
2014-02-21,20:00:00,37.9,37.93,37.86,37.9,89441,0
2014-02-21,21:00:00,37.9,37.9,37.83,37.85,102853,0
2014-02-21,22:00:00,37.86,37.9,37.78,37.8,167194,0
2014-02-24,16:00:00,37.95,38.13,37.95,38.1,39311,0
2014-02-24,17:00:00,38.12,38.2,38.02,38.2,52735,0
2014-02-24,18:00:00,38.19,38.28,38.16,38.28,107028,0
2014-02-24,19:00:00,38.28,38.29,38.24,38.24,23456,0
2014-02-24,20:00:00,38.24,38.25,38.19,38.2,16388,0
2014-02-24,21:00:00,38.21,38.24,38.19,38.19,91716,0
2014-02-24,22:00:00,38.16,38.17,38.09,38.09,68702,0
2014-02-25,16:00:00,38.14,38.21,38.05,38.08,17241,0
2014-02-25,17:00:00,38.05,38.21,38,38.19,24541,0
2014-02-25,18:00:00,38.2,38.36,38.2,38.26,24255,0
2014-02-25,19:00:00,38.23,38.25,38.17,38.22,68101,0
2014-02-25,20:00:00,38.2,38.25,38.18,38.18,39608,0
2014-02-25,21:00:00,38.19,38.2,38.11,38.15,31493,0
2014-02-25,22:00:00,38.13,38.15,38.07,38.13,46415,0
2014-02-26,16:00:00,38.13,38.22,38.08,38.1,274563,0
2014-02-26,17:00:00,38.16,38.32,38.16,38.28,58875,0
2014-02-26,18:00:00,38.28,38.32,38.25,38.26,17489,0
2014-02-26,19:00:00,38.29,38.32,38.28,38.28,46271,0
2014-02-26,20:00:00,38.28,38.28,38.19,38.2,53412,0
2014-02-26,21:00:00,38.2,38.2,37.96,38.04,53137,0
2014-02-26,22:00:00,38.05,38.09,37.99,38.08,139188,0
2014-02-27,16:00:00,38.04,38.18,38.04,38.08,8050,0
2014-02-27,17:00:00,38.14,38.17,38,38.17,22561,0
2014-02-27,18:00:00,38.17,38.25,38.16,38.18,51818,0
2014-02-27,19:00:00,38.2,38.2,38.16,38.17,12968,0
2014-02-27,20:00:00,38.2,38.32,38.2,38.3,14572,0
2014-02-27,21:00:00,38.3,38.3,38.24,38.29,62751,0
2014-02-27,22:00:00,38.26,38.32,38.25,38.3,208648,0
2014-02-28,16:00:00,38.27,38.38,38.24,38.3,15806,0
2014-02-28,17:00:00,38.35,38.41,38.35,38.36,62093,0
2014-02-28,18:00:00,38.36,38.4,38.3,38.37,45607,0
2014-02-28,19:00:00,38.36,38.37,38.33,38.33,17327,0
