Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,2.16,2.16,2.15,2.15,27200,0
2014-02-10,17:00:00,2.15,2.15,2.09,2.12,51503,0
2014-02-10,18:00:00,2.11,2.22,2.11,2.14,44537,0
2014-02-10,19:00:00,2.14,2.15,2.11,2.14,26398,0
2014-02-10,20:00:00,2.14,2.19,2.1,2.13,51209,0
2014-02-10,21:00:00,2.16,2.17,2.07,2.09,89488,0
2014-02-10,22:00:00,2.09,2.14,1.84,1.93,288044,0
2014-02-11,16:00:00,2.1,2.24,2.1,2.16,91887,0
2014-02-11,17:00:00,2.15,2.35,2.12,2.28,60433,0
2014-02-11,18:00:00,2.28,2.34,2.25,2.29,48453,0
2014-02-11,19:00:00,2.25,2.3,2.25,2.3,9800,0
2014-02-11,20:00:00,2.29,2.3,2.14,2.22,39090,0
2014-02-11,21:00:00,2.22,2.24,2.2,2.24,22900,0
2014-02-11,22:00:00,2.24,2.29,2.19,2.19,35705,0
2014-02-12,16:00:00,2.3,2.3,2.25,2.28,2700,0
2014-02-12,17:00:00,2.25,2.25,2.1,2.16,21577,0
2014-02-12,18:00:00,2.2,2.2,2.17,2.19,9900,0
2014-02-12,19:00:00,2.19,2.2,2.19,2.2,2900,0
2014-02-12,20:00:00,2.27,2.31,2.26,2.3,69300,0
2014-02-12,21:00:00,2.28,2.29,2.25,2.29,10900,0
2014-02-12,22:00:00,2.29,2.3,2.28,2.3,6840,0
2014-02-13,16:00:00,2.26,2.26,2.26,2.26,7640,0
2014-02-13,17:00:00,2.29,2.3,2.21,2.27,11155,0
2014-02-13,18:00:00,2.25,2.28,2.23,2.27,2630,0
2014-02-13,19:00:00,2.25,2.27,2.23,2.23,3686,0
2014-02-13,21:00:00,2.23,2.28,2.22,2.27,11900,0
2014-02-13,22:00:00,2.27,2.27,2.25,2.26,3610,0
2014-02-14,18:00:00,2.24,2.26,2.23,2.25,12000,0
2014-02-14,19:00:00,2.26,2.28,2.26,2.28,6700,0
2014-02-14,20:00:00,2.29,2.49,2.29,2.48,76006,0
2014-02-14,21:00:00,2.45,2.48,2.45,2.47,44872,0
2014-02-14,22:00:00,2.46,2.46,2.38,2.38,31947,0
2014-02-18,16:00:00,2.45,2.45,2.45,2.45,8050,0
2014-02-18,17:00:00,2.46,2.46,2.39,2.45,10000,0
2014-02-18,18:00:00,2.43,2.44,2.39,2.44,6100,0
2014-02-18,19:00:00,2.43,2.49,2.43,2.47,41466,0
2014-02-18,20:00:00,2.49,2.65,2.48,2.5,102011,0
2014-02-18,21:00:00,2.5,2.59,2.5,2.52,12631,0
2014-02-18,22:00:00,2.54,2.6,2.52,2.59,18259,0
2014-02-19,16:00:00,2.6,2.6,2.5,2.5,16983,0
2014-02-19,17:00:00,2.49,2.49,2.41,2.42,23350,0
2014-02-19,18:00:00,2.49,2.56,2.47,2.56,23550,0
2014-02-19,19:00:00,2.55,2.55,2.49,2.49,17700,0
2014-02-19,20:00:00,2.49,2.5,2.45,2.45,9383,0
2014-02-19,21:00:00,2.48,2.48,2.45,2.47,1222,0
2014-02-19,22:00:00,2.47,2.55,2.45,2.5,13951,0
2014-02-20,16:00:00,2.56,2.57,2.56,2.57,2700,0
2014-02-20,17:00:00,2.56,2.56,2.48,2.49,24450,0
2014-02-20,18:00:00,2.52,2.57,2.49,2.5,23660,0
2014-02-20,19:00:00,2.5,2.57,2.48,2.52,43100,0
2014-02-20,20:00:00,2.55,2.6,2.55,2.6,25639,0
2014-02-20,21:00:00,2.59,2.75,2.55,2.75,41080,0
2014-02-20,22:00:00,2.63,2.8,2.6,2.78,83000,0
2014-02-21,16:00:00,2.8,2.8,2.78,2.78,3500,0
2014-02-21,17:00:00,2.75,2.75,2.63,2.64,11161,0
2014-02-21,18:00:00,2.64,2.64,2.6,2.6,17800,0
2014-02-21,19:00:00,2.62,2.71,2.62,2.71,20000,0
2014-02-21,20:00:00,2.69,2.7,2.68,2.68,6068,0
2014-02-21,21:00:00,2.67,2.67,2.66,2.66,8716,0
2014-02-21,22:00:00,2.67,2.67,2.62,2.62,22305,0
2014-02-24,16:00:00,2.75,2.75,2.66,2.66,3100,0
2014-02-24,17:00:00,2.67,2.68,2.65,2.65,9940,0
2014-02-24,18:00:00,2.68,2.69,2.65,2.65,17900,0
2014-02-24,19:00:00,2.62,2.62,2.51,2.51,11950,0
2014-02-24,20:00:00,2.52,2.53,2.52,2.53,5384,0
2014-02-24,21:00:00,2.54,2.57,2.5,2.57,47900,0
2014-02-24,22:00:00,2.57,2.6,2.51,2.52,24000,0
2014-02-25,16:00:00,2.6,2.6,2.56,2.56,22708,0
2014-02-25,17:00:00,2.6,2.6,2.55,2.55,9700,0
2014-02-25,18:00:00,2.58,2.58,2.51,2.54,34051,0
2014-02-25,19:00:00,2.54,2.54,2.54,2.54,150,0
2014-02-25,21:00:00,2.51,2.51,2.5,2.5,9300,0
2014-02-25,22:00:00,2.53,2.53,2.5,2.5,6600,0
2014-02-26,17:00:00,2.54,2.59,2.5,2.5,800,0
2014-02-26,18:00:00,2.51,2.6,2.51,2.6,2000,0
2014-02-26,19:00:00,2.59,2.59,2.51,2.53,6709,0
2014-02-26,20:00:00,2.5,2.52,2.5,2.5,35100,0
2014-02-26,21:00:00,2.5,2.51,2.5,2.5,4000,0
2014-02-26,22:00:00,2.5,2.51,2.49,2.5,23168,0
2014-02-27,17:00:00,2.45,2.58,2.45,2.48,42000,0
2014-02-27,18:00:00,2.5,2.5,2.5,2.5,3300,0
2014-02-27,19:00:00,2.5,2.57,2.5,2.56,8350,0
2014-02-27,20:00:00,2.55,2.57,2.55,2.56,26978,0
2014-02-27,21:00:00,2.53,2.65,2.53,2.6,20043,0
2014-02-27,22:00:00,2.6,2.74,2.58,2.72,90267,0
2014-02-28,16:00:00,2.58,2.59,2.35,2.46,44137,0
2014-02-28,17:00:00,2.47,2.54,2.45,2.53,19494,0
2014-02-28,18:00:00,2.51,2.53,2.5,2.5,9496,0
2014-02-28,19:00:00,2.51,2.51,2.5,2.5,9700,0
2014-02-28,20:00:00,2.5,2.53,2.5,2.51,4000,0
2014-02-28,21:00:00,2.52,2.52,2.5,2.5,4106,0
2014-02-28,22:00:00,2.5,2.51,2.49,2.5,16056,0
2014-03-03,16:00:00,2.51,2.53,2.51,2.53,1000,0
2014-03-03,17:00:00,2.53,2.63,2.5,2.54,18799,0
2014-03-03,18:00:00,2.54,2.55,2.5,2.5,21100,0
2014-03-03,19:00:00,2.54,2.54,2.5,2.54,7950,0
2014-03-03,20:00:00,2.5,2.52,2.5,2.52,1050,0
2014-03-03,21:00:00,2.54,2.54,2.5,2.54,2300,0
2014-03-03,22:00:00,2.53,2.53,2.49,2.53,9009,0
2014-03-04,16:00:00,2.19,2.33,2.19,2.29,176136,0
2014-03-04,17:00:00,2.3,2.31,2.25,2.27,177987,0
2014-03-04,18:00:00,2.27,2.46,2.27,2.44,109574,0
2014-03-04,19:00:00,2.44,2.54,2.42,2.52,47445,0
2014-03-04,20:00:00,2.54,2.55,2.42,2.48,75420,0
2014-03-04,21:00:00,2.48,2.51,2.45,2.5,38300,0
2014-03-04,22:00:00,2.5,2.55,2.47,2.53,83147,0
2014-03-05,16:00:00,2.44,2.5,2.44,2.49,2600,0
2014-03-05,17:00:00,2.47,2.54,2.43,2.53,13844,0
2014-03-05,18:00:00,2.5,2.53,2.47,2.5,9180,0
