Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,11.276,11.276,11.236,11.256,14710,0
2014-02-10,17:00:00,11.256,11.286,11.256,11.276,45516,0
2014-02-10,18:00:00,11.266,11.276,11.256,11.266,38977,0
2014-02-10,19:00:00,11.256,11.266,11.246,11.256,85744,0
2014-02-10,20:00:00,11.256,11.276,11.246,11.276,65528,0
2014-02-10,21:00:00,11.276,11.306,11.276,11.306,12163,0
2014-02-10,22:00:00,11.306,11.316,11.296,11.316,28404,0
2014-02-11,16:00:00,11.326,11.326,11.316,11.316,3041,0
2014-02-11,17:00:00,11.335,11.365,11.335,11.355,7133,0
2014-02-11,18:00:00,11.365,11.415,11.355,11.415,41372,0
2014-02-11,19:00:00,11.415,11.425,11.395,11.425,33654,0
2014-02-11,20:00:00,11.425,11.444,11.425,11.435,26116,0
2014-02-11,21:00:00,11.435,11.444,11.435,11.444,8559,0
2014-02-11,22:00:00,11.444,11.444,11.415,11.415,27390,0
2014-02-12,16:00:00,11.405,11.454,11.405,11.454,6239,0
2014-02-12,17:00:00,11.464,11.464,11.415,11.425,12630,0
2014-02-12,18:00:00,11.415,11.435,11.405,11.405,21188,0
2014-02-12,19:00:00,11.405,11.415,11.395,11.405,14496,0
2014-02-12,20:00:00,11.405,11.435,11.405,11.425,29629,0
2014-02-12,21:00:00,11.425,11.425,11.385,11.395,9990,0
2014-02-12,22:00:00,11.395,11.425,11.385,11.425,26284,0
2014-02-13,16:00:00,11.375,11.45,11.365,11.45,9938,0
2014-02-13,17:00:00,11.444,11.454,11.425,11.454,9994,0
2014-02-13,18:00:00,11.444,11.474,11.435,11.474,7338,0
2014-02-13,19:00:00,11.474,11.474,11.464,11.464,8738,0
2014-02-13,20:00:00,11.504,11.514,11.494,11.504,5581,0
2014-02-13,21:00:00,11.514,11.524,11.504,11.524,5088,0
2014-02-13,22:00:00,11.524,11.544,11.524,11.544,38445,0
2014-02-14,16:00:00,11.54,11.54,11.51,11.52,3420,0
2014-02-14,17:00:00,11.54,11.579,11.54,11.579,10052,0
2014-02-14,18:00:00,11.569,11.589,11.569,11.569,6334,0
2014-02-14,19:00:00,11.569,11.579,11.569,11.569,1228,0
2014-02-14,20:00:00,11.589,11.599,11.589,11.599,12045,0
2014-02-14,21:00:00,11.609,11.609,11.599,11.599,14399,0
2014-02-14,22:00:00,11.609,11.629,11.609,11.629,13382,0
2014-02-18,16:00:00,11.599,11.629,11.599,11.619,7803,0
2014-02-18,17:00:00,11.619,11.619,11.599,11.609,8112,0
2014-02-18,18:00:00,11.609,11.639,11.599,11.619,11392,0
2014-02-18,19:00:00,11.619,11.639,11.609,11.609,15152,0
2014-02-18,20:00:00,11.619,11.629,11.599,11.599,21261,0
2014-02-18,21:00:00,11.599,11.629,11.599,11.619,24660,0
2014-02-18,22:00:00,11.619,11.619,11.599,11.609,27787,0
2014-02-19,16:00:00,11.579,11.599,11.549,11.599,6895,0
2014-02-19,17:00:00,11.609,11.639,11.589,11.629,10459,0
2014-02-19,18:00:00,11.619,11.619,11.609,11.609,9488,0
2014-02-19,19:00:00,11.599,11.599,11.549,11.549,16457,0
2014-02-19,20:00:00,11.559,11.599,11.549,11.569,9832,0
2014-02-19,21:00:00,11.589,11.599,11.549,11.549,17075,0
2014-02-19,22:00:00,11.549,11.549,11.48,11.48,103818,0
2014-02-20,16:00:00,11.53,11.54,11.48,11.48,24346,0
2014-02-20,17:00:00,11.47,11.549,11.47,11.54,9092,0
2014-02-20,18:00:00,11.54,11.559,11.53,11.549,21260,0
2014-02-20,19:00:00,11.549,11.589,11.549,11.569,3945,0
2014-02-20,20:00:00,11.589,11.589,11.569,11.569,30127,0
2014-02-20,21:00:00,11.569,11.579,11.559,11.579,14996,0
2014-02-20,22:00:00,11.579,11.589,11.569,11.579,15109,0
2014-02-21,16:00:00,11.579,11.619,11.579,11.619,8218,0
2014-02-21,17:00:00,11.609,11.619,11.579,11.619,25758,0
2014-02-21,18:00:00,11.629,11.639,11.619,11.639,22100,0
2014-02-21,19:00:00,11.639,11.639,11.619,11.619,6603,0
2014-02-21,20:00:00,11.609,11.619,11.609,11.609,15175,0
2014-02-21,21:00:00,11.619,11.619,11.589,11.599,272850,0
2014-02-21,22:00:00,11.589,11.609,11.579,11.579,18132,0
2014-02-24,16:00:00,11.619,11.659,11.609,11.659,62934,0
2014-02-24,17:00:00,11.679,11.689,11.649,11.669,21252,0
2014-02-24,18:00:00,11.679,11.709,11.669,11.709,7998,0
2014-02-24,19:00:00,11.709,11.709,11.689,11.699,4109,0
2014-02-24,20:00:00,11.699,11.699,11.669,11.679,12126,0
2014-02-24,21:00:00,11.669,11.669,11.659,11.659,40512,0
2014-02-24,22:00:00,11.659,11.659,11.619,11.619,38752,0
2014-02-25,16:00:00,11.629,11.649,11.599,11.599,9470,0
2014-02-25,17:00:00,11.609,11.659,11.609,11.649,9885,0
2014-02-25,18:00:00,11.649,11.689,11.639,11.669,12471,0
2014-02-25,19:00:00,11.659,11.659,11.639,11.639,11113,0
2014-02-25,20:00:00,11.639,11.649,11.629,11.639,35391,0
2014-02-25,21:00:00,11.639,11.649,11.629,11.639,17963,0
2014-02-25,22:00:00,11.639,11.639,11.609,11.619,33451,0
2014-02-26,16:00:00,11.629,11.659,11.619,11.629,11501,0
2014-02-26,17:00:00,11.649,11.679,11.629,11.659,23080,0
2014-02-26,18:00:00,11.649,11.679,11.649,11.659,37907,0
2014-02-26,19:00:00,11.659,11.679,11.649,11.679,11027,0
2014-02-26,20:00:00,11.669,11.669,11.659,11.659,11634,0
2014-02-26,21:00:00,11.679,11.679,11.619,11.639,10572,0
2014-02-26,22:00:00,11.639,11.649,11.639,11.649,7442,0
2014-02-27,16:00:00,11.659,11.669,11.629,11.639,8290,0
2014-02-27,17:00:00,11.639,11.649,11.619,11.639,10666,0
2014-02-27,18:00:00,11.639,11.679,11.639,11.649,30994,0
2014-02-27,19:00:00,11.639,11.649,11.639,11.649,3124,0
2014-02-27,20:00:00,11.639,11.679,11.639,11.679,10660,0
2014-02-27,21:00:00,11.669,11.679,11.649,11.659,11030,0
2014-02-27,22:00:00,11.659,11.689,11.649,11.679,91702,0
2014-02-28,16:00:00,11.718,11.718,11.709,11.709,3127,0
2014-02-28,17:00:00,11.738,11.798,11.738,11.788,32945,0
2014-02-28,18:00:00,11.778,11.798,11.768,11.788,10388,0
2014-02-28,19:00:00,11.798,11.798,11.788,11.798,1408,0
2014-02-28,20:00:00,11.798,11.798,11.788,11.798,3483,0
2014-02-28,21:00:00,11.788,11.798,11.768,11.768,5817,0
2014-02-28,22:00:00,11.758,11.758,11.728,11.758,9120,0
2014-03-03,16:00:00,11.709,11.748,11.659,11.679,13120,0
