Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,0.0589,0.0589,0.0589,0.0589,1000,0
2014-02-10,17:00:00,0.055,0.0647,0.05,0.05,50750,0
2014-02-10,21:00:00,0.06,0.06,0.05,0.05,33999,0
2014-02-10,22:00:00,0.0614,0.0647,0.05,0.053,374018,0
2014-02-11,17:00:00,0.053,0.0561,0.053,0.0561,3334,0
2014-02-11,18:00:00,0.06,0.0687,0.053,0.065,79386,0
2014-02-11,19:00:00,0.0687,0.0687,0.065,0.065,7000,0
2014-02-11,21:00:00,0.0687,0.0687,0.065,0.065,90000,0
2014-02-11,22:00:00,0.065,0.065,0.065,0.065,6000,0
2014-02-12,17:00:00,0.07,0.0719,0.07,0.0719,26075,0
2014-02-12,18:00:00,0.07,0.07,0.0675,0.0675,165000,0
2014-02-12,19:00:00,0.0695,0.07,0.0675,0.07,103568,0
2014-02-12,20:00:00,0.07,0.07,0.0675,0.07,121991,0
2014-02-12,21:00:00,0.07,0.07,0.0675,0.0675,200823,0
2014-02-12,22:00:00,0.0744,0.0747,0.0744,0.0747,14250,0
2014-02-13,16:00:00,0.079,0.079,0.079,0.079,50000,0
2014-02-13,17:00:00,0.07,0.07,0.07,0.07,2340,0
2014-02-13,18:00:00,0.0767,0.08,0.0703,0.073,114700,0
2014-02-13,19:00:00,0.0848,0.0848,0.0817,0.082,13100,0
2014-02-13,20:00:00,0.074,0.075,0.074,0.075,5800,0
2014-02-13,21:00:00,0.0769,0.0847,0.075,0.0847,41786,0
2014-02-13,22:00:00,0.07,0.07,0.07,0.07,10100,0
2014-02-14,16:00:00,0.073,0.073,0.07,0.07,4000,0
2014-02-14,17:00:00,0.079,0.079,0.079,0.079,500,0
2014-02-14,20:00:00,0.0803,0.0803,0.065,0.08,11950,0
2014-02-14,21:00:00,0.08,0.08,0.075,0.08,15200,0
2014-02-14,22:00:00,0.065,0.076,0.065,0.076,5300,0
2014-02-18,16:00:00,0.078,0.078,0.068,0.078,16900,0
2014-02-18,17:00:00,0.078,0.078,0.078,0.078,5000,0
2014-02-18,18:00:00,0.078,0.078,0.066,0.066,24730,0
2014-02-18,20:00:00,0.066,0.085,0.066,0.085,93265,0
2014-02-18,21:00:00,0.068,0.068,0.066,0.066,24000,0
2014-02-19,16:00:00,0.067,0.067,0.067,0.067,18300,0
2014-02-19,19:00:00,0.07,0.0765,0.05,0.063,305665,0
2014-02-19,20:00:00,0.0689,0.08,0.0689,0.08,15100,0
2014-02-19,21:00:00,0.075,0.075,0.075,0.075,10000,0
2014-02-19,22:00:00,0.075,0.0848,0.0671,0.0848,112600,0
2014-02-20,16:00:00,0.07,0.07,0.0671,0.0671,25000,0
2014-02-20,17:00:00,0.0724,0.0724,0.0702,0.0702,1484,0
2014-02-20,18:00:00,0.07,0.07,0.07,0.07,3200,0
2014-02-20,20:00:00,0.0791,0.081,0.0702,0.0784,40150,0
2014-02-21,19:00:00,0.0661,0.0687,0.0661,0.0663,1200,0
2014-02-21,20:00:00,0.075,0.0795,0.075,0.0795,21342,0
2014-02-21,21:00:00,0.08,0.08,0.0663,0.0663,40000,0
2014-02-21,22:00:00,0.0789,0.0789,0.0661,0.0661,12000,0
2014-02-24,17:00:00,0.0689,0.0689,0.0678,0.0678,8000,0
2014-02-24,18:00:00,0.07,0.07,0.0675,0.0675,13000,0
2014-02-24,19:00:00,0.07,0.07,0.07,0.07,6000,0
2014-02-24,22:00:00,0.065,0.065,0.065,0.065,5000,0
2014-02-25,18:00:00,0.071,0.071,0.071,0.071,480,0
2014-02-25,20:00:00,0.067,0.071,0.067,0.071,40075,0
2014-02-25,22:00:00,0.07,0.07,0.067,0.067,12800,0
2014-02-26,17:00:00,0.071,0.071,0.071,0.071,50000,0
2014-02-26,18:00:00,0.065,0.065,0.065,0.065,10000,0
2014-02-26,19:00:00,0.0709,0.0709,0.0709,0.0709,3000,0
2014-02-26,20:00:00,0.065,0.07,0.065,0.07,12600,0
2014-02-26,21:00:00,0.07,0.071,0.07,0.07,37422,0
2014-02-27,17:00:00,0.069,0.069,0.069,0.069,10000,0
2014-02-27,20:00:00,0.0656,0.0656,0.0656,0.0656,6000,0
2014-02-27,22:00:00,0.07,0.075,0.0675,0.0675,210400,0
2014-02-28,17:00:00,0.0749,0.0749,0.0749,0.0749,2000,0
2014-02-28,19:00:00,0.0729,0.0749,0.0651,0.0651,26000,0
2014-02-28,21:00:00,0.0661,0.0661,0.0661,0.0661,250,0
2014-02-28,22:00:00,0.0748,0.0748,0.0748,0.0748,2000,0
2014-03-03,22:00:00,0.0748,0.0748,0.067,0.0748,21000,0
2014-03-04,18:00:00,0.0748,0.0748,0.0748,0.0748,201,0
2014-03-04,19:00:00,0.0745,0.0745,0.0745,0.0745,30000,0
2014-03-04,20:00:00,0.067,0.0739,0.067,0.068,37478,0
2014-03-04,22:00:00,0.068,0.068,0.068,0.068,7000,0
2014-03-05,16:00:00,0.058,0.0739,0.058,0.0739,5000,0
2014-03-05,17:00:00,0.0683,0.0683,0.0672,0.0672,2500,0
2014-03-05,19:00:00,0.067,0.067,0.067,0.067,20000,0
2014-03-05,20:00:00,0.0666,0.0666,0.065,0.065,32786,0
2014-03-05,22:00:00,0.061,0.061,0.058,0.058,6100,0
2014-03-06,16:00:00,0.065,0.065,0.065,0.065,5000,0
2014-03-06,17:00:00,0.06,0.06,0.06,0.06,15000,0
2014-03-06,18:00:00,0.0703,0.0729,0.0603,0.0603,86330,0
2014-03-06,19:00:00,0.0626,0.0626,0.0617,0.0617,6000,0
2014-03-06,21:00:00,0.0652,0.0729,0.064,0.0729,45532,0
2014-03-06,22:00:00,0.0704,0.073,0.0675,0.0675,21000,0
2014-03-07,17:00:00,0.0686,0.069,0.0677,0.069,9000,0
2014-03-07,20:00:00,0.0675,0.0675,0.062,0.0661,85000,0
2014-03-07,22:00:00,0.0601,0.067,0.0601,0.067,17000,0
2014-03-10,20:00:00,0.067,0.067,0.067,0.067,10000,0
2014-03-10,21:00:00,0.066,0.073,0.0601,0.073,13000,0
2014-03-11,15:00:00,0.073,0.073,0.073,0.073,200,0
2014-03-11,17:00:00,0.073,0.073,0.073,0.073,1290,0
2014-03-11,18:00:00,0.061,0.061,0.0587,0.0587,6558,0
2014-03-11,21:00:00,0.0601,0.0601,0.0601,0.0601,3000,0
2014-03-12,17:00:00,0.0664,0.0664,0.065,0.065,31000,0
2014-03-12,19:00:00,0.073,0.073,0.073,0.073,1000,0
2014-03-12,20:00:00,0.066,0.066,0.066,0.066,500,0
2014-03-13,17:00:00,0.0706,0.0706,0.0706,0.0706,1000,0
2014-03-13,20:00:00,0.065,0.065,0.065,0.065,3000,0
2014-03-14,15:00:00,0.0666,0.0666,0.065,0.065,2000,0
2014-03-14,16:00:00,0.065,0.065,0.065,0.065,17300,0
2014-03-14,17:00:00,0.0581,0.065,0.0581,0.065,40000,0
2014-03-14,20:00:00,0.06,0.061,0.06,0.06,21500,0
2014-03-14,21:00:00,0.06,0.06,0.06,0.06,25000,0
2014-03-17,15:00:00,0.066,0.066,0.066,0.066,4000,0
2014-03-17,16:00:00,0.0626,0.0626,0.06,0.06,46000,0
2014-03-17,17:00:00,0.06,0.06,0.06,0.06,1250,0
2014-03-17,18:00:00,0.0673,0.0673,0.06,0.06,45184,0
2014-03-17,19:00:00,0.06,0.06,0.0575,0.0575,31000,0
2014-03-17,20:00:00,0.058,0.058,0.058,0.058,12000,0
2014-03-18,16:00:00,0.058,0.062,0.0493,0.0614,33900,0
2014-03-18,17:00:00,0.058,0.063,0.055,0.055,56363,0
2014-03-18,18:00:00,0.0599,0.0599,0.0587,0.0587,21419,0
2014-03-18,19:00:00,0.055,0.055,0.055,0.055,18000,0
2014-03-18,20:00:00,0.0535,0.0535,0.0522,0.0522,10000,0
2014-03-19,16:00:00,0.052,0.052,0.052,0.052,1000,0
2014-03-19,17:00:00,0.052,0.052,0.052,0.052,17000,0
2014-03-19,19:00:00,0.057,0.057,0.057,0.057,5100,0
2014-03-19,20:00:00,0.0583,0.0599,0.052,0.052,72300,0
2014-03-19,21:00:00,0.0522,0.0599,0.0521,0.0599,15100,0
2014-03-20,15:00:00,0.0635,0.0635,0.0635,0.0635,1500,0
2014-03-20,16:00:00,0.0546,0.0546,0.0536,0.0536,2000,0
2014-03-20,18:00:00,0.055,0.055,0.055,0.055,7000,0
2014-03-20,19:00:00,0.055,0.055,0.055,0.055,3000,0
2014-03-20,20:00:00,0.06,0.06,0.06,0.06,33000,0
2014-03-20,21:00:00,0.0551,0.0551,0.0551,0.0551,10000,0
2014-03-21,21:00:00,0.0553,0.0581,0.0552,0.0552,49000,0
2014-03-24,18:00:00,0.0509,0.0509,0.0509,0.0509,20000,0
2014-03-24,19:00:00,0.0501,0.0501,0.0501,0.0501,5000,0
