Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,35.25,35.25,34.53,34.56,1134,0
2014-02-10,17:00:00,34.83,34.84,34.83,34.83,1000,0
2014-02-10,19:00:00,34.73,34.8,34.69,34.69,2022,0
2014-02-10,20:00:00,34.7,34.7,34.7,34.7,962,0
2014-02-10,21:00:00,34.7,34.71,34.7,34.71,1179,0
2014-02-10,22:00:00,34.79,34.79,34.7,34.74,4200,0
2014-02-11,16:00:00,34.79,35.04,34.79,35.02,4475,0
2014-02-11,17:00:00,34.89,35.16,34.89,34.89,3200,0
2014-02-11,18:00:00,34.98,35.27,34.98,35.27,2125,0
2014-02-11,19:00:00,35.02,35.07,35.02,35.07,200,0
2014-02-11,20:00:00,35.11,35.34,35.11,35.33,9410,0
2014-02-11,21:00:00,35.14,35.15,35.14,35.15,1900,0
2014-02-11,22:00:00,35.2,35.46,35.2,35.43,4490,0
2014-02-12,17:00:00,35.65,35.76,35.65,35.76,5048,0
2014-02-12,18:00:00,35.53,35.53,35.5,35.5,3200,0
2014-02-12,19:00:00,35.43,35.43,35.43,35.43,800,0
2014-02-12,20:00:00,35.38,35.46,35.38,35.44,8072,0
2014-02-12,21:00:00,35.4,35.4,35.4,35.4,600,0
2014-02-12,22:00:00,35.34,35.54,35.3,35.54,1125,0
2014-02-13,16:00:00,35.26,35.26,35.18,35.21,800,0
2014-02-13,17:00:00,35.2,35.37,35.2,35.34,2011,0
2014-02-13,19:00:00,35.5,35.58,35.5,35.54,1650,0
2014-02-13,20:00:00,35.55,35.72,35.45,35.72,2575,0
2014-02-13,21:00:00,35.72,35.72,35.72,35.72,280,0
2014-02-13,22:00:00,35.6,35.76,35.6,35.63,1900,0
2014-02-14,16:00:00,35.91,36.25,35.91,36.25,2377,0
2014-02-14,17:00:00,36.24,36.24,36.09,36.23,1273,0
2014-02-14,18:00:00,36.24,36.4,36.24,36.31,3790,0
2014-02-14,19:00:00,36.43,36.43,36.15,36.36,1384,0
2014-02-14,20:00:00,36.11,36.21,36.11,36.21,561,0
2014-02-14,21:00:00,36.32,36.4,36.32,36.4,2600,0
2014-02-14,22:00:00,36.37,36.49,36.25,36.4,7215,0
2014-02-18,16:00:00,36.21,36.47,35.99,35.99,2980,0
2014-02-18,17:00:00,36.08,36.08,35.99,35.99,4200,0
2014-02-18,18:00:00,36.01,36.12,36.01,36.05,2900,0
2014-02-18,19:00:00,36.12,36.26,36.11,36.26,13250,0
2014-02-18,21:00:00,36.25,36.27,36.13,36.22,1933,0
2014-02-18,22:00:00,36.16,36.27,36.15,36.27,900,0
2014-02-19,17:00:00,35.95,35.95,35.95,35.95,530,0
2014-02-19,18:00:00,36.18,36.18,36.02,36.02,2400,0
2014-02-19,19:00:00,35.95,35.95,35.95,35.95,3918,0
2014-02-19,20:00:00,35.95,35.95,35.95,35.95,1200,0
2014-02-19,21:00:00,35.95,35.95,35.95,35.95,766,0
2014-02-19,22:00:00,35.78,35.78,35.65,35.65,4250,0
2014-02-20,16:00:00,35.47,35.47,35.47,35.47,550,0
2014-02-20,17:00:00,35.43,35.7,35.43,35.7,3180,0
2014-02-20,18:00:00,35.75,35.9,35.55,35.55,1250,0
2014-02-20,19:00:00,35.61,35.77,35.61,35.77,1900,0
2014-02-20,20:00:00,35.65,35.78,35.65,35.65,1000,0
2014-02-20,22:00:00,35.77,35.94,35.63,35.63,5800,0
2014-02-21,16:00:00,35.71,35.71,35.71,35.71,1500,0
2014-02-21,17:00:00,35.8,35.86,35.8,35.86,300,0
2014-02-21,18:00:00,36.08,36.08,35.88,35.88,400,0
2014-02-21,19:00:00,36,36.17,35.98,36.17,1894,0
2014-02-21,20:00:00,36.05,36.05,36.05,36.05,2600,0
2014-02-21,21:00:00,35.96,36.14,35.84,35.84,3424,0
2014-02-21,22:00:00,35.97,35.97,35.97,35.97,300,0
2014-02-24,16:00:00,36.33,36.33,36.33,36.33,1500,0
2014-02-24,17:00:00,36.32,36.32,36.21,36.26,2400,0
2014-02-24,18:00:00,36.31,36.32,36.11,36.32,1100,0
2014-02-24,19:00:00,36.43,36.43,36.29,36.31,1350,0
2014-02-24,21:00:00,36.21,36.21,36.21,36.21,1015,0
2014-02-24,22:00:00,36.2,36.3,36.07,36.08,2673,0
2014-02-25,16:00:00,36.17,36.17,35.95,35.95,8446,0
2014-02-25,17:00:00,35.91,35.96,35.9,35.96,3300,0
2014-02-25,18:00:00,35.95,36.13,35.95,36.13,2100,0
2014-02-25,19:00:00,35.92,36.01,35.92,35.99,2040,0
2014-02-25,20:00:00,35.86,35.86,35.86,35.86,1000,0
2014-02-25,21:00:00,35.86,35.86,35.86,35.86,400,0
2014-02-25,22:00:00,35.86,35.86,35.84,35.84,2300,0
2014-02-26,16:00:00,35.26,35.5,35.26,35.5,700,0
2014-02-26,17:00:00,35.56,35.63,35.56,35.63,975,0
2014-02-26,19:00:00,36.01,36.1,36.01,36.1,513,0
2014-02-26,20:00:00,35.83,36.03,35.83,36.03,1480,0
2014-02-26,22:00:00,35.69,35.69,35.69,35.69,1702,0
2014-02-27,16:00:00,35.75,35.75,35.69,35.69,400,0
2014-02-27,17:00:00,35.81,36.16,35.81,36.1,3236,0
2014-02-27,18:00:00,36.2,36.36,36.2,36.36,700,0
2014-02-27,19:00:00,36.3,36.3,36.24,36.24,519,0
2014-02-27,20:00:00,36.16,36.16,36.16,36.16,500,0
2014-02-27,21:00:00,36.24,36.33,36.24,36.33,732,0
2014-02-27,22:00:00,36.31,36.39,36.31,36.39,1792,0
2014-02-28,16:00:00,36.45,36.51,36.44,36.51,11870,0
2014-02-28,17:00:00,36.57,36.57,36.48,36.49,2900,0
2014-02-28,18:00:00,36.46,36.5,36.46,36.5,3498,0
2014-02-28,19:00:00,36.47,36.48,36.23,36.23,2600,0
2014-02-28,20:00:00,36.43,36.45,36.39,36.39,1760,0
2014-02-28,21:00:00,36.36,36.39,36.18,36.18,2300,0
2014-02-28,22:00:00,36.06,36.16,36,36.16,2600,0
2014-03-03,16:00:00,35.99,35.99,35.49,35.64,3827,0
2014-03-03,17:00:00,35.61,35.91,35.61,35.91,2765,0
2014-03-03,18:00:00,35.69,35.69,35.57,35.58,7500,0
2014-03-03,19:00:00,35.59,35.59,35.54,35.54,2300,0
2014-03-03,20:00:00,35.59,35.59,35.59,35.59,561,0
2014-03-03,21:00:00,35.68,35.71,35.68,35.71,4800,0
2014-03-03,22:00:00,35.55,35.61,35.54,35.54,2200,0
2014-03-04,16:00:00,35.92,36.02,35.91,35.99,4100,0
2014-03-04,18:00:00,36.1,36.1,36.1,36.1,500,0
2014-03-04,19:00:00,36.09,36.13,36.03,36.08,900,0
2014-03-04,20:00:00,36.01,36.06,36,36.06,2133,0
2014-03-04,21:00:00,35.97,36.03,35.97,36.03,2500,0
2014-03-04,22:00:00,36.03,36.03,36.03,36.03,5512,0
2014-03-05,16:00:00,35.85,35.85,35.85,35.85,1036,0
2014-03-05,17:00:00,36,36.03,36,36.03,1700,0
2014-03-05,18:00:00,36,36,35.9,35.93,3500,0
2014-03-05,19:00:00,35.85,35.86,35.84,35.86,1600,0
2014-03-05,20:00:00,35.92,36.04,35.92,36.04,300,0
2014-03-05,21:00:00,35.86,36.01,35.86,35.89,1253,0
2014-03-05,22:00:00,35.94,35.98,35.93,35.98,2794,0
2014-03-06,16:00:00,36.49,36.49,36.36,36.44,2114,0
2014-03-06,17:00:00,36.42,36.55,36.42,36.55,1200,0
2014-03-06,18:00:00,36.55,36.6,36.46,36.56,5978,0
2014-03-06,19:00:00,36.6,36.62,36.6,36.62,1998,0
2014-03-06,20:00:00,36.57,36.57,36.57,36.57,700,0
2014-03-06,21:00:00,36.41,36.41,36.41,36.41,300,0
2014-03-06,22:00:00,36.47,36.47,36.42,36.46,1430,0
2014-03-07,16:00:00,36.42,36.42,36.2,36.2,2105,0
2014-03-07,17:00:00,36.14,36.28,36.14,36.27,1310,0
2014-03-07,18:00:00,36.07,36.12,36.07,36.12,950,0
2014-03-07,19:00:00,36.23,36.25,36.23,36.25,1000,0
2014-03-07,20:00:00,36.17,36.17,36.17,36.17,800,0
2014-03-07,22:00:00,36.1,36.23,36.1,36.23,1287,0
2014-03-10,15:00:00,35.63,35.73,35.5,35.5,6989,0
2014-03-10,16:00:00,35.5,35.5,35.28,35.28,3270,0
2014-03-10,17:00:00,35.34,35.34,35.29,35.29,400,0
2014-03-10,18:00:00,35.27,35.32,35.26,35.32,7307,0
2014-03-10,19:00:00,35.28,35.33,35.27,35.27,1869,0
2014-03-10,20:00:00,35.29,35.3,35.27,35.29,3200,0
2014-03-10,21:00:00,35.32,35.49,35.31,35.49,1100,0
2014-03-11,15:00:00,35.28,35.28,35.26,35.26,1060,0
2014-03-11,16:00:00,35.2,35.37,35.2,35.36,6944,0
2014-03-11,17:00:00,35.25,35.25,35.2,35.2,2000,0
2014-03-11,18:00:00,35.12,35.12,34.91,35.04,4420,0
2014-03-11,19:00:00,34.91,34.91,34.86,34.86,1775,0
2014-03-11,20:00:00,35,35,34.74,34.74,4528,0
2014-03-11,21:00:00,34.74,34.74,34.61,34.66,9835,0
2014-03-12,15:00:00,34.37,34.43,34.31,34.37,6985,0
2014-03-12,16:00:00,34.47,34.48,34.42,34.47,850,0
2014-03-12,17:00:00,34.48,34.54,34.47,34.54,4395,0
2014-03-12,18:00:00,34.5,34.5,34.48,34.5,1450,0
2014-03-12,19:00:00,34.4,34.51,34.4,34.5,900,0
2014-03-12,20:00:00,34.49,34.49,34.49,34.49,300,0
2014-03-12,21:00:00,34.49,34.49,34.49,34.49,1800,0
2014-03-13,15:00:00,34.78,34.79,34.76,34.76,1349,0
2014-03-13,16:00:00,34.81,34.87,34.76,34.76,1300,0
2014-03-13,17:00:00,34.67,34.67,34.67,34.67,1060,0
2014-03-13,18:00:00,34.52,34.52,34.34,34.34,4675,0
2014-03-13,19:00:00,34.29,34.37,34.21,34.29,8253,0
2014-03-13,20:00:00,34.34,34.34,34.21,34.21,2500,0
2014-03-13,21:00:00,34.25,34.38,34.25,34.26,3700,0
2014-03-14,15:00:00,34.25,34.25,34.25,34.25,452,0
2014-03-14,16:00:00,34.34,34.5,34.34,34.49,2120,0
2014-03-14,17:00:00,34.41,34.63,34.41,34.62,9388,0
2014-03-14,18:00:00,34.45,34.61,34.44,34.6,2900,0
2014-03-14,19:00:00,34.59,34.59,34.55,34.55,300,0
2014-03-14,20:00:00,34.51,34.56,34.51,34.54,556,0
2014-03-14,21:00:00,34.55,34.59,34.5,34.5,2982,0
2014-03-17,15:00:00,34.75,34.8,34.75,34.8,1800,0
2014-03-17,16:00:00,34.82,34.97,34.82,34.87,2715,0
2014-03-17,17:00:00,34.87,34.87,34.84,34.85,1200,0
2014-03-17,18:00:00,34.88,34.88,34.87,34.87,600,0
2014-03-17,19:00:00,34.84,34.87,34.83,34.87,2680,0
2014-03-17,20:00:00,34.87,34.87,34.81,34.81,500,0
2014-03-17,21:00:00,34.83,34.83,34.75,34.75,4767,0
2014-03-18,16:00:00,34.67,34.83,34.67,34.75,4271,0
2014-03-18,17:00:00,34.76,34.76,34.76,34.76,1412,0
2014-03-18,19:00:00,34.87,34.87,34.87,34.87,100,0
2014-03-18,20:00:00,34.87,34.9,34.87,34.89,500,0
2014-03-18,21:00:00,34.91,34.91,34.82,34.87,1600,0
2014-03-19,15:00:00,34.75,34.75,34.7,34.72,8559,0
2014-03-19,17:00:00,34.75,34.75,34.75,34.75,787,0
2014-03-19,18:00:00,34.75,34.76,34.75,34.76,2095,0
2014-03-19,20:00:00,34.72,34.75,34.56,34.56,2100,0
2014-03-19,21:00:00,34.5,34.5,34.34,34.41,1940,0
2014-03-20,15:00:00,34.27,34.27,34.1,34.1,3940,0
2014-03-20,16:00:00,34.15,34.15,34.15,34.15,600,0
2014-03-20,17:00:00,34.24,34.35,34.24,34.3,1284,0
2014-03-20,18:00:00,34.26,34.33,34.26,34.29,2330,0
2014-03-20,19:00:00,34.42,34.42,34.23,34.27,2779,0
2014-03-20,21:00:00,34.36,34.41,34.25,34.26,6760,0
2014-03-21,15:00:00,34.52,34.52,34.52,34.52,5856,0
2014-03-21,16:00:00,34.7,34.7,34.63,34.64,1200,0
2014-03-21,17:00:00,34.73,34.88,34.73,34.88,7250,0
2014-03-21,18:00:00,34.8,34.8,34.8,34.8,2000,0
2014-03-21,19:00:00,34.83,34.83,34.73,34.75,12320,0
2014-03-21,20:00:00,34.76,34.76,34.7,34.7,3100,0
2014-03-21,21:00:00,34.75,34.75,34.75,34.75,400,0
2014-03-24,15:00:00,35.1,35.11,35,35.02,1100,0
2014-03-24,16:00:00,35.02,35.02,34.86,34.94,12398,0
2014-03-24,17:00:00,34.71,34.72,34.7,34.7,3284,0
2014-03-24,19:00:00,34.91,34.91,34.91,34.91,1400,0
2014-03-24,21:00:00,34.91,34.91,34.91,34.91,2578,0
2014-03-25,16:00:00,35.05,35.05,35,35,1900,0
2014-03-25,17:00:00,35,35,35,35,500,0
2014-03-25,18:00:00,35.03,35.03,35,35,2340,0
2014-03-25,19:00:00,35,35.09,35,35,3200,0
2014-03-25,20:00:00,35,35.02,34.86,35.02,925,0
2014-03-25,21:00:00,34.88,34.9,34.83,34.9,2125,0
2014-03-26,15:00:00,35.25,35.34,35.25,35.34,1150,0
2014-03-26,16:00:00,35.18,35.18,35.1,35.11,2804,0
2014-03-26,17:00:00,35.13,35.17,35.13,35.17,450,0
2014-03-26,18:00:00,35.19,35.19,35.19,35.19,200,0
2014-03-26,19:00:00,35.17,35.17,34.97,34.97,1336,0
2014-03-26,20:00:00,34.97,34.97,34.89,34.96,1875,0
2014-03-26,21:00:00,35.02,35.02,34.88,34.88,1525,0
2014-03-27,15:00:00,35.45,35.45,35.32,35.32,1100,0
2014-03-27,16:00:00,35.42,35.49,35.32,35.32,3449,0
2014-03-27,17:00:00,35.33,35.5,35.29,35.29,1290,0
2014-03-27,18:00:00,35.21,35.33,35.2,35.24,6800,0
2014-03-27,19:00:00,35.46,35.46,35.26,35.26,2700,0
2014-03-27,20:00:00,35.5,35.5,35.28,35.34,700,0
2014-03-27,21:00:00,35.3,35.36,35.3,35.36,400,0
2014-03-28,15:00:00,35.5,35.82,35.5,35.57,2515,0
2014-03-28,16:00:00,35.63,35.7,35.63,35.68,1200,0
2014-03-28,17:00:00,35.67,35.78,35.67,35.78,800,0
2014-03-28,18:00:00,35.73,35.73,35.69,35.7,2380,0
2014-03-28,19:00:00,35.52,35.52,35.52,35.52,300,0
2014-03-28,20:00:00,35.5,35.52,35.42,35.42,1908,0
2014-03-28,21:00:00,35.47,35.5,35.39,35.5,2377,0
2014-03-31,18:00:00,35.55,35.55,35.45,35.45,512,0
2014-03-31,19:00:00,35.59,35.6,35.56,35.6,3811,0
2014-03-31,20:00:00,35.64,35.64,35.64,35.64,900,0
2014-03-31,21:00:00,35.63,35.63,35.63,35.63,1300,0
2014-03-31,22:00:00,35.46,35.47,35.46,35.47,200,0
2014-04-01,16:00:00,35.65,35.65,35.63,35.63,400,0
2014-04-01,17:00:00,35.75,35.78,35.65,35.65,2853,0
2014-04-01,18:00:00,35.74,35.78,35.74,35.78,1030,0
2014-04-01,19:00:00,35.77,35.8,35.64,35.78,4838,0
