Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,53.326,53.326,53.276,53.276,906,0
2014-02-10,21:00:00,53.326,53.336,53.326,53.326,503,0
2014-02-10,22:00:00,53.396,53.396,53.396,53.396,1007,0
2014-02-11,16:00:00,53.445,53.445,53.445,53.445,101,0
2014-02-11,22:00:00,54.091,54.091,54.091,54.091,157,0
2014-02-13,16:00:00,53.713,53.713,53.713,53.713,242,0
2014-02-13,20:00:00,54.16,54.16,54.16,54.16,731,0
2014-02-18,16:00:00,54.587,54.587,54.587,54.587,403,0
2014-02-18,18:00:00,54.677,54.677,54.677,54.677,3020,0
2014-02-18,19:00:00,54.597,54.617,54.597,54.617,906,0
2014-02-18,21:00:00,54.597,54.597,54.597,54.597,558,0
2014-02-19,18:00:00,54.488,54.488,54.488,54.488,101,0
2014-02-24,16:00:00,54.091,54.091,54.091,54.091,101,0
2014-02-24,18:00:00,54.508,54.508,54.508,54.508,805,0
2014-02-25,17:00:00,54.22,54.22,54.22,54.22,503,0
2014-02-25,19:00:00,54.23,54.24,54.23,54.24,1812,0
2014-02-25,20:00:00,54.289,54.289,54.289,54.289,101,0
2014-02-25,22:00:00,53.982,54.101,53.982,54.101,201,0
2014-02-26,16:00:00,53.991,53.991,53.882,53.882,987,0
2014-02-26,17:00:00,53.604,53.823,53.604,53.783,1333,0
2014-02-26,18:00:00,53.813,53.813,53.813,53.813,101,0
2014-02-26,19:00:00,53.922,53.922,53.922,53.922,101,0
2014-02-26,22:00:00,53.733,53.773,53.733,53.773,403,0
2014-02-27,16:00:00,53.803,53.803,53.803,53.803,604,0
2014-02-28,22:00:00,54.289,54.289,54.2,54.2,1007,0
2014-03-03,19:00:00,53.256,53.286,53.256,53.286,2416,0
2014-03-03,20:00:00,53.296,53.306,53.286,53.296,805,0
2014-03-03,21:00:00,53.386,53.386,53.386,53.386,302,0
2014-03-03,22:00:00,53.405,53.405,53.405,53.405,385,0
2014-03-04,18:00:00,54.18,54.19,54.18,54.19,302,0
2014-03-04,20:00:00,54.299,54.299,54.299,54.299,186,0
2014-03-04,21:00:00,54.27,54.27,54.27,54.27,201,0
2014-03-05,22:00:00,54.756,54.756,54.756,54.756,574,0
2014-03-06,18:00:00,55.452,55.452,55.442,55.442,503,0
2014-03-06,20:00:00,55.471,55.471,55.471,55.471,101,0
2014-03-06,22:00:00,55.402,55.481,55.402,55.481,2115,0
2014-03-07,16:00:00,55.521,55.521,55.521,55.521,805,0
2014-03-07,18:00:00,55.213,55.213,55.213,55.213,201,0
2014-03-07,19:00:00,55.213,55.213,55.193,55.193,252,0
2014-03-07,20:00:00,55.173,55.173,55.173,55.173,201,0
2014-03-07,21:00:00,55.014,55.014,55.014,55.014,201,0
2014-03-07,22:00:00,55.114,55.124,55.114,55.124,302,0
2014-03-10,15:00:00,54.776,54.776,54.776,54.776,457,0
2014-03-10,16:00:00,54.766,54.766,54.766,54.766,229,0
2014-03-10,19:00:00,55.044,55.044,55.044,55.044,201,0
2014-03-10,21:00:00,55.064,55.064,55.054,55.054,1510,0
2014-03-11,15:00:00,55.014,55.014,55.014,55.014,176,0
2014-03-12,15:00:00,54.299,54.299,54.299,54.299,101,0
2014-03-13,15:00:00,54.955,54.955,54.806,54.806,264,0
2014-03-13,18:00:00,54.16,54.17,54.16,54.17,403,0
2014-03-13,19:00:00,53.932,53.932,53.932,53.932,1208,0
2014-03-14,16:00:00,53.793,53.793,53.743,53.743,874,0
2014-03-14,17:00:00,53.405,53.624,53.405,53.624,2944,0
2014-03-18,15:00:00,54.121,54.121,54.121,54.121,511,0
2014-03-18,18:00:00,54.23,54.23,54.23,54.23,403,0
2014-03-18,21:00:00,54.349,54.349,54.299,54.299,2014,0
2014-03-20,15:00:00,53.932,54.24,53.932,54.2,328,0
2014-03-20,16:00:00,54.488,54.597,54.488,54.597,1628,0
2014-03-20,17:00:00,54.568,54.667,54.568,54.667,302,0
2014-03-20,20:00:00,55.144,55.144,55.134,55.134,201,0
2014-03-20,21:00:00,54.925,55.054,54.925,55.044,709,0
2014-03-21,15:00:00,55.372,55.372,55.084,55.084,1211,0
2014-03-21,16:00:00,55.193,55.223,55.134,55.223,356,0
