Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,50.57,50.57,50.57,50.57,3128,0
2014-02-10,17:00:00,50.57,50.58,50.56,50.56,10769,0
2014-02-10,18:00:00,50.57,50.57,50.56,50.56,4291,0
2014-02-10,19:00:00,50.57,50.58,50.56,50.57,15302,0
2014-02-10,20:00:00,50.58,50.58,50.56,50.58,7684,0
2014-02-10,21:00:00,50.56,50.57,50.56,50.57,17383,0
2014-02-10,22:00:00,50.57,50.58,50.56,50.58,12670,0
2014-02-11,16:00:00,50.55,50.55,50.531,50.531,2507,0
2014-02-11,17:00:00,50.541,50.56,50.541,50.56,3766,0
2014-02-11,18:00:00,50.531,50.55,50.531,50.55,30681,0
2014-02-11,19:00:00,50.55,50.55,50.531,50.55,20544,0
2014-02-11,20:00:00,50.55,50.55,50.531,50.531,5254,0
2014-02-11,21:00:00,50.55,50.55,50.531,50.55,18644,0
2014-02-11,22:00:00,50.55,50.55,50.531,50.531,13519,0
2014-02-12,16:00:00,50.521,50.521,50.521,50.521,943,0
2014-02-12,17:00:00,50.521,50.541,50.521,50.541,6666,0
2014-02-12,18:00:00,50.541,50.541,50.511,50.521,13059,0
2014-02-12,19:00:00,50.541,50.541,50.521,50.541,6513,0
2014-02-12,20:00:00,50.541,50.541,50.521,50.521,24931,0
2014-02-12,21:00:00,50.521,50.531,50.501,50.511,76405,0
2014-02-12,22:00:00,50.511,50.531,50.511,50.521,8405,0
2014-02-13,16:00:00,50.55,50.55,50.531,50.55,5241,0
2014-02-13,17:00:00,50.531,50.56,50.531,50.56,3144,0
2014-02-13,18:00:00,50.56,50.56,50.541,50.541,6193,0
2014-02-13,19:00:00,50.55,50.55,50.541,50.541,10882,0
2014-02-13,20:00:00,50.56,50.56,50.541,50.541,5958,0
2014-02-13,21:00:00,50.531,50.56,50.531,50.56,13035,0
2014-02-13,22:00:00,50.56,50.56,50.541,50.56,24529,0
2014-02-14,16:00:00,50.55,50.56,50.541,50.56,3736,0
2014-02-14,17:00:00,50.55,50.56,50.541,50.56,10644,0
2014-02-14,18:00:00,50.541,50.56,50.541,50.56,7721,0
2014-02-14,19:00:00,50.56,50.56,50.55,50.55,4974,0
2014-02-14,20:00:00,50.541,50.56,50.541,50.541,11724,0
2014-02-14,21:00:00,50.56,50.56,50.541,50.541,14229,0
2014-02-14,22:00:00,50.541,50.56,50.541,50.541,7454,0
2014-02-18,16:00:00,50.56,50.57,50.55,50.55,4823,0
2014-02-18,17:00:00,50.56,50.58,50.55,50.56,10585,0
2014-02-18,18:00:00,50.58,50.58,50.56,50.56,13869,0
2014-02-18,19:00:00,50.56,50.59,50.56,50.58,10835,0
2014-02-18,20:00:00,50.58,50.58,50.57,50.57,18382,0
2014-02-18,21:00:00,50.57,50.58,50.57,50.58,23244,0
2014-02-18,22:00:00,50.58,50.58,50.57,50.57,9128,0
2014-02-19,17:00:00,50.57,50.58,50.56,50.56,13652,0
2014-02-19,18:00:00,50.57,50.57,50.56,50.56,4820,0
2014-02-19,19:00:00,50.57,50.57,50.56,50.57,16876,0
2014-02-19,20:00:00,50.56,50.57,50.56,50.57,5587,0
2014-02-19,21:00:00,50.57,50.57,50.56,50.56,19135,0
2014-02-19,22:00:00,50.56,50.57,50.56,50.57,5561,0
2014-02-20,16:00:00,50.56,50.56,50.531,50.56,2708,0
2014-02-20,17:00:00,50.55,50.55,50.531,50.55,22163,0
2014-02-20,18:00:00,50.541,50.56,50.541,50.56,6251,0
2014-02-20,19:00:00,50.56,50.56,50.541,50.541,6707,0
2014-02-20,20:00:00,50.55,50.55,50.541,50.541,24264,0
2014-02-20,21:00:00,50.55,50.55,50.531,50.531,13692,0
2014-02-20,22:00:00,50.55,50.56,50.531,50.56,10515,0
2014-02-21,16:00:00,50.531,50.531,50.531,50.531,2502,0
2014-02-21,17:00:00,50.55,50.55,50.531,50.55,3944,0
2014-02-21,18:00:00,50.531,50.55,50.531,50.531,20767,0
2014-02-21,19:00:00,50.55,50.55,50.531,50.531,3233,0
2014-02-21,20:00:00,50.531,50.55,50.531,50.55,8211,0
2014-02-21,21:00:00,50.531,50.56,50.531,50.56,6656,0
2014-02-21,22:00:00,50.541,50.56,50.531,50.531,2767,0
2014-02-24,16:00:00,50.541,50.55,50.541,50.55,5204,0
2014-02-24,17:00:00,50.541,50.56,50.541,50.55,8573,0
