Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,36.7,36.7,36.03,36.03,11900,0
2014-02-10,17:00:00,36.09,36.26,35.95,36.14,30895,0
2014-02-10,18:00:00,36.07,36.17,35.94,36.13,5110,0
2014-02-10,19:00:00,36.13,36.15,36.07,36.15,900,0
2014-02-10,20:00:00,36.23,36.26,36.21,36.23,7200,0
2014-02-10,21:00:00,36.07,36.07,35.93,36.04,11055,0
2014-02-10,22:00:00,36.05,36.1,35.89,35.97,30455,0
2014-02-11,16:00:00,35.63,35.68,35.18,35.43,12395,0
2014-02-11,17:00:00,35.49,35.49,35,35.15,35784,0
2014-02-11,18:00:00,35.15,35.24,34.83,34.9,31403,0
2014-02-11,19:00:00,34.85,34.97,34.79,34.8,15784,0
2014-02-11,20:00:00,34.75,34.75,34.41,34.55,20667,0
2014-02-11,21:00:00,34.62,34.64,34.44,34.5,11265,0
2014-02-11,22:00:00,34.48,34.67,34.35,34.59,29818,0
2014-02-12,16:00:00,34.21,34.21,33.6,33.62,22212,0
2014-02-12,17:00:00,33.62,34.03,33.53,34.02,20867,0
2014-02-12,18:00:00,33.96,34.19,33.9,34.05,12950,0
2014-02-12,19:00:00,33.95,33.96,33.79,33.82,5364,0
2014-02-12,20:00:00,33.8,33.82,33.69,33.73,4100,0
2014-02-12,21:00:00,33.65,33.84,33.54,33.75,11150,0
2014-02-12,22:00:00,33.71,33.77,33.6,33.68,22048,0
2014-02-13,16:00:00,34.22,34.23,33.5,33.65,24686,0
2014-02-13,17:00:00,33.65,33.65,32.84,32.88,54063,0
2014-02-13,18:00:00,32.86,32.93,32.75,32.93,15274,0
2014-02-13,19:00:00,33,33,32.8,32.8,8147,0
2014-02-13,20:00:00,32.78,32.78,32.47,32.5,20135,0
2014-02-13,21:00:00,32.48,32.76,32.47,32.69,5607,0
2014-02-13,22:00:00,32.61,32.61,32.48,32.49,17199,0
2014-02-14,16:00:00,32.6,32.83,32.57,32.75,14810,0
2014-02-14,17:00:00,32.89,32.89,32.25,32.53,31299,0
2014-02-14,18:00:00,32.54,32.55,32.11,32.11,7830,0
2014-02-14,19:00:00,32.13,32.16,31.97,31.97,11789,0
2014-02-14,20:00:00,31.92,31.92,31.8,31.81,5365,0
2014-02-14,21:00:00,31.83,31.89,31.75,31.89,4950,0
2014-02-14,22:00:00,31.84,31.92,31.84,31.9,13154,0
2014-02-18,16:00:00,31.81,32.13,31.8,32.09,11551,0
2014-02-18,17:00:00,32.16,32.33,31.86,31.98,10324,0
2014-02-18,18:00:00,31.96,31.96,31.67,31.72,4467,0
2014-02-18,19:00:00,31.75,31.79,31.69,31.7,4149,0
2014-02-18,20:00:00,31.72,31.75,31.69,31.7,5640,0
2014-02-18,21:00:00,31.7,31.74,31.65,31.74,6713,0
2014-02-18,22:00:00,31.72,31.72,31.55,31.63,8622,0
2014-02-19,16:00:00,31.93,31.98,31.5,31.63,9295,0
2014-02-19,17:00:00,31.67,31.67,31.29,31.4,14319,0
2014-02-19,18:00:00,31.39,31.45,31.26,31.45,20470,0
2014-02-19,19:00:00,31.69,31.75,31.57,31.64,7763,0
2014-02-19,20:00:00,31.4,31.46,31.36,31.43,1900,0
2014-02-19,21:00:00,31.47,31.54,31.27,31.46,11050,0
2014-02-19,22:00:00,31.47,31.81,31.47,31.69,33054,0
2014-02-20,16:00:00,31.55,31.68,31.19,31.64,9300,0
2014-02-20,17:00:00,31.81,31.81,31.3,31.49,14315,0
2014-02-20,18:00:00,31.45,31.56,31.45,31.47,4020,0
