Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,8.93,8.94,8.9,8.91,23711,0
2014-02-10,17:00:00,8.91,8.93,8.9,8.9,23437,0
2014-02-10,18:00:00,8.92,8.92,8.9,8.91,29663,0
2014-02-10,19:00:00,8.93,8.93,8.89,8.9,23838,0
2014-02-10,20:00:00,8.9,8.92,8.89,8.9,13900,0
2014-02-10,21:00:00,8.9,8.9,8.89,8.89,14940,0
2014-02-10,22:00:00,8.89,8.9,8.88,8.89,14932,0
2014-02-11,16:00:00,8.92,8.94,8.91,8.94,4869,0
2014-02-11,17:00:00,8.94,8.94,8.91,8.93,8594,0
2014-02-11,18:00:00,8.93,8.94,8.92,8.92,29320,0
2014-02-11,19:00:00,8.92,8.94,8.91,8.91,15497,0
2014-02-11,20:00:00,8.91,8.92,8.9,8.9,11677,0
2014-02-11,21:00:00,8.9,8.94,8.9,8.91,15173,0
2014-02-11,22:00:00,8.91,8.92,8.9,8.91,23931,0
2014-02-12,16:00:00,9,9.01,8.98,8.99,7001,0
2014-02-12,17:00:00,9,9.05,9,9.04,16200,0
2014-02-12,18:00:00,9.05,9.05,9.04,9.04,7140,0
2014-02-12,19:00:00,9.05,9.05,9.04,9.05,9270,0
2014-02-12,20:00:00,9.04,9.05,9.03,9.03,5336,0
2014-02-12,21:00:00,9.04,9.05,9.02,9.04,7300,0
2014-02-12,22:00:00,9.04,9.04,9.02,9.03,20904,0
2014-02-13,16:00:00,8.97,9.02,8.97,9,3811,0
2014-02-13,17:00:00,9.02,9.04,9.02,9.04,3760,0
2014-02-13,18:00:00,9.03,9.07,9.02,9.07,6620,0
2014-02-13,19:00:00,9.06,9.07,9.06,9.07,7817,0
2014-02-13,20:00:00,9.09,9.09,9.08,9.09,4651,0
2014-02-13,21:00:00,9.09,9.09,9.08,9.09,6500,0
2014-02-13,22:00:00,9.09,9.09,9.08,9.08,13636,0
2014-02-14,16:00:00,9.19,9.19,9.15,9.19,13911,0
2014-02-14,17:00:00,9.19,9.19,9.15,9.15,19001,0
2014-02-14,18:00:00,9.16,9.16,9.14,9.15,19856,0
2014-02-14,19:00:00,9.15,9.18,9.15,9.16,4540,0
2014-02-14,20:00:00,9.17,9.18,9.14,9.16,16714,0
2014-02-14,21:00:00,9.16,9.17,9.15,9.16,9176,0
2014-02-14,22:00:00,9.16,9.17,9.15,9.17,7693,0
2014-02-18,16:00:00,9.16,9.17,9.15,9.15,46908,0
2014-02-18,17:00:00,9.16,9.22,9.16,9.21,62337,0
2014-02-18,18:00:00,9.21,9.21,9.2,9.21,18170,0
2014-02-18,19:00:00,9.21,9.21,9.2,9.2,9877,0
2014-02-18,20:00:00,9.2,9.22,9.2,9.22,45902,0
2014-02-18,21:00:00,9.18,9.2,9.17,9.18,4890,0
2014-02-18,22:00:00,9.19,9.2,9.17,9.17,11820,0
2014-02-19,16:00:00,9.21,9.23,9.2,9.21,7567,0
2014-02-19,17:00:00,9.23,9.24,9.21,9.23,9539,0
2014-02-19,18:00:00,9.24,9.24,9.2,9.2,6650,0
2014-02-19,19:00:00,9.18,9.2,9.18,9.2,2760,0
2014-02-19,20:00:00,9.21,9.21,9.2,9.2,21600,0
2014-02-19,21:00:00,9.2,9.2,9.15,9.17,13470,0
2014-02-19,22:00:00,9.17,9.17,9.1,9.1,47210,0
2014-02-20,16:00:00,9.14,9.16,9.11,9.11,2500,0
2014-02-20,17:00:00,9.15,9.16,9.13,9.13,18567,0
2014-02-20,18:00:00,9.14,9.14,9.12,9.12,7863,0
2014-02-20,19:00:00,9.12,9.14,9.11,9.13,3840,0
2014-02-20,20:00:00,9.13,9.15,9.13,9.15,20458,0
2014-02-20,21:00:00,9.14,9.17,9.14,9.17,10818,0
2014-02-20,22:00:00,9.18,9.18,9.16,9.17,13443,0
2014-02-21,16:00:00,9.2,9.21,9.2,9.21,12566,0
2014-02-21,17:00:00,9.21,9.21,9.2,9.21,5938,0
2014-02-21,18:00:00,9.21,9.21,9.19,9.2,6250,0
2014-02-21,19:00:00,9.2,9.2,9.19,9.19,2225,0
2014-02-21,20:00:00,9.2,9.24,9.2,9.23,5240,0
2014-02-21,21:00:00,9.22,9.22,9.21,9.21,7927,0
2014-02-21,22:00:00,9.21,9.23,9.21,9.22,3090,0
2014-02-24,16:00:00,9.25,9.25,9.22,9.23,2940,0
2014-02-24,17:00:00,9.22,9.25,9.22,9.25,8692,0
2014-02-24,18:00:00,9.24,9.26,9.24,9.26,32245,0
2014-02-24,19:00:00,9.26,9.27,9.25,9.25,2733,0
2014-02-24,20:00:00,9.25,9.26,9.25,9.26,3170,0
2014-02-24,21:00:00,9.26,9.27,9.24,9.25,25923,0
2014-02-24,22:00:00,9.26,9.26,9.23,9.25,22201,0
2014-02-25,16:00:00,9.22,9.22,9.22,9.22,4560,0
2014-02-25,17:00:00,9.22,9.23,9.21,9.21,15204,0
2014-02-25,18:00:00,9.21,9.24,9.21,9.24,15602,0
2014-02-25,19:00:00,9.23,9.24,9.22,9.24,8620,0
2014-02-25,20:00:00,9.23,9.23,9.21,9.21,14600,0
2014-02-25,21:00:00,9.21,9.22,9.2,9.2,8828,0
2014-02-25,22:00:00,9.2,9.23,9.2,9.23,9960,0
2014-02-26,16:00:00,9.15,9.18,9.15,9.16,20787,0
2014-02-26,17:00:00,9.16,9.17,9.11,9.14,16808,0
2014-02-26,18:00:00,9.12,9.13,9.11,9.12,5351,0
2014-02-26,19:00:00,9.13,9.16,9.12,9.15,7912,0
2014-02-26,20:00:00,9.15,9.15,9.12,9.12,17563,0
2014-02-26,21:00:00,9.12,9.12,9.11,9.11,11308,0
2014-02-26,22:00:00,9.11,9.12,9.09,9.11,45798,0
2014-02-27,16:00:00,9.23,9.25,9.22,9.23,17999,0
2014-02-27,17:00:00,9.23,9.28,9.22,9.28,27186,0
2014-02-27,18:00:00,9.29,9.29,9.26,9.27,66989,0
2014-02-27,19:00:00,9.26,9.27,9.25,9.27,6580,0
2014-02-27,20:00:00,9.29,9.29,9.26,9.28,3529,0
2014-02-27,21:00:00,9.25,9.27,9.25,9.25,5710,0
2014-02-27,22:00:00,9.25,9.3,9.25,9.3,11496,0
2014-02-28,16:00:00,9.22,9.26,9.2,9.21,96212,0
2014-02-28,17:00:00,9.21,9.23,9.2,9.21,35775,0
2014-02-28,18:00:00,9.21,9.22,9.2,9.2,7200,0
2014-02-28,19:00:00,9.18,9.21,9.16,9.18,24376,0
2014-02-28,20:00:00,9.18,9.18,9.16,9.17,3300,0
2014-02-28,21:00:00,9.16,9.18,9.16,9.17,25150,0
2014-02-28,22:00:00,9.18,9.21,9.17,9.18,27691,0
2014-03-03,16:00:00,9.23,9.26,9.22,9.26,38992,0
2014-03-03,17:00:00,9.27,9.29,9.25,9.29,14400,0
2014-03-03,18:00:00,9.29,9.29,9.25,9.25,23289,0
2014-03-03,19:00:00,9.25,9.28,9.25,9.25,7390,0
2014-03-03,20:00:00,9.29,9.29,9.26,9.29,8100,0
2014-03-03,21:00:00,9.26,9.28,9.26,9.28,1607,0
2014-03-03,22:00:00,9.27,9.28,9.27,9.28,7464,0
2014-03-04,16:00:00,9.28,9.33,9.27,9.33,27838,0
2014-03-04,17:00:00,9.32,9.42,9.31,9.42,107748,0
2014-03-04,18:00:00,9.41,9.46,9.41,9.45,79019,0
2014-03-04,19:00:00,9.45,9.49,9.44,9.48,63495,0
2014-03-04,20:00:00,9.48,9.49,9.46,9.49,29333,0
2014-03-04,21:00:00,9.48,9.5,9.47,9.49,32308,0
2014-03-04,22:00:00,9.49,9.53,9.49,9.53,78665,0
2014-03-05,16:00:00,9.65,9.68,9.63,9.66,75830,0
2014-03-05,17:00:00,9.68,9.71,9.65,9.68,82372,0
2014-03-05,18:00:00,9.71,9.71,9.68,9.7,49855,0
2014-03-05,19:00:00,9.7,9.7,9.66,9.67,39588,0
2014-03-05,20:00:00,9.68,9.69,9.66,9.66,33296,0
2014-03-05,21:00:00,9.68,9.68,9.65,9.67,24810,0
2014-03-05,22:00:00,9.68,9.68,9.65,9.65,37267,0
2014-03-06,16:00:00,9.7,9.74,9.7,9.73,34021,0
2014-03-06,17:00:00,9.72,9.73,9.69,9.71,53852,0
2014-03-06,18:00:00,9.7,9.73,9.7,9.73,29274,0
2014-03-06,19:00:00,9.72,9.75,9.72,9.75,26808,0
2014-03-06,20:00:00,9.75,9.75,9.73,9.75,9960,0
2014-03-06,21:00:00,9.74,9.76,9.73,9.74,17315,0
2014-03-06,22:00:00,9.75,9.76,9.74,9.75,30170,0
2014-03-07,16:00:00,9.74,9.74,9.66,9.67,66014,0
2014-03-07,17:00:00,9.68,9.73,9.68,9.72,96456,0
2014-03-07,18:00:00,9.7,9.77,9.7,9.76,105705,0
2014-03-07,19:00:00,9.76,9.79,9.75,9.79,94824,0
2014-03-07,20:00:00,9.78,9.81,9.78,9.81,111972,0
2014-03-07,21:00:00,9.81,9.82,9.8,9.82,80193,0
2014-03-07,22:00:00,9.82,9.83,9.81,9.82,83725,0
2014-03-10,15:00:00,9.93,9.94,9.8,9.82,71898,0
2014-03-10,16:00:00,9.81,9.84,9.8,9.81,35062,0
2014-03-10,17:00:00,9.83,9.86,9.81,9.82,34610,0
2014-03-10,18:00:00,9.82,9.84,9.82,9.84,33485,0
2014-03-10,19:00:00,9.84,9.84,9.82,9.83,19274,0
2014-03-10,20:00:00,9.84,9.85,9.82,9.84,26654,0
2014-03-10,21:00:00,9.85,9.85,9.82,9.84,42337,0
2014-03-11,15:00:00,9.85,9.85,9.83,9.85,10942,0
2014-03-11,16:00:00,9.84,9.85,9.8,9.81,21620,0
2014-03-11,17:00:00,9.8,9.82,9.7,9.7,46083,0
2014-03-11,18:00:00,9.73,9.76,9.7,9.72,35934,0
2014-03-11,19:00:00,9.72,9.73,9.71,9.73,13110,0
2014-03-11,20:00:00,9.73,9.73,9.69,9.69,59325,0
2014-03-11,21:00:00,9.69,9.72,9.69,9.71,13527,0
2014-03-12,15:00:00,9.89,9.89,9.8,9.83,14846,0
2014-03-12,16:00:00,9.8,9.83,9.76,9.81,30697,0
2014-03-12,17:00:00,9.81,9.84,9.8,9.81,21500,0
2014-03-12,18:00:00,9.8,9.82,9.8,9.81,19374,0
2014-03-12,19:00:00,9.82,9.86,9.81,9.83,13675,0
2014-03-12,20:00:00,9.82,9.84,9.81,9.84,8271,0
2014-03-12,21:00:00,9.83,9.84,9.83,9.84,30897,0
2014-03-13,15:00:00,9.9,9.9,9.83,9.84,19987,0
2014-03-13,16:00:00,9.85,9.86,9.83,9.83,21032,0
2014-03-13,17:00:00,9.83,9.84,9.83,9.84,22873,0
2014-03-13,18:00:00,9.84,9.87,9.83,9.85,13470,0
2014-03-13,19:00:00,9.85,9.86,9.83,9.85,6966,0
2014-03-13,20:00:00,9.83,9.86,9.83,9.85,5550,0
2014-03-13,21:00:00,9.85,9.85,9.82,9.84,28761,0
2014-03-14,15:00:00,9.87,9.9,9.85,9.86,16766,0
2014-03-14,16:00:00,9.86,9.86,9.8,9.8,32205,0
2014-03-14,17:00:00,9.82,9.82,9.8,9.8,17029,0
2014-03-14,18:00:00,9.8,9.8,9.76,9.78,12030,0
2014-03-14,19:00:00,9.78,9.81,9.78,9.81,15923,0
2014-03-14,20:00:00,9.79,9.81,9.79,9.81,37600,0
2014-03-14,21:00:00,9.79,9.81,9.77,9.78,9872,0
2014-03-17,15:00:00,10,10,9.8,9.82,9336,0
2014-03-17,16:00:00,9.82,9.82,9.81,9.82,9350,0
2014-03-17,17:00:00,9.81,9.82,9.8,9.82,23714,0
2014-03-17,18:00:00,9.8,9.82,9.8,9.8,6550,0
2014-03-17,19:00:00,9.81,9.82,9.8,9.82,7863,0
2014-03-17,20:00:00,9.82,9.82,9.77,9.77,10050,0
2014-03-17,21:00:00,9.77,9.79,9.77,9.79,14471,0
2014-03-18,15:00:00,9.81,9.82,9.7,9.7,28562,0
2014-03-18,16:00:00,9.72,9.72,9.65,9.65,24245,0
2014-03-18,17:00:00,9.66,9.74,9.66,9.74,15674,0
2014-03-18,18:00:00,9.71,9.75,9.7,9.75,15744,0
2014-03-18,19:00:00,9.74,9.75,9.72,9.72,2043,0
2014-03-18,20:00:00,9.73,9.73,9.71,9.72,14898,0
2014-03-18,21:00:00,9.74,9.75,9.72,9.74,12876,0
2014-03-19,15:00:00,9.83,9.83,9.69,9.7,10840,0
2014-03-19,16:00:00,9.7,9.7,9.66,9.67,25104,0
2014-03-19,17:00:00,9.69,9.7,9.66,9.69,3994,0
2014-03-19,18:00:00,9.67,9.69,9.67,9.67,3850,0
2014-03-19,19:00:00,9.69,9.69,9.67,9.68,6674,0
2014-03-19,20:00:00,9.67,9.68,9.67,9.67,5210,0
2014-03-19,21:00:00,9.69,9.69,9.65,9.68,26784,0
2014-03-20,15:00:00,9.63,9.65,9.55,9.55,30981,0
2014-03-20,16:00:00,9.58,9.63,9.56,9.57,18317,0
2014-03-20,17:00:00,9.59,9.65,9.59,9.64,15467,0
2014-03-20,18:00:00,9.65,9.69,9.65,9.67,7700,0
2014-03-20,19:00:00,9.67,9.7,9.66,9.67,22845,0
2014-03-20,20:00:00,9.68,9.7,9.64,9.68,25200,0
2014-03-20,21:00:00,9.66,9.68,9.62,9.64,26731,0
2014-03-21,15:00:00,9.76,9.87,9.76,9.8,8708,0
2014-03-21,16:00:00,9.8,9.8,9.76,9.77,29570,0
2014-03-21,17:00:00,9.79,9.79,9.76,9.79,3758,0
2014-03-21,18:00:00,9.78,9.81,9.78,9.8,4691,0
2014-03-21,19:00:00,9.8,9.8,9.78,9.79,7600,0
2014-03-21,20:00:00,9.8,9.8,9.78,9.8,18029,0
2014-03-21,21:00:00,9.8,9.85,9.78,9.85,25530,0
2014-03-24,15:00:00,9.9,9.96,9.9,9.92,8111,0
2014-03-24,16:00:00,9.92,9.92,9.75,9.75,26598,0
2014-03-24,17:00:00,9.8,9.8,9.7,9.72,26164,0
2014-03-24,18:00:00,9.73,9.8,9.73,9.8,14454,0
2014-03-24,19:00:00,9.79,9.81,9.77,9.78,12608,0
2014-03-24,20:00:00,9.79,9.81,9.77,9.81,22350,0
2014-03-24,21:00:00,9.81,9.81,9.78,9.81,19412,0
2014-03-26,15:00:00,9.76,9.77,9.7,9.7,24894,0
2014-03-26,16:00:00,9.76,9.76,9.61,9.61,4329,0
2014-03-26,17:00:00,9.61,9.67,9.61,9.66,3127,0
2014-03-26,18:00:00,9.66,9.66,9.61,9.62,17987,0
2014-03-26,19:00:00,9.62,9.63,9.6,9.61,7275,0
2014-03-26,20:00:00,9.61,9.63,9.6,9.61,28363,0
2014-03-26,21:00:00,9.61,9.64,9.6,9.63,20484,0
2014-03-27,15:00:00,9.66,9.66,9.51,9.55,26854,0
2014-03-27,16:00:00,9.55,9.55,9.49,9.51,62564,0
2014-03-27,17:00:00,9.51,9.53,9.45,9.45,35879,0
2014-03-27,18:00:00,9.45,9.46,9.41,9.42,28640,0
2014-03-27,19:00:00,9.43,9.46,9.43,9.44,15904,0
2014-03-27,20:00:00,9.43,9.45,9.42,9.44,16688,0
2014-03-27,21:00:00,9.44,9.49,9.43,9.48,15705,0
2014-03-28,15:00:00,9.52,9.6,9.51,9.54,15060,0
2014-03-28,16:00:00,9.52,9.6,9.52,9.6,7567,0
2014-03-28,17:00:00,9.55,9.58,9.55,9.57,13011,0
2014-03-28,18:00:00,9.57,9.57,9.55,9.57,9760,0
2014-03-28,19:00:00,9.55,9.57,9.55,9.57,11716,0
2014-03-28,20:00:00,9.57,9.57,9.56,9.57,6120,0
2014-03-28,21:00:00,9.57,9.58,9.56,9.56,28950,0
2014-03-31,16:00:00,9.65,9.65,9.59,9.61,24096,0
2014-03-31,17:00:00,9.62,9.69,9.61,9.65,16660,0
2014-03-31,18:00:00,9.68,9.68,9.62,9.64,7350,0
2014-03-31,19:00:00,9.64,9.65,9.62,9.63,6952,0
2014-03-31,20:00:00,9.62,9.69,9.62,9.65,10342,0
2014-03-31,21:00:00,9.65,9.69,9.62,9.66,14900,0
2014-03-31,22:00:00,9.65,9.67,9.61,9.61,26542,0
2014-04-01,16:00:00,9.67,9.79,9.67,9.68,8382,0
2014-04-01,17:00:00,9.73,9.77,9.67,9.68,40655,0
2014-04-01,18:00:00,9.77,9.77,9.63,9.68,9033,0
2014-04-01,19:00:00,9.69,9.7,9.65,9.7,11550,0
2014-04-01,20:00:00,9.7,9.7,9.65,9.69,9527,0
2014-04-01,21:00:00,9.66,9.72,9.66,9.71,19400,0
2014-04-01,22:00:00,9.67,9.71,9.67,9.7,13240,0
2014-04-02,16:00:00,9.83,9.83,9.78,9.78,8821,0
2014-04-02,17:00:00,9.78,9.79,9.76,9.78,7100,0
2014-04-02,18:00:00,9.78,9.82,9.77,9.79,18633,0
2014-04-02,19:00:00,9.79,9.8,9.77,9.79,11140,0
2014-04-02,20:00:00,9.78,9.78,9.76,9.78,19102,0
2014-04-02,21:00:00,9.77,9.77,9.72,9.73,19414,0
2014-04-02,22:00:00,9.75,9.75,9.73,9.74,18057,0
2014-04-03,16:00:00,9.79,9.82,9.72,9.75,14902,0
2014-04-03,17:00:00,9.75,9.78,9.75,9.78,3267,0
2014-04-03,18:00:00,9.78,9.83,9.77,9.77,7534,0
2014-04-03,19:00:00,9.81,9.82,9.8,9.81,5770,0
2014-04-03,20:00:00,9.81,9.81,9.78,9.8,14863,0
2014-04-03,21:00:00,9.79,9.8,9.78,9.8,14700,0
2014-04-03,22:00:00,9.78,9.8,9.78,9.8,9335,0
2014-04-04,16:00:00,9.77,9.83,9.73,9.8,9150,0
2014-04-04,17:00:00,9.8,9.8,9.75,9.75,30151,0
2014-04-04,18:00:00,9.79,9.79,9.77,9.79,3725,0
2014-04-04,19:00:00,9.79,9.79,9.77,9.78,15199,0
2014-04-04,20:00:00,9.77,9.79,9.77,9.79,5400,0
2014-04-04,21:00:00,9.77,9.77,9.76,9.77,3421,0
2014-04-04,22:00:00,9.76,9.77,9.76,9.77,12370,0
2014-04-07,16:00:00,9.76,9.77,9.7,9.74,12542,0
2014-04-07,17:00:00,9.73,9.73,9.7,9.7,2800,0
2014-04-07,18:00:00,9.7,9.71,9.6,9.6,9688,0
2014-04-07,19:00:00,9.6,9.64,9.56,9.61,23085,0
2014-04-07,20:00:00,9.61,9.61,9.58,9.61,18000,0
2014-04-07,21:00:00,9.59,9.6,9.58,9.6,14840,0
2014-04-07,22:00:00,9.59,9.6,9.56,9.56,20972,0
2014-04-08,16:00:00,9.65,9.68,9.62,9.66,9557,0
2014-04-08,17:00:00,9.63,9.65,9.63,9.64,9220,0
2014-04-08,18:00:00,9.64,9.68,9.64,9.68,20111,0
2014-04-08,19:00:00,9.67,9.67,9.66,9.66,6230,0
2014-04-08,20:00:00,9.66,9.67,9.66,9.66,2400,0
2014-04-08,21:00:00,9.67,9.68,9.67,9.67,1600,0
2014-04-08,22:00:00,9.68,9.87,9.67,9.87,13983,0
2014-04-09,16:00:00,9.82,9.82,9.64,9.66,5030,0
2014-04-09,17:00:00,9.65,9.68,9.64,9.66,27480,0
2014-04-09,18:00:00,9.66,9.68,9.65,9.65,10837,0
2014-04-09,19:00:00,9.67,9.71,9.67,9.7,3664,0
2014-04-09,20:00:00,9.69,9.69,9.67,9.67,6300,0
2014-04-09,21:00:00,9.67,9.7,9.67,9.7,11957,0
2014-04-09,22:00:00,9.7,9.7,9.69,9.69,13441,0
2014-04-10,16:00:00,9.77,9.8,9.77,9.78,9426,0
