Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,2.2,2.31,2.2,2.31,178547,0
2014-02-10,17:00:00,2.31,2.4,2.28,2.32,288168,0
2014-02-10,18:00:00,2.32,2.36,2.26,2.33,171868,0
2014-02-10,19:00:00,2.34,2.36,2.31,2.34,73170,0
2014-02-10,20:00:00,2.36,2.36,2.34,2.35,38022,0
2014-02-10,21:00:00,2.36,2.36,2.33,2.34,55081,0
2014-02-10,22:00:00,2.35,2.35,2.32,2.33,94261,0
2014-02-11,16:00:00,2.36,2.43,2.36,2.42,77486,0
2014-02-11,17:00:00,2.41,2.47,2.41,2.45,193206,0
2014-02-11,18:00:00,2.45,2.48,2.43,2.46,119180,0
2014-02-11,19:00:00,2.47,2.47,2.41,2.44,95930,0
2014-02-11,20:00:00,2.44,2.44,2.36,2.37,109738,0
2014-02-11,21:00:00,2.38,2.41,2.35,2.37,67390,0
2014-02-11,22:00:00,2.38,2.39,2.36,2.36,90283,0
2014-02-12,16:00:00,2.38,2.4,2.32,2.37,35346,0
2014-02-12,17:00:00,2.37,2.37,2.28,2.33,219514,0
2014-02-12,18:00:00,2.34,2.34,2.31,2.33,45290,0
2014-02-12,19:00:00,2.33,2.34,2.32,2.34,23963,0
2014-02-12,20:00:00,2.33,2.36,2.33,2.35,10722,0
2014-02-12,21:00:00,2.36,2.36,2.33,2.35,26339,0
2014-02-12,22:00:00,2.33,2.33,2.27,2.29,63795,0
2014-02-13,16:00:00,2.25,2.31,2.2,2.31,104976,0
2014-02-13,17:00:00,2.32,2.36,2.3,2.34,71192,0
2014-02-13,18:00:00,2.34,2.34,2.3,2.34,24800,0
2014-02-13,19:00:00,2.34,2.35,2.33,2.35,64093,0
2014-02-13,20:00:00,2.35,2.4,2.35,2.4,63054,0
2014-02-13,21:00:00,2.38,2.4,2.35,2.36,44827,0
2014-02-13,22:00:00,2.37,2.39,2.35,2.36,42566,0
2014-02-14,16:00:00,2.44,2.52,2.44,2.52,91063,0
2014-02-14,17:00:00,2.52,2.52,2.48,2.5,186098,0
2014-02-14,18:00:00,2.49,2.51,2.48,2.51,84494,0
2014-02-14,19:00:00,2.51,2.52,2.5,2.52,88808,0
2014-02-14,20:00:00,2.52,2.57,2.52,2.54,84909,0
2014-02-14,21:00:00,2.54,2.56,2.52,2.56,87668,0
2014-02-14,22:00:00,2.56,2.59,2.56,2.59,133865,0
2014-02-18,16:00:00,2.7,2.78,2.65,2.76,259330,0
2014-02-18,17:00:00,2.75,2.76,2.68,2.7,265137,0
2014-02-18,18:00:00,2.68,2.72,2.66,2.67,164256,0
2014-02-18,19:00:00,2.68,2.69,2.65,2.69,111408,0
2014-02-18,20:00:00,2.69,2.7,2.66,2.67,93721,0
2014-02-18,21:00:00,2.67,2.68,2.66,2.66,77261,0
2014-02-18,22:00:00,2.67,2.68,2.65,2.66,76790,0
2014-02-19,16:00:00,2.61,2.63,2.58,2.59,115145,0
