Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,18:00:00,27.96,27.97,27.95,27.95,1398,0
2014-02-10,19:00:00,27.96,27.96,27.94,27.94,6390,0
2014-02-10,22:00:00,27.94,27.97,27.94,27.97,8999,0
2014-02-11,16:00:00,27.94,27.94,27.94,27.94,450,0
2014-02-11,17:00:00,27.95,27.95,27.95,27.95,200,0
2014-02-11,18:00:00,27.95,27.95,27.95,27.95,100,0
2014-02-11,19:00:00,27.95,27.95,27.94,27.94,500,0
2014-02-11,20:00:00,27.95,27.95,27.94,27.94,200,0
2014-02-11,21:00:00,27.94,27.94,27.94,27.94,700,0
2014-02-11,22:00:00,27.95,27.95,27.94,27.94,1200,0
2014-02-12,16:00:00,27.97,27.97,27.96,27.96,425,0
2014-02-12,18:00:00,27.96,27.96,27.94,27.94,570,0
2014-02-12,19:00:00,27.96,27.96,27.94,27.94,55852,0
2014-02-12,20:00:00,27.94,27.95,27.94,27.94,861,0
2014-02-12,21:00:00,27.95,27.95,27.95,27.95,600,0
2014-02-12,22:00:00,27.94,27.94,27.94,27.94,482,0
2014-02-13,18:00:00,27.96,27.97,27.96,27.97,6355,0
2014-02-13,19:00:00,27.97,27.97,27.97,27.97,400,0
2014-02-13,20:00:00,27.97,27.97,27.97,27.97,635,0
2014-02-13,21:00:00,27.97,27.97,27.96,27.97,2886,0
2014-02-13,22:00:00,27.97,27.97,27.96,27.97,5947,0
2014-02-14,17:00:00,27.96,27.96,27.95,27.95,7250,0
2014-02-14,18:00:00,27.94,27.96,27.94,27.95,11202,0
2014-02-14,19:00:00,27.96,27.97,27.96,27.97,18771,0
2014-02-14,20:00:00,27.97,27.97,27.97,27.97,4919,0
2014-02-14,21:00:00,27.97,27.98,27.97,27.98,3229,0
2014-02-14,22:00:00,27.98,28.28,27.98,28.15,35714,0
2014-02-18,16:00:00,27.95,27.95,27.95,27.95,2700,0
2014-02-18,17:00:00,27.96,27.96,27.96,27.96,1368,0
2014-02-18,18:00:00,27.96,27.96,27.94,27.94,2082,0
2014-02-18,19:00:00,27.94,27.96,27.94,27.96,6143,0
2014-02-18,20:00:00,27.96,27.96,27.95,27.96,1125,0
