Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-11,16:00:00,37.85,37.86,37.75,37.75,3759,0
2014-02-11,22:00:00,37.75,37.75,37.75,37.75,200,0
2014-02-12,19:00:00,37.44,37.44,37.34,37.34,500,0
2014-02-13,18:00:00,37.84,37.84,37.84,37.84,1200,0
2014-02-13,19:00:00,37.86,37.86,37.86,37.86,1160,0
2014-02-18,16:00:00,37.99,37.99,37.99,37.99,806,0
2014-02-18,18:00:00,38.09,38.15,38.09,38.15,660,0
2014-02-18,21:00:00,38.11,38.11,38.11,38.11,126,0
2014-02-18,22:00:00,38.09,38.09,38.09,38.09,303,0
2014-02-21,21:00:00,37.89,37.89,37.87,37.87,403,0
2014-02-24,18:00:00,37.8,37.8,37.8,37.8,700,0
2014-02-25,16:00:00,38.05,38.05,38.05,38.05,846,0
2014-02-26,16:00:00,38.24,38.38,38.24,38.38,1730,0
2014-02-26,17:00:00,38.21,38.21,38.21,38.21,1200,0
2014-02-27,19:00:00,38.62,38.62,38.62,38.62,800,0
2014-02-27,20:00:00,38.69,38.69,38.69,38.69,300,0
2014-02-28,16:00:00,38.43,38.43,38.29,38.29,1069,0
2014-02-28,17:00:00,38.24,38.24,38.24,38.24,300,0
2014-02-28,18:00:00,38.28,38.28,38.28,38.28,300,0
2014-02-28,22:00:00,38.52,38.52,38.52,38.52,600,0
2014-03-03,16:00:00,38.91,38.91,38.8,38.8,3200,0
2014-03-03,18:00:00,39.02,39.04,39.02,39.04,4500,0
2014-03-04,18:00:00,38.41,38.41,38.41,38.41,770,0
2014-03-04,20:00:00,38.36,38.39,38.34,38.34,11750,0
2014-03-05,19:00:00,38.27,38.27,38.27,38.27,300,0
2014-03-06,18:00:00,37.81,37.81,37.81,37.81,800,0
2014-03-06,19:00:00,37.99,37.99,37.98,37.98,1405,0
2014-03-07,17:00:00,37.3,37.33,37.3,37.33,456,0
2014-03-07,19:00:00,37.34,37.38,37.34,37.38,1270,0
2014-03-07,21:00:00,37.4,37.4,37.4,37.4,500,0
2014-03-11,18:00:00,37.57,37.57,37.57,37.57,528,0
2014-03-11,21:00:00,37.62,37.62,37.62,37.62,4292,0
2014-03-13,18:00:00,38.59,38.59,38.59,38.59,1230,0
2014-03-13,19:00:00,38.65,38.66,38.64,38.64,13534,0
2014-03-17,15:00:00,38.37,38.37,38.37,38.37,200,0
2014-03-17,20:00:00,38.34,38.35,38.34,38.35,3000,0
2014-03-19,15:00:00,38.4,38.4,38.4,38.4,200,0
2014-03-19,20:00:00,37.87,37.87,37.66,37.66,800,0
2014-03-19,21:00:00,37.57,37.57,37.57,37.57,872,0
2014-03-21,15:00:00,37.46,37.48,37.46,37.48,200,0
2014-03-21,16:00:00,37.54,37.54,37.54,37.54,100,0
2014-03-21,17:00:00,37.57,37.57,37.55,37.55,200,0
2014-03-21,18:00:00,37.57,37.57,37.57,37.57,100,0
2014-03-21,19:00:00,37.59,37.7,37.59,37.7,200,0
2014-03-21,20:00:00,37.67,37.67,37.65,37.65,320,0
2014-03-21,21:00:00,37.64,37.68,37.64,37.68,300,0
2014-03-24,16:00:00,37.57,37.57,37.57,37.57,150,0
2014-03-24,19:00:00,37.7,37.7,37.7,37.7,240,0
2014-03-24,20:00:00,37.67,37.67,37.67,37.67,300,0
2014-03-25,15:00:00,36.57,36.57,36.57,36.57,150,0
2014-03-25,16:00:00,41.98,41.98,37.45,37.45,2500,0
2014-03-25,17:00:00,37.7,37.7,37.7,37.7,100,0
2014-03-25,20:00:00,37.75,37.75,37.75,37.75,100,0
2014-03-26,15:00:00,37.65,37.65,37.65,37.65,100,0
2014-03-26,20:00:00,37.99,38.02,37.99,38.02,593,0
2014-03-27,20:00:00,38.32,38.32,38.32,38.32,1000,0
2014-03-28,15:00:00,38.1,38.1,38.1,38.1,5000,0
2014-03-28,17:00:00,37.88,37.88,37.67,37.68,2000,0
2014-03-31,17:00:00,37.56,37.56,37.56,37.56,100,0
2014-04-01,16:00:00,37.63,37.64,37.55,37.64,4087,0
2014-04-01,17:00:00,37.63,37.63,37.54,37.54,1702,0
2014-04-01,21:00:00,37.59,37.61,37.57,37.57,1700,0
2014-04-01,22:00:00,37.62,37.62,37.62,37.62,502,0
2014-04-02,17:00:00,37.1,37.1,37.1,37.1,200,0
2014-04-03,16:00:00,37.11,37.11,37.11,37.11,100,0
2014-04-03,20:00:00,37.2,37.2,37.2,37.2,150,0
2014-04-03,21:00:00,37.27,37.27,37.26,37.26,686,0
2014-04-04,16:00:00,37.51,37.58,37.51,37.58,200,0
2014-04-04,17:00:00,37.55,37.71,37.55,37.71,850,0
2014-04-04,18:00:00,37.76,37.8,37.76,37.8,700,0
2014-04-04,19:00:00,37.83,37.83,37.83,37.83,800,0
2014-04-04,21:00:00,37.79,37.79,37.79,37.79,300,0
2014-04-04,22:00:00,37.86,37.87,37.86,37.87,2701,0
2014-04-07,16:00:00,38.06,38.15,38.06,38.14,879,0
2014-04-07,17:00:00,38.06,38.06,38.06,38.06,600,0
2014-04-07,18:00:00,38.16,38.16,38.16,38.16,400,0
2014-04-07,20:00:00,38.1,38.1,38.1,38.1,100,0
2014-04-08,17:00:00,37.96,37.96,37.96,37.96,600,0
2014-04-08,18:00:00,38.02,38.02,38.02,38.02,200,0
