Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,17:00:00,17.87,17.87,17.82,17.87,3200,0
2014-02-10,18:00:00,17.05,17.08,17.05,17.08,2600,0
2014-02-11,18:00:00,17.3,17.3,17.3,17.3,100,0
2014-02-11,19:00:00,17.3,17.3,17.29,17.29,200,0
2014-02-12,18:00:00,17.2,17.2,17.2,17.2,100,0
2014-02-14,17:00:00,17.45,17.45,17.45,17.45,100,0
2014-02-14,19:00:00,17.31,17.31,17.31,17.31,200,0
2014-02-18,16:00:00,17.5,17.5,17.5,17.5,200,0
2014-02-19,17:00:00,17.59,17.59,17.59,17.59,100,0
2014-02-19,19:00:00,17.58,17.58,17.58,17.58,100,0
2014-02-21,17:00:00,17.88,17.88,17.88,17.88,180,0
2014-02-21,22:00:00,17.5,17.5,17.5,17.5,380,0
2014-02-24,16:00:00,17.88,17.88,17.88,17.88,1000,0
2014-02-24,17:00:00,17.62,17.63,17.61,17.62,1300,0
2014-02-24,18:00:00,16.98,17.01,16.96,17.01,550,0
2014-02-25,17:00:00,17.92,17.92,17.92,17.92,100,0
2014-02-26,22:00:00,17.08,17.08,17.08,17.08,200,0
2014-02-28,22:00:00,17.19,17.43,17.19,17.43,700,0
2014-03-03,17:00:00,17.86,17.86,17.86,17.86,100,0
2014-03-04,22:00:00,17.39,17.39,17.13,17.13,200,0
2014-03-05,21:00:00,17.31,17.31,17.31,17.31,200,0
2014-03-05,22:00:00,17.43,17.68,17.43,17.68,900,0
2014-03-06,17:00:00,17.79,17.79,17.79,17.79,200,0
2014-03-06,18:00:00,17.87,17.87,17.87,17.87,100,0
2014-03-06,19:00:00,17.87,17.87,17.87,17.87,2000,0
2014-03-06,21:00:00,17.87,17.97,17.87,17.97,965,0
2014-03-07,17:00:00,17.97,17.97,17.72,17.72,300,0
2014-03-07,18:00:00,17.7,17.7,17.7,17.7,2000,0
2014-03-10,15:00:00,17.12,17.12,17.12,17.12,3500,0
2014-03-10,18:00:00,17.47,17.47,17.47,17.47,100,0
2014-03-12,17:00:00,17.45,17.45,17.45,17.45,1500,0
2014-03-12,18:00:00,17.63,17.63,17.63,17.63,1100,0
2014-03-12,19:00:00,17.81,17.96,17.8,17.89,2013,0
2014-03-13,15:00:00,17.82,17.82,17.82,17.82,1400,0
2014-03-14,15:00:00,17.7,17.7,17,17,2600,0
2014-03-14,19:00:00,17.55,17.55,17.55,17.55,200,0
2014-03-19,20:00:00,17.28,17.28,17.28,17.28,100,0
2014-03-19,21:00:00,17.51,17.51,17.51,17.51,100,0
2014-03-24,20:00:00,17.55,17.56,17.55,17.56,800,0
2014-03-25,15:00:00,17.56,17.56,17.56,17.56,100,0
2014-03-28,21:00:00,17.57,17.57,17.57,17.57,100,0
2014-03-31,22:00:00,17.5,18,17.5,18,700,0
2014-04-04,20:00:00,17.89,17.89,17.62,17.62,1424,0
2014-04-08,21:00:00,17.12,17.12,17.08,17.11,1000,0
2014-04-09,17:00:00,17.11,17.11,17.11,17.11,199,0
2014-04-11,21:00:00,17.15,18.03,17.15,18.03,900,0
2014-04-15,18:00:00,18,18,18,18,100,0
2014-04-15,21:00:00,17.88,17.88,17.88,17.88,200,0
2014-04-16,16:00:00,17.88,17.88,17.88,17.88,100,0
2014-04-21,19:00:00,17.75,17.75,17.75,17.75,200,0
2014-04-24,19:00:00,17.6,17.66,17.5,17.57,10183,0
2014-04-24,21:00:00,17.55,17.72,17.55,17.67,5500,0
2014-04-28,16:00:00,17.9,17.9,17.9,17.9,298,0
2014-04-28,17:00:00,17.8,17.8,17.8,17.8,1000,0
2014-04-28,22:00:00,17.8,17.8,17.8,17.8,100,0
2014-04-29,22:00:00,17.86,17.86,17.86,17.86,112,0
2014-04-30,20:00:00,17.45,17.45,17.45,17.45,200,0
2014-04-30,22:00:00,17.64,17.64,17.64,17.64,200,0
2014-05-01,18:00:00,17.98,18.05,17.79,18.05,1550,0
2014-05-01,19:00:00,17.78,17.78,17.78,17.78,100,0
2014-05-05,20:00:00,17.61,17.61,17.59,17.59,550,0
2014-05-07,16:00:00,17.77,18,17.77,17.91,1500,0
2014-05-07,19:00:00,17.83,18.05,17.83,18.03,800,0
2014-05-07,22:00:00,18.04,18.04,18.04,18.04,150,0
