Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-13,16:00:00,23.16,23.16,23.16,23.16,300,0
2014-02-13,21:00:00,23.04,23.04,23.04,23.04,200,0
2014-02-21,17:00:00,23.99,23.99,23.99,23.99,200,0
2014-02-21,22:00:00,23.84,23.84,23.84,23.84,100,0
2014-02-24,16:00:00,24,24,24,24,1000,0
2014-02-26,16:00:00,23.83,23.92,23.83,23.92,300,0
2014-02-26,21:00:00,23.9,24.08,23.89,23.99,600,0
2014-02-28,20:00:00,26,26,25.5,26,2000,0
2014-02-28,22:00:00,24.32,24.32,24.32,24.32,100,0
2014-03-03,16:00:00,24.45,24.45,24.45,24.45,1700,0
2014-03-03,21:00:00,24.68,24.68,24.68,24.68,400,0
2014-03-07,16:00:00,26.5,26.5,25.95,25.95,400,0
2014-03-07,18:00:00,25.27,25.27,25.27,25.27,200,0
2014-03-07,20:00:00,25.2,25.2,25.2,25.2,202,0
2014-03-10,19:00:00,25.21,25.21,25.21,25.21,200,0
2014-03-10,20:00:00,25.99,26.76,25.28,25.48,900,0
2014-03-10,21:00:00,25.35,25.35,25.35,25.35,100,0
2014-03-12,16:00:00,25.59,25.59,25.55,25.55,1934,0
2014-03-12,21:00:00,25.58,25.59,24.8,24.8,2000,0
2014-03-13,21:00:00,26.09,26.85,25.68,25.87,2900,0
2014-03-17,15:00:00,26.25,26.25,26.25,26.25,4500,0
2014-03-18,16:00:00,26,26,26,26,3000,0
2014-03-20,16:00:00,26,26,26,26,500,0
2014-03-20,17:00:00,26,26,26,26,1000,0
2014-03-20,18:00:00,25.96,25.96,25.96,25.96,100,0
2014-03-20,19:00:00,25.93,25.93,25.93,25.93,252,0
2014-03-21,16:00:00,25.68,25.68,25.6,25.6,1000,0
2014-03-21,21:00:00,25.6,25.6,25.57,25.57,200,0
2014-03-26,20:00:00,25.72,25.72,25.72,25.72,150,0
2014-04-01,18:00:00,26,26,26,26,400,0
2014-04-01,19:00:00,26,26,26,26,200,0
2014-04-02,20:00:00,25.83,25.83,25.83,25.83,100,0
2014-04-02,22:00:00,25.67,25.67,25.67,25.67,100,0
2014-04-03,17:00:00,25,25,25,25,100,0
2014-04-04,16:00:00,25,25,24.5,24.75,1200,0
2014-04-04,17:00:00,25,25.72,25,25.72,796,0
2014-04-07,17:00:00,26.02,26.02,26.02,26.02,1185,0
2014-04-08,22:00:00,26.99,26.99,26.6,26.6,1882,0
2014-04-09,16:00:00,26.64,27,26.24,26.24,800,0
2014-04-09,21:00:00,26.34,26.34,26.28,26.28,400,0
2014-04-09,22:00:00,26.26,26.26,26.26,26.26,100,0
2014-04-14,21:00:00,26.35,26.35,26.32,26.32,1000,0
2014-04-16,20:00:00,26.27,26.27,26.21,26.21,200,0
2014-04-16,21:00:00,26.33,26.33,26.33,26.33,500,0
2014-04-16,22:00:00,26.31,26.31,26.31,26.31,1500,0
2014-04-21,18:00:00,26.16,26.16,26.1,26.1,800,0
2014-04-22,19:00:00,26.35,26.35,26.35,26.35,520,0
2014-04-25,20:00:00,26.6,26.6,26.6,26.6,100,0
2014-04-28,17:00:00,26.68,26.69,26.68,26.69,800,0
2014-04-28,19:00:00,26.51,26.51,26.51,26.51,400,0
2014-04-28,22:00:00,26.64,26.64,26.63,26.63,600,0
2014-04-29,19:00:00,26.77,26.77,26.77,26.77,200,0
2014-04-29,20:00:00,26.92,26.92,26.92,26.92,200,0
2014-04-30,17:00:00,26.92,26.92,26.75,26.75,3000,0
2014-05-01,17:00:00,26.7,26.7,26.7,26.7,500,0
2014-05-05,17:00:00,26.59,26.59,26.59,26.59,395,0
2014-05-06,18:00:00,26.8,26.8,26.8,26.8,400,0
2014-05-06,19:00:00,26.82,27.5,26.82,26.92,7870,0
2014-05-07,16:00:00,26.82,26.82,26.82,26.82,150,0
