Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,16.96,17.3,16.9,17.3,35167,0
2014-02-10,17:00:00,17.33,17.33,17.15,17.21,22040,0
2014-02-10,18:00:00,17.17,17.21,17.1,17.11,11749,0
2014-02-10,19:00:00,17.17,17.34,17.16,17.22,20573,0
2014-02-10,20:00:00,17.21,17.25,17.11,17.15,19923,0
2014-02-10,21:00:00,17.16,17.16,16.93,16.94,54650,0
2014-02-10,22:00:00,16.94,17.06,16.91,17.06,134521,0
2014-02-11,16:00:00,17.03,17.14,16.83,17,26748,0
2014-02-11,17:00:00,17.07,17.15,16.97,17,14415,0
2014-02-11,18:00:00,17,17.03,16.83,17.02,32471,0
2014-02-11,19:00:00,16.99,17,16.82,16.95,27984,0
2014-02-11,20:00:00,16.96,16.97,16.69,16.81,49120,0
2014-02-11,21:00:00,16.8,16.82,16.62,16.81,64847,0
2014-02-11,22:00:00,16.82,16.93,16.74,16.86,110565,0
2014-02-12,16:00:00,16.84,16.85,16.6,16.64,29164,0
2014-02-12,17:00:00,16.65,16.76,16.5,16.58,61850,0
2014-02-12,18:00:00,16.63,16.69,16.5,16.56,30053,0
2014-02-12,19:00:00,16.59,16.6,16.5,16.54,45621,0
2014-02-12,20:00:00,16.54,16.6,16.39,16.4,70072,0
2014-02-12,21:00:00,16.4,16.45,15.84,15.97,242117,0
2014-02-12,22:00:00,15.98,16.38,15.95,16.38,220307,0
2014-02-13,16:00:00,16.19,16.39,16.19,16.39,12562,0
2014-02-13,17:00:00,16.38,17.93,16.38,17.92,417612,0
2014-02-13,18:00:00,17.92,18.51,17.92,18.25,287089,0
2014-02-13,19:00:00,18.31,18.6,18.3,18.37,128003,0
2014-02-13,20:00:00,18.41,18.43,18.06,18.24,176608,0
2014-02-13,21:00:00,18.23,18.25,17.86,18.25,134861,0
2014-02-13,22:00:00,18.24,18.25,17.6,17.61,427090,0
2014-02-14,16:00:00,17.95,18.3,17.76,18.15,128817,0
2014-02-14,17:00:00,18.06,18.1,17.92,17.92,73606,0
2014-02-14,18:00:00,17.92,18.11,17.9,18.02,29668,0
2014-02-14,19:00:00,18.02,18.08,17.97,18.02,32163,0
2014-02-14,20:00:00,18,18.47,18,18.45,107483,0
2014-02-14,21:00:00,18.44,18.48,18.16,18.21,49931,0
2014-02-14,22:00:00,18.18,18.18,17.96,18.02,139641,0
2014-02-18,16:00:00,18.08,18.5,17.96,18.2,55734,0
2014-02-18,17:00:00,18.2,18.43,18.11,18.41,46025,0
2014-02-18,18:00:00,18.4,18.84,18.33,18.75,163107,0
2014-02-18,19:00:00,18.83,19.2,18.57,19.01,203661,0
2014-02-18,20:00:00,19.05,19.46,18.99,19.38,170250,0
2014-02-18,21:00:00,19.41,19.43,19.14,19.14,110398,0
2014-02-18,22:00:00,19.17,19.75,18.72,19.5,807514,0
2014-02-19,16:00:00,19.67,19.75,19.24,19.64,63351,0
2014-02-19,17:00:00,19.65,20.35,19.59,20.29,306902,0
2014-02-19,18:00:00,20.25,21.19,20.12,20.59,423713,0
2014-02-19,19:00:00,20.51,20.56,20.05,20.36,124816,0
2014-02-19,20:00:00,20.4,20.57,20.12,20.12,83620,0
2014-02-19,21:00:00,20.18,20.28,20.06,20.06,38512,0
2014-02-19,22:00:00,20.1,20.1,19.61,19.63,249876,0
2014-02-20,16:00:00,19.79,19.9,19.4,19.4,30215,0
2014-02-20,17:00:00,19.57,19.94,19.39,19.68,62535,0
2014-02-20,18:00:00,19.62,19.85,19.57,19.57,25108,0
2014-02-20,19:00:00,19.54,19.72,19.45,19.69,29670,0
2014-02-20,20:00:00,19.68,19.92,19.67,19.91,32465,0
2014-02-20,21:00:00,19.86,20,19.81,19.9,26764,0
2014-02-20,22:00:00,19.94,19.98,19.76,19.97,128176,0
2014-02-21,16:00:00,20.4,20.5,20,20,50352,0
2014-02-21,17:00:00,19.99,20.1,19.82,19.95,38723,0
2014-02-21,18:00:00,19.9,19.95,19.7,19.82,41058,0
2014-02-21,19:00:00,19.82,19.87,19.55,19.55,60048,0
2014-02-21,20:00:00,19.55,19.72,19.5,19.72,85877,0
2014-02-21,21:00:00,19.65,19.81,19.52,19.57,57799,0
2014-02-21,22:00:00,19.57,19.63,19.22,19.36,206830,0
2014-02-24,16:00:00,19.36,19.5,19.24,19.24,22407,0
2014-02-24,17:00:00,19.25,19.48,19.19,19.46,51896,0
2014-02-24,18:00:00,19.45,19.89,19.41,19.65,58967,0
2014-02-24,19:00:00,19.68,19.82,19.55,19.6,47573,0
2014-02-24,20:00:00,19.55,19.84,19.55,19.73,21094,0
2014-02-24,21:00:00,19.71,19.74,19.58,19.58,24795,0
2014-02-24,22:00:00,19.57,19.7,19.34,19.34,109458,0
2014-02-25,16:00:00,19.53,19.76,19.32,19.35,19722,0
2014-02-25,17:00:00,19.39,19.43,19.2,19.31,35588,0
2014-02-25,18:00:00,19.31,19.47,19.25,19.25,17674,0
2014-02-25,19:00:00,19.22,19.22,18.88,18.94,103537,0
2014-02-25,20:00:00,18.91,18.94,18.75,18.8,41302,0
2014-02-25,21:00:00,18.86,18.88,18.7,18.75,54562,0
2014-02-25,22:00:00,18.75,18.75,18.52,18.67,214925,0
2014-02-26,16:00:00,18.65,18.95,18.61,18.95,14783,0
2014-02-26,17:00:00,18.92,19.34,18.92,19.11,33789,0
2014-02-26,18:00:00,19.09,19.23,19.03,19.2,25214,0
2014-02-26,19:00:00,19.19,19.25,19.03,19.24,16927,0
2014-02-26,20:00:00,19.21,19.44,18.9,19.32,46973,0
2014-02-26,21:00:00,19.29,19.38,19.01,19.18,18277,0
2014-02-26,22:00:00,19.24,19.46,19.2,19.29,105638,0
2014-02-27,16:00:00,19.1,19.29,19.08,19.22,9800,0
2014-02-27,17:00:00,19.29,19.38,19.13,19.29,18831,0
2014-02-27,18:00:00,19.35,19.67,19.3,19.54,34898,0
2014-02-27,19:00:00,19.55,19.7,19.52,19.52,36838,0
2014-02-27,20:00:00,19.52,19.7,19.39,19.63,27896,0
2014-02-27,21:00:00,19.63,19.69,19.53,19.64,90372,0
2014-02-27,22:00:00,19.64,19.65,19.35,19.38,160141,0
2014-02-28,16:00:00,19.5,19.9,19.5,19.72,31521,0
2014-02-28,17:00:00,19.74,19.8,19.51,19.65,29609,0
2014-02-28,18:00:00,19.55,19.65,19.53,19.57,18011,0
2014-02-28,19:00:00,19.56,19.73,19.55,19.68,56970,0
2014-02-28,20:00:00,19.68,19.88,19.64,19.69,31724,0
2014-02-28,21:00:00,19.66,19.74,19.38,19.39,20993,0
2014-02-28,22:00:00,19.39,19.5,19,19.5,196699,0
2014-03-03,16:00:00,19.68,19.68,19.01,19.09,34782,0
2014-03-03,17:00:00,19.05,19.43,18.94,19.22,49497,0
2014-03-03,18:00:00,19.25,19.87,17.53,18.65,378652,0
2014-03-03,19:00:00,18.66,23.62,18.25,23.62,1026156,0
2014-03-03,20:00:00,24,25.49,22,22.57,2711697,0
2014-03-03,21:00:00,22.59,23.01,21.7,21.73,671977,0
2014-03-03,22:00:00,21.89,22,20.13,20.93,892281,0
2014-03-04,16:00:00,21.95,22.5,20.76,20.91,460146,0
2014-03-04,17:00:00,20.9,21.23,20.27,20.87,430439,0
2014-03-04,18:00:00,20.88,21.05,20.82,20.83,116148,0
2014-03-04,19:00:00,20.83,20.99,20.09,20.41,193258,0
2014-03-04,20:00:00,20.4,20.6,19.4,19.68,349643,0
2014-03-04,21:00:00,19.79,20.08,19.65,20.02,163440,0
2014-03-04,22:00:00,20.02,20.03,19.7,20,398971,0
2014-03-05,16:00:00,20.3,20.46,19.68,20.05,150952,0
2014-03-05,17:00:00,20,20.02,19.65,19.8,154768,0
2014-03-05,18:00:00,19.79,19.88,19.75,19.83,70471,0
2014-03-05,19:00:00,19.82,20.12,19.75,19.96,131766,0
2014-03-05,20:00:00,19.97,20.21,19.9,19.96,75194,0
2014-03-05,21:00:00,19.97,20.05,19.95,19.97,54432,0
2014-03-05,22:00:00,19.95,20.07,19.88,20.03,209898,0
2014-03-06,16:00:00,20.02,20.25,19.71,19.9,172236,0
2014-03-06,17:00:00,19.9,19.98,19.12,19.31,238210,0
2014-03-06,18:00:00,19.29,19.29,18.59,19.09,292539,0
2014-03-06,19:00:00,19.16,19.91,19.03,19.89,174018,0
2014-03-06,20:00:00,19.9,19.96,19.61,19.63,38495,0
2014-03-06,21:00:00,19.62,21.38,19.45,19.47,805127,0
2014-03-06,22:00:00,19.41,19.74,18.85,19.1,735225,0
2014-03-07,16:00:00,19.1,19.34,18.15,18.16,235012,0
2014-03-07,17:00:00,18.15,18.3,17.38,17.38,533947,0
2014-03-07,18:00:00,17.41,17.67,16.9,17.67,668857,0
2014-03-07,19:00:00,17.65,17.66,17.1,17.19,194122,0
2014-03-07,20:00:00,17.15,17.36,17.01,17.32,157322,0
2014-03-07,21:00:00,17.28,17.31,17.14,17.27,67743,0
2014-03-07,22:00:00,17.28,17.43,17.09,17.34,341748,0
2014-03-10,15:00:00,17.1,17.19,16.65,16.76,186334,0
2014-03-10,16:00:00,16.71,16.75,16.27,16.53,344476,0
2014-03-10,17:00:00,16.58,16.94,16.52,16.8,119686,0
