Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,163.872,164.001,163.573,163.892,112192,0
2014-02-10,17:00:00,163.902,163.952,163.464,163.593,89542,0
2014-02-10,18:00:00,163.563,163.952,163.454,163.882,64932,0
2014-02-10,19:00:00,163.852,163.912,163.742,163.882,36054,0
2014-02-10,20:00:00,163.852,163.952,163.733,163.902,51194,0
2014-02-10,21:00:00,163.942,164.21,163.922,164.121,75837,0
2014-02-10,22:00:00,164.131,164.19,163.952,164.18,372996,0
2014-02-11,16:00:00,164.37,164.818,164.22,164.599,82177,0
2014-02-11,17:00:00,164.648,164.977,164.529,164.877,154822,0
2014-02-11,18:00:00,164.847,165.534,164.847,165.524,167204,0
2014-02-11,19:00:00,165.554,165.624,165.375,165.614,80970,0
2014-02-11,20:00:00,165.634,165.992,165.634,165.833,93526,0
2014-02-11,21:00:00,165.813,166.171,165.763,166.152,143449,0
2014-02-11,22:00:00,166.171,166.37,165.893,165.992,254595,0
2014-02-12,16:00:00,166.231,166.739,166.201,166.699,136393,0
2014-02-12,17:00:00,166.709,166.709,165.952,166.062,189677,0
2014-02-12,18:00:00,166.042,166.271,165.723,165.903,158703,0
2014-02-12,19:00:00,165.873,166.211,165.823,166.142,251414,0
2014-02-12,20:00:00,166.142,166.341,166.052,166.201,896698,0
2014-02-12,21:00:00,166.221,166.291,165.773,165.893,131289,0
2014-02-12,22:00:00,165.883,166.142,165.813,166.142,237354,0
2014-02-13,16:00:00,164.947,165.624,164.947,165.584,85108,0
2014-02-13,17:00:00,165.614,166.361,165.494,166.281,74108,0
2014-02-13,18:00:00,166.321,166.589,166.211,166.4,70291,0
2014-02-13,19:00:00,166.4,166.599,166.301,166.52,436154,0
2014-02-13,20:00:00,166.54,166.978,166.53,166.978,402851,0
2014-02-13,21:00:00,166.988,167.077,166.809,167.037,104639,0
2014-02-13,22:00:00,167.027,167.057,166.858,166.968,218025,0
2014-02-14,16:00:00,166.799,167.127,166.609,166.938,67618,0
2014-02-14,17:00:00,167.057,167.605,166.858,167.336,107974,0
2014-02-14,18:00:00,167.346,167.565,167.296,167.475,91148,0
2014-02-14,19:00:00,167.475,167.565,167.396,167.495,320614,0
2014-02-14,20:00:00,167.505,167.874,167.485,167.854,75398,0
2014-02-14,21:00:00,167.884,168.142,167.834,168.073,137765,0
2014-02-14,22:00:00,168.073,168.093,167.754,167.844,196702,0
2014-02-18,16:00:00,167.973,168.232,167.754,167.884,242670,0
2014-02-18,17:00:00,167.864,168.073,167.505,168.063,126846,0
2014-02-18,18:00:00,168.013,168.272,167.943,168.043,114369,0
2014-02-18,19:00:00,168.083,168.242,167.993,168.152,379714,0
2014-02-18,20:00:00,168.162,168.202,167.943,168.033,61850,0
2014-02-18,21:00:00,168.073,168.252,168.053,168.152,146236,0
2014-02-18,22:00:00,168.142,168.262,168.023,168.093,195672,0
2014-02-19,16:00:00,167.655,168.232,167.535,168.232,108653,0
2014-02-19,17:00:00,168.272,168.71,168.043,168.471,152622,0
2014-02-19,18:00:00,168.461,168.501,167.933,167.933,559465,0
2014-02-19,19:00:00,167.923,168.003,167.456,167.714,360998,0
2014-02-19,20:00:00,167.704,168.073,167.704,167.834,114041,0
2014-02-19,21:00:00,167.854,168.202,167.545,167.714,233100,0
2014-02-19,22:00:00,167.694,167.774,166.809,166.938,265150,0
2014-02-20,16:00:00,167.167,167.495,166.789,166.878,85563,0
2014-02-20,17:00:00,166.799,167.694,166.57,167.545,205573,0
2014-02-20,18:00:00,167.595,167.764,167.416,167.585,142052,0
2014-02-20,19:00:00,167.585,168.063,167.555,167.973,113475,0
2014-02-20,20:00:00,167.973,168.063,167.943,168.013,155220,0
2014-02-20,21:00:00,168.013,168.162,167.834,168.132,169709,0
2014-02-20,22:00:00,168.113,168.302,167.884,167.884,159978,0
2014-02-21,16:00:00,168.252,168.471,167.973,168.371,98622,0
2014-02-21,17:00:00,168.381,168.561,168.063,168.511,137435,0
2014-02-21,18:00:00,168.501,168.64,168.371,168.431,110886,0
2014-02-21,19:00:00,168.431,168.531,168.182,168.312,50388,0
2014-02-21,20:00:00,168.332,168.471,168.172,168.252,41114,0
2014-02-21,21:00:00,168.252,168.332,167.794,167.963,105775,0
2014-02-21,22:00:00,167.933,168.202,167.655,167.804,179048,0
2014-02-24,16:00:00,168.122,169.118,168.013,169.068,93335,0
2014-02-24,17:00:00,169.098,169.317,168.899,169.257,143177,0
2014-02-24,18:00:00,169.277,169.735,169.168,169.695,104650,0
2014-02-24,19:00:00,169.695,169.765,169.566,169.596,56157,0
2014-02-24,20:00:00,169.596,169.646,169.427,169.437,77924,0
2014-02-24,21:00:00,169.427,169.596,169.407,169.407,91716,0
2014-02-24,22:00:00,169.387,169.536,168.6,168.6,442350,0
2014-02-25,16:00:00,168.809,168.989,168.103,168.262,117375,0
2014-02-25,17:00:00,168.242,168.819,168.073,168.77,122913,0
2014-02-25,18:00:00,168.77,169.257,168.6,168.76,101775,0
2014-02-25,19:00:00,168.77,168.909,168.66,168.859,71386,0
2014-02-25,20:00:00,168.879,169.088,168.77,168.859,52282,0
2014-02-25,21:00:00,168.919,168.919,168.521,168.67,89708,0
2014-02-25,22:00:00,168.66,168.66,168.272,168.541,328033,0
2014-02-26,16:00:00,168.919,169.018,168.351,168.411,46265,0
2014-02-26,17:00:00,168.431,169.247,168.431,168.949,122682,0
2014-02-26,18:00:00,168.969,169.267,168.839,168.959,105367,0
2014-02-26,19:00:00,168.979,169.217,168.949,169.088,70349,0
2014-02-26,20:00:00,169.058,169.178,168.829,168.849,97953,0
2014-02-26,21:00:00,168.909,168.959,168.142,168.471,126034,0
2014-02-26,22:00:00,168.501,168.65,168.152,168.541,162735,0
2014-02-27,16:00:00,168.381,168.76,168.202,168.451,80506,0
2014-02-27,17:00:00,168.531,168.799,168.232,168.73,82786,0
2014-02-27,18:00:00,168.76,169.128,168.65,168.939,103258,0
2014-02-27,19:00:00,168.949,169.058,168.76,168.979,178501,0
2014-02-27,20:00:00,168.969,169.456,168.929,169.337,193733,0
2014-02-27,21:00:00,169.387,169.397,169.018,169.178,94315,0
2014-02-27,22:00:00,169.198,169.496,169.038,169.476,312315,0
2014-02-28,16:00:00,169.456,170.044,169.417,170.004,119952,0
