Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,16:00:00,80.31,80.31,79.61,79.61,8796,0
2014-02-10,17:00:00,79.74,79.75,79.57,79.58,15928,0
2014-02-10,18:00:00,79.55,79.8,79.54,79.78,18571,0
2014-02-10,19:00:00,79.74,79.78,79.69,79.74,9429,0
2014-02-10,20:00:00,79.74,79.81,79.71,79.77,9064,0
2014-02-10,21:00:00,79.85,79.92,79.84,79.88,19694,0
2014-02-10,22:00:00,79.91,79.95,79.82,79.95,10464,0
2014-02-11,16:00:00,80.36,80.61,80.36,80.48,4828,0
2014-02-11,17:00:00,80.5,80.75,80.46,80.46,25728,0
2014-02-11,18:00:00,80.58,80.88,80.5,80.87,24600,0
2014-02-11,19:00:00,80.75,80.89,80.73,80.84,6070,0
2014-02-11,20:00:00,80.94,81.02,80.83,80.83,30505,0
2014-02-11,21:00:00,80.81,80.97,80.81,80.95,13602,0
2014-02-11,22:00:00,80.99,81.01,80.86,80.9,18440,0
2014-02-12,16:00:00,81.15,81.15,80.84,81.05,10406,0
2014-02-12,17:00:00,81.04,81.09,80.84,80.94,19730,0
2014-02-12,18:00:00,81.02,81.02,80.87,80.87,22824,0
2014-02-12,19:00:00,81.03,81.12,80.99,81.02,12589,0
2014-02-12,20:00:00,81.06,81.18,81.01,81.06,19036,0
2014-02-12,21:00:00,81.06,81.09,80.96,81.02,8963,0
2014-02-12,22:00:00,81.03,81.2,80.99,81.2,11611,0
2014-02-13,16:00:00,81,81.32,81,81.29,10330,0
2014-02-13,17:00:00,81.34,81.82,81.33,81.82,12917,0
2014-02-13,18:00:00,81.83,81.94,81.82,81.84,9657,0
2014-02-13,19:00:00,81.78,81.85,81.63,81.75,8729,0
2014-02-13,20:00:00,81.75,82.04,81.71,82.03,19829,0
2014-02-13,21:00:00,82.1,82.16,82.01,82.09,13945,0
2014-02-13,22:00:00,82.2,82.33,82.16,82.26,15744,0
2014-02-14,16:00:00,81.77,81.83,81.72,81.73,3936,0
2014-02-14,17:00:00,81.8,81.8,81.62,81.64,8787,0
2014-02-14,18:00:00,81.61,81.7,81.55,81.6,13231,0
2014-02-14,19:00:00,81.55,81.55,81.46,81.49,7884,0
2014-02-14,20:00:00,81.54,81.67,81.46,81.63,16649,0
2014-02-14,21:00:00,81.72,81.81,81.69,81.8,7633,0
2014-02-14,22:00:00,81.86,81.86,81.71,81.76,15489,0
2014-02-18,16:00:00,81.76,81.76,81.39,81.46,4463,0
2014-02-18,17:00:00,81.43,81.47,81.1,81.47,53142,0
2014-02-18,18:00:00,81.45,81.65,81.22,81.27,197258,0
2014-02-18,19:00:00,81.27,81.37,81.21,81.35,285999,0
2014-02-18,20:00:00,81.37,81.42,81.3,81.37,42296,0
2014-02-18,21:00:00,81.38,81.49,81.36,81.49,10572,0
2014-02-18,22:00:00,81.47,81.47,81.31,81.38,13775,0
2014-02-19,16:00:00,81.14,81.28,81,81.28,9023,0
2014-02-19,17:00:00,81.25,81.54,81.25,81.48,15825,0
2014-02-19,18:00:00,81.51,81.51,81.3,81.3,11533,0
2014-02-19,19:00:00,81.2,81.24,80.96,81.15,11812,0
2014-02-19,20:00:00,81.17,81.51,81.16,81.49,14019,0
2014-02-19,21:00:00,81.54,81.86,81.54,81.72,15312,0
2014-02-19,22:00:00,81.69,81.73,81.39,81.49,32830,0
2014-02-20,16:00:00,81.86,81.86,81.75,81.86,4560,0
2014-02-20,17:00:00,81.98,82.54,81.98,82.52,8201,0
2014-02-20,18:00:00,82.64,82.64,82.4,82.49,27416,0
2014-02-20,19:00:00,82.5,82.78,82.48,82.68,13898,0
2014-02-20,20:00:00,82.67,82.76,82.56,82.61,8888,0
2014-02-20,21:00:00,82.54,82.68,82.54,82.64,11977,0
2014-02-20,22:00:00,82.65,82.74,82.54,82.66,7876,0
2014-02-21,16:00:00,82.55,82.77,82.5,82.58,6629,0
2014-02-21,17:00:00,82.54,82.58,82.37,82.39,21464,0
2014-02-21,18:00:00,82.39,82.51,82.38,82.51,9664,0
2014-02-21,19:00:00,82.47,82.5,82.2,82.27,8735,0
2014-02-21,20:00:00,82.3,82.37,82.23,82.3,9090,0
2014-02-21,21:00:00,82.31,82.32,82.08,82.08,24312,0
2014-02-21,22:00:00,82.09,82.21,81.89,81.89,13601,0
2014-02-24,16:00:00,81.55,81.73,81.47,81.64,5176,0
