Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-10,21:00:00,54.1442,54.1442,54.0746,54.0746,503,0
2014-02-13,20:00:00,55.059,55.059,54.9695,54.9695,1207,0
2014-02-13,22:00:00,54.9894,54.9894,54.9894,54.9894,161,0
2014-02-14,17:00:00,55.059,55.059,55.059,55.059,101,0
2014-02-14,19:00:00,55.2579,55.2579,55.1784,55.1784,201,0
2014-02-14,21:00:00,55.3176,55.3176,55.3176,55.3176,503,0
2014-02-18,16:00:00,55.7849,55.7849,55.4071,55.4866,603,0
2014-02-18,19:00:00,55.4468,55.4468,55.4468,55.4468,201,0
2014-02-21,22:00:00,55.4071,55.4071,55.4071,55.4071,372,0
2014-02-28,17:00:00,56.0932,56.0932,56.0932,56.0932,362,0
2014-02-28,21:00:00,56.1031,56.1031,56.1031,56.1031,142,0
2014-03-03,19:00:00,55.3573,55.3573,55.3573,55.3573,101,0
2014-03-03,21:00:00,55.6059,55.6059,55.6059,55.6059,430,0
2014-03-04,16:00:00,56.4711,56.4711,56.2722,56.2722,201,0
2014-03-04,17:00:00,56.3517,56.3517,56.3517,56.3517,101,0
2014-03-04,18:00:00,56.3915,56.3915,56.3915,56.3915,101,0
2014-03-06,17:00:00,56.66,56.66,56.66,56.66,119,0
2014-03-06,20:00:00,56.6998,56.6998,56.6998,56.6998,2011,0
2014-03-07,16:00:00,56.6998,56.7097,56.6998,56.7097,3017,0
2014-03-11,16:00:00,56.6898,56.6898,56.6898,56.6898,503,0
2014-03-12,18:00:00,56.302,56.302,56.302,56.302,1106,0
2014-03-12,19:00:00,56.2722,56.2722,56.2722,56.2722,503,0
2014-03-13,20:00:00,55.7352,55.7352,55.7352,55.7352,116,0
2014-03-14,17:00:00,55.6059,55.8048,55.6059,55.8048,363,0
2014-03-17,15:00:00,56.5506,56.5506,55.9938,56.0833,503,0
2014-03-17,16:00:00,56.1827,56.1827,56.0037,56.0037,704,0
2014-03-17,17:00:00,56.0136,56.0236,55.9242,55.9242,603,0
2014-03-17,18:00:00,56.0435,56.133,56.0236,56.0833,1810,0
